Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.U2af381	raw_count.U2af382	raw_count.U2af383	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.U2af381	percentage_usage.U2af382	percentage_usage.U2af383	deltaPSI
LManII	chr2L_+_10459280_10459383-10459517_10459661-10459795_10459878	5_Junction_2487_Junction_2489	J001	0.00168079897807293	8.31126675362225	0.00393999025422772	0.00856616464136096	2.06045329509311	1.99738944293809	-0.211473850430036	chr2L	10459280	10459382	103	+	85	71	102	160	144	109	67.46%	75.53%	73.91%	62.26%	62.61%	63.37%	0.0955333333333332
LManII	chr2L_+_10459280_10459383-10459517_10459661-10459795_10459878	5_Junction_2487_Junction_2489	J002	0.00180893128801246	8.24646710875376	0.00408313932864085	0.0088576058001285	1.65480360541755	1.7752570746296	0.40802828816469	chr2L	10459280	10459660	381	+	41	23	36	97	86	63	32.54%	24.47%	26.09%	37.74%	37.39%	36.63%	-0.0955333333333334
Gs1l	chr2L_-_4455738_4455856-4456075_4456113-4456332_4456384	3_Junction_37228_Junction_37229	J001	0.00349549375928539	57.2118931577118	3.91297762684988e-14	3.02761617743457e-13	1.22265614283959	1.65091936617951	1.47916086796536	chr2L	4456075	4456384	310	-	12	18	24	40	44	37	13.19%	20.22%	18.18%	51.95%	50.57%	44.58%	-0.318366666666667
Gs1l	chr2L_-_4455738_4455856-4456075_4456113-4456332_4456384	3_Junction_37228_Junction_37229	J002	0.00308373931499724	58.0332641577239	2.57722731379215e-14	2.02109548002171e-13	1.88043955028972	1.66820408612266	-0.717214933314041	chr2L	4456332	4456384	53	-	79	71	108	37	43	46	86.81%	79.78%	81.82%	48.05%	49.43%	55.42%	0.318366666666667
Gs1l	chr2L_-_4455738_4455856-4456075_4456113-4456332_4456384	5_Junction_37226_Junction_37227	J001	0.0270241159967125	20.3927413354945	6.30685626758398e-06	2.06737257140875e-05	1.4980035197582	1.75978032384301	0.890875282878791	chr2L	4455738	4455855	118	-	27	32	42	49	73	41	24.11%	39.51%	29.37%	61.25%	63.48%	48.81%	-0.2685
Gs1l	chr2L_-_4455738_4455856-4456075_4456113-4456332_4456384	5_Junction_37226_Junction_37227	J002	0.0266685071232113	20.5523640137854	5.8022092896287e-06	1.91123427383367e-05	1.8514134696055	1.61736649364726	-0.792275863013614	chr2L	4455738	4456112	375	-	85	49	101	31	42	43	75.89%	60.49%	70.63%	38.75%	36.52%	51.19%	0.2685
spin	chr2R_+_16132635_16132828-16133090_16133421-16133683_16136025	3_Junction_69508_Junction_69509	J001	0.0064358894224227	5.11800877803866	0.0236787722511628	0.0445078289013606	1.54479339336314	1.66961392203719	0.425187387988532	chr2R	16133090	16136025	2936	+	26	18	34	58	90	43	16.15%	14.17%	17.53%	21.97%	25.79%	17.99%	-0.0596666666666667
spin	chr2R_+_16132635_16132828-16133090_16133421-16133683_16136025	3_Junction_69508_Junction_69509	J002	0.00572059654786852	5.30899700915937	0.0212155669370674	0.0402581654568012	2.24970351885177	2.20287268292233	-0.156498567274701	chr2R	16133683	16136025	2343	+	135	109	160	206	259	196	83.85%	85.83%	82.47%	78.03%	74.21%	82.01%	0.0596666666666668
spin	chr2R_+_16132635_16132828-16133090_16133421-16133683_16136025	5_Junction_69505_Junction_69506	J001	0.0298305259907341	2.73872918383817	0.0979426282536093	0.159461758355707	1.49618183826243	1.61486936460154	0.405595314967159	chr2R	16132635	16132827	193	+	26	23	21	54	77	34	15.76%	14.56%	8.86%	19.85%	21.39%	13.23%	-0.0509666666666667
spin	chr2R_+_16132635_16132828-16133090_16133421-16133683_16136025	5_Junction_69505_Junction_69506	J002	0.0286915728646264	2.8149443156756	0.0933901373384876	0.152918172963803	2.32105341046388	2.2506288178077	-0.235164454083245	chr2R	16132635	16133420	786	+	139	135	216	218	283	223	84.24%	85.44%	91.14%	80.15%	78.61%	86.77%	0.0509666666666667
Dscam1	chr2R_-_7324737_7326151-7326364_7326616-7326784_7329287	3_Junction_99826_Junction_99827	J001	0.0508006827378435	5.72577981706208	0.0167176107287175	0.0324055045226372	1.33109899458323	1.1466483515887	-0.650583949328083	chr2R	7326364	7329287	2924	-	30	18	31	14	9	9	66.67%	72.00%	47.69%	43.75%	26.47%	45.00%	0.237133333333333
Dscam1	chr2R_-_7324737_7326151-7326364_7326616-7326784_7329287	3_Junction_99826_Junction_99827	J002	0.0511410693741367	5.71023360869611	0.0168662947896673	0.0326737927933509	1.17825402438568	1.3571148570376	0.628355918321162	chr2R	7326784	7329287	2504	-	15	7	34	18	25	11	33.33%	28.00%	52.31%	56.25%	73.53%	55.00%	-0.237133333333333
Dscam1	chr2R_-_7324737_7326151-7326364_7326616-7326784_7329287	5_Junction_99806_Junction_99807	J001	0.00920168518117579	2.74355932298286	0.0976470502746749	0.159029388467011	1.2650635847467	1.15716535523101	-0.381991632794593	chr2R	7324737	7326150	1414	-	20	21	24	11	16	7	50.00%	67.74%	47.06%	37.93%	45.71%	36.84%	0.147733333333333
Dscam1	chr2R_-_7324737_7326151-7326364_7326616-7326784_7329287	5_Junction_99806_Junction_99807	J002	0.00915673949911988	2.74476718920606	0.09757328763255	0.158930968460961	1.20861982865341	1.30689855130089	0.345611401262656	chr2R	7324737	7326615	1879	-	20	10	27	18	19	12	50.00%	32.26%	52.94%	62.07%	54.29%	63.16%	-0.147733333333333
