Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.U2af381	raw_count.U2af382	raw_count.U2af383	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.U2af381	percentage_usage.U2af382	percentage_usage.U2af383	deltaPSI
tor	chr2R_-_7705571_7705589_7705644	3_Junction_101466_Junction_101467	J001	0.0148036222086965	9.23768169889912	0.0023708492678744	0.00534812096402113	0.00115282285254805	0.948807743690378	11.5351171441132	chr2R	7705571	7705644	74	-	0	0	0	29	42	30	0.00%	0.00%	0.00%	20.14%	24.28%	15.71%	-0.200433333333333
tor	chr2R_-_7705571_7705589_7705644	3_Junction_101466_Junction_101467	J002	0.0120244985615361	9.3145945414788	0.00227335681670151	0.00514621306705146	1.53832683435677	1.51759608213601	-0.0709706263866119	chr2R	7705589	7705644	56	-	8	6	11	115	131	161	100.00%	100.00%	100.00%	79.86%	75.72%	84.29%	0.200433333333333
CG30382	chr2R_-_7828509_7830992_7831279	3_Junction_101907_Junction_101918	J001	0.0153115693896884	15.7661752652	7.16724986892503e-05	0.000203076811227103	0.000522317657686635	0.830540892185418	12.2270478930868	chr2R	7828509	7831279	2771	-	0	0	0	7	5	13	0.00%	0.00%	0.00%	46.67%	25.00%	36.11%	-0.359266666666667
CG30382	chr2R_-_7828509_7830992_7831279	3_Junction_101907_Junction_101918	J002	0.0101363485930406	16.0573360393368	6.14530793515142e-05	0.000175802822378872	1.09270202435077	1.06429053602676	-0.102977758500495	chr2R	7830992	7831279	288	-	10	3	12	8	15	23	100.00%	100.00%	100.00%	53.33%	75.00%	63.89%	0.359266666666667
Dgk	chr2R_-_7831619_7836912_7836979	3_Junction_101921_Junction_101936	J001	0.14369505901571	37.5711046336314	8.81405637700861e-10	4.54568911867470e-09	9.49281340405506e-05	1.11266384058613	15.739749886675	chr2R	7831619	7836979	5361	-	0	0	0	5	1	5	0.00%	0.00%	0.00%	5.32%	0.74%	4.13%	-0.0339666666666667
Dgk	chr2R_-_7831619_7836912_7836979	3_Junction_101921_Junction_101936	J002	0.09922389852164	42.1498673601496	8.45396795052995e-11	4.82702135566178e-10	2.58520134227879	2.5607566795821	-0.0814210902827561	chr2R	7836912	7836979	68	-	1130	1052	1790	89	134	116	100.00%	100.00%	100.00%	94.68%	99.26%	95.87%	0.0339666666666666
Dgk	chr2R_-_7844756_7844781_7844884	3_Junction_101966_Junction_101969	J001	0.0032200970079756	57.06999972018	4.20572576881381e-14	3.24745224195584e-13	2.68700275984247	2.67290761146683	-0.0469211159340706	chr2R	7844756	7844884	129	-	1056	880	1447	208	220	217	99.91%	100.00%	100.00%	97.65%	97.35%	96.88%	0.0267666666666665
Dgk	chr2R_-_7844756_7844781_7844884	3_Junction_101966_Junction_101969	J002	0.0101602767382568	55.0595075866677	1.16935304804246e-13	8.6923165574741e-13	0.0587546973175367	1.14926959015161	6.49888341601087	chr2R	7844781	7844884	104	-	1	0	0	5	6	7	0.09%	0.00%	0.00%	2.35%	2.65%	3.12%	-0.0267666666666667
CG12159	chr2R_-_7915521_7915547_7915564_7915899	3_Junction_102100_Junction_102104_Junction_102105	J001	0.023245389413625	71.7323440974342	2.46459377571622e-17	2.41403973660869e-16	3.01976565197893	2.90712682225251	-0.37458671844861	chr2R	7915521	7915899	379	-	1000	832	1190	857	974	823	100.00%	100.00%	99.83%	98.05%	96.72%	96.37%	0.0289666666666666
CG12159	chr2R_-_7915521_7915547_7915564_7915899	3_Junction_102100_Junction_102104_Junction_102105	J002	0.0493829460685866	44.1832283079207	2.99032408741904e-11	1.78030680500424e-10	0.227385096462626	1.29691611291182	4.77295502459794	chr2R	7915547	7915899	353	-	0	0	2	12	23	27	0.00%	0.00%	0.17%	1.37%	2.28%	3.16%	-0.0221333333333333
CG12159	chr2R_-_7915521_7915547_7915564_7915899	3_Junction_102100_Junction_102104_Junction_102105	J003	0.0166376409413469	25.1078335827693	5.42121828329532e-07	2.03212590389709e-06	0.000291618189920459	0.830271007601744	13.0672259086229	chr2R	7915564	7915899	336	-	0	0	0	5	10	4	0.00%	0.00%	0.00%	0.57%	0.99%	0.47%	-0.00676666666666667
rnh1	chr2R_-_7931842_7931846_7931897	3_Junction_102193_Junction_102195	J001	0.0221905096766629	5.10800755320355	0.0238156554288507	0.0447398454241101	1.13902747384101	0.834004826395201	-1.13314439078209	chr2R	7931842	7931897	56	-	23	29	50	1	4	2	1.98%	3.34%	3.33%	0.53%	2.03%	0.99%	0.017
rnh1	chr2R_-_7931842_7931846_7931897	3_Junction_102193_Junction_102195	J002	0.0196102707965692	5.2532825443195	0.0219054097396779	0.0414577672107799	2.63318556249776	2.68690566589799	0.178845802194713	chr2R	7931846	7931897	52	-	1139	839	1453	188	193	200	98.02%	96.66%	96.67%	99.47%	97.97%	99.01%	-0.0169999999999999
CG12769	chr2R_-_8056061_8056094_8056160	3_Junction_102631_Junction_102633	J001	0.00892281104070889	6.38231522632176	0.0115262977824517	0.0230464740667309	1.11333370780339	0.917471612372104	-0.720941140252122	chr2R	8056061	8056160	100	-	3	1	6	30	31	22	100.00%	100.00%	85.71%	62.50%	52.54%	47.83%	0.409466666666667
CG12769	chr2R_-_8056061_8056094_8056160	3_Junction_102631_Junction_102633	J002	0.00972228581500396	6.36634885094531	0.0116304652354696	0.0232352694201621	0.342575589547332	0.852771593007852	2.35069302881249	chr2R	8056094	8056160	67	-	0	0	1	18	28	24	0.00%	0.00%	14.29%	37.50%	47.46%	52.17%	-0.409466666666667
coil	chr2R_-_8119620_8125209_8125265	3_Junction_103014_Junction_103028	J001	0.0613309643592017	30.7168120468979	2.9856693761283e-08	1.29996288157045e-07	0.000290998649431273	1.00751888278478	13.7406130108117	chr2R	8119620	8125265	5646	-	0	0	0	11	7	5	0.00%	0.00%	0.00%	5.37%	2.47%	2.03%	-0.0329
coil	chr2R_-_8119620_8125209_8125265	3_Junction_103014_Junction_103028	J002	0.0468380358164278	32.695680942189	1.07776440459511e-08	4.94085579450107e-08	2.46747714853914	2.45128876106978	-0.0539640493535405	chr2R	8125209	8125265	57	-	338	318	450	194	276	241	100.00%	100.00%	100.00%	94.63%	97.53%	97.97%	0.0329
Lpin	chr2R_-_8137682_8138592_8138802_8138936	3_Junction_103112_Junction_103116_Junction_103123	J001	0.000814531939020182	230.870664601961	3.85005276468186e-52	1.48624918706542e-50	2.44138410873108	2.59822775619362	0.522610931446339	chr2R	8137682	8138936	1255	-	368	296	532	258	320	291	58.51%	57.14%	59.57%	86.58%	86.25%	86.87%	-0.2816
Lpin	chr2R_-_8137682_8138592_8138802_8138936	3_Junction_103112_Junction_103116_Junction_103123	J002	0.00168252644709755	12.1095210801652	0.000501650180372791	0.00125836062288242	1.50399451707259	1.68826794031196	0.628189652938998	chr2R	8138592	8138936	345	-	44	30	60	29	42	34	7.00%	5.79%	6.72%	9.73%	11.32%	10.15%	-0.0389666666666667
Lpin	chr2R_-_8137682_8138592_8138802_8138936	3_Junction_103112_Junction_103116_Junction_103123	J003	0.00144904383062999	398.35985351847	1.25307115881421e-88	9.21693430666301e-87	2.2167739153015	1.16607409944357	-3.58350681473353	chr2R	8138802	8138936	135	-	217	192	301	11	9	10	34.50%	37.07%	33.71%	3.69%	2.43%	2.99%	0.320566666666667
Lpin	chr2R_-_8140613_8140616_8140679	3_Junction_103146_Junction_103147	J001	0.00549575272524885	5.22710784741726	0.0222374790092916	0.0420273018703967	2.3132420579753	2.37310760097806	0.199776256210724	chr2R	8140613	8140679	67	-	301	228	371	127	221	165	45.47%	44.02%	43.49%	45.68%	56.67%	49.40%	-0.0625666666666666
Lpin	chr2R_-_8140613_8140616_8140679	3_Junction_103146_Junction_103147	J002	0.0054653621240644	5.24451228909297	0.0220160989226373	0.0416474212760907	2.41197346132955	2.35467241760524	-0.191141261461357	chr2R	8140616	8140679	64	-	361	290	482	151	169	169	54.53%	55.98%	56.51%	54.32%	43.33%	50.60%	0.0625666666666667
CG2127	chr2R_-_8367792_8368808_8369768_8369850	3_Junction_103576_Junction_103590_Junction_103608	J001	0.0334693633993099	-0.0169184365588109	1	1	0.000887120457489772	0.338857197330941	9.17509923330564	chr2R	8367792	8369850	2059	-	0	0	0	5	9	3	0.00%	0.00%	0.00%	2.82%	4.86%	1.83%	-0.0317
CG2127	chr2R_-_8367792_8368808_8369768_8369850	3_Junction_103576_Junction_103590_Junction_103608	J002	0.00587578640055359	11.3771708983464	0.000743522754798737	0.00181725731015353	0.000887150857280786	1.10276531689961	12.4784965878494	chr2R	8368808	8369850	1043	-	0	0	0	62	51	54	0.00%	0.00%	0.00%	35.03%	27.57%	32.93%	-0.318433333333333
CG2127	chr2R_-_8367792_8368808_8369768_8369850	3_Junction_103576_Junction_103590_Junction_103608	J003	0.00299209078094776	13.061968188726	0.000301352601489627	0.000781452031530034	1.42522309051563	1.39535552824653	-0.103232276279483	chr2R	8369768	8369850	83	-	5	4	8	110	125	107	100.00%	100.00%	100.00%	62.15%	67.57%	65.24%	0.350133333333333
CG42326	chr2R_-_8582319_8582595_8583493	3_Junction_103946_Junction_103950	J001	0.0108499731194767	4.94922750923109	0.0261023291306642	0.0486294437466545	0.774041973475049	0.737819979750355	-0.145937136388569	chr2R	8582319	8583493	1175	-	5	1	1	10	13	7	100.00%	100.00%	100.00%	58.82%	56.52%	70.00%	0.3822
CG42326	chr2R_-_8582319_8582595_8583493	3_Junction_103946_Junction_103950	J002	0.0140024329859909	4.91188928451135	0.0266724516149392	0.0495960126572955	0.000478661717373583	0.599560153911517	11.3985358386354	chr2R	8582595	8583493	899	-	0	0	0	7	10	3	0.00%	0.00%	0.00%	41.18%	43.48%	30.00%	-0.3822
Lnpk	chr2R_-_8599692_8599701_8599809	3_Junction_104027_Junction_104029	J001	0.062834926002594	18.7896996311286	1.45953254625339e-05	4.54975735819921e-05	0.000623397312403488	0.934208823738571	12.3681810613161	chr2R	8599692	8599809	118	-	0	0	0	8	10	17	0.00%	0.00%	0.00%	0.59%	0.68%	1.44%	-0.00903333333333333
Lnpk	chr2R_-_8599692_8599701_8599809	3_Junction_104027_Junction_104029	J002	0.0516170293609466	19.6456896587032	9.32133451168403e-06	2.98359450639781e-05	2.95546568060834	2.93510864282179	-0.0677014138428778	chr2R	8599701	8599809	109	-	615	531	700	1343	1470	1164	100.00%	100.00%	100.00%	99.41%	99.32%	98.56%	0.00903333333333345
CG30355	chr2R_-_8644758_8679436_8679492	3_Junction_104141_Junction_104261	J001	0.152530459146186	33.6763091291807	6.5088577336504e-09	3.05586513129089e-08	0.000139155407730187	1.16388743490213	15.3714046968967	chr2R	8644758	8679492	34735	-	0	0	0	9	12	2	0.00%	0.00%	0.00%	1.37%	1.63%	0.30%	-0.011
CG30355	chr2R_-_8644758_8679436_8679492	3_Junction_104141_Junction_104261	J002	0.121433649219499	37.4659544614505	9.30226423369644e-10	4.78092804400613e-09	3.12369986779066	3.08678641812582	-0.122720164871343	chr2R	8679436	8679492	57	-	2305	2134	3103	650	722	674	100.00%	100.00%	100.00%	98.63%	98.37%	99.70%	0.0110000000000001
stmA	chr2R_-_8729864_8729879_8730062	3_Junction_104476_Junction_104479	J001	0.0678862847685171	13.9338145094368	0.000189361070638739	0.000505330203504208	0.000559606225197854	0.797510491003944	11.9978794265382	chr2R	8729864	8730062	199	-	0	0	0	12	6	5	0.00%	0.00%	0.00%	2.86%	1.37%	1.02%	-0.0175
stmA	chr2R_-_8729864_8729879_8730062	3_Junction_104476_Junction_104479	J002	0.0531633823148849	14.6245315470403	0.000131195582417119	0.000358351276379378	2.49911024249512	2.48245951936385	-0.0554917596019049	chr2R	8729879	8730062	184	-	229	168	292	407	433	483	100.00%	100.00%	100.00%	97.14%	98.63%	98.98%	0.0175
CG8272	chr2R_-_8889773_8889795_8889857	3_Junction_104861_Junction_104863	J001	0.0240200251742757	4.33582947790636	0.0373182282860847	0.0671592911784293	0.901011764853666	0.616738373481089	-1.14984520621791	chr2R	8889773	8889857	85	-	8	3	5	3	7	3	3.72%	1.47%	1.77%	0.74%	1.50%	0.66%	0.0135333333333333
CG8272	chr2R_-_8889773_8889795_8889857	3_Junction_104861_Junction_104863	J002	0.0171795187106229	4.56575797268142	0.0326172376413749	0.0594947596792889	2.47633581750098	2.50593592720261	0.0986478825419059	chr2R	8889795	8889857	63	-	207	201	278	405	460	455	96.28%	98.53%	98.23%	99.26%	98.50%	99.34%	-0.0135333333333334
CG13743	chr2R_-_9041811_9048026_9049878	3_Junction_105339_Junction_105356	J001	0.0187839721727516	62.4083405007101	2.79138546214759e-15	2.365097836877e-14	0.000115171255775876	1.33040062469793	16.2309373377564	chr2R	9041811	9049878	8068	-	0	0	0	5	6	10	0.00%	0.00%	0.00%	83.33%	85.71%	71.43%	-0.801566666666667
CG13743	chr2R_-_9041811_9048026_9049878	3_Junction_105339_Junction_105356	J002	0.0106134363324862	64.5170168591657	9.57022353440637e-16	8.40952312343414e-15	0.886939550788936	0.83416685472883	-0.203366539159718	chr2R	9048026	9049878	1853	-	20	16	26	1	1	4	100.00%	100.00%	100.00%	16.67%	14.29%	28.57%	0.801566666666667
CG13743	chr2R_-_9050629_9051151_9055885_9059120_9059253	3_Junction_105367_Junction_105370_Junction_105372_Junction_105377	J001	0.00970735078903984	2.8202760606696	0.0930803932894541	0.152472072381264	0.692323120592199	0.000385388935742376	-12.1098487911184	chr2R	9050629	9059253	8625	-	7	9	16	0	0	0	15.91%	19.57%	24.62%	0.00%	0.00%	0.00%	0.200333333333333
CG13743	chr2R_-_9050629_9051151_9055885_9059120_9059253	3_Junction_105367_Junction_105370_Junction_105372_Junction_105377	J002	0.00783971731134208	17.884653893846	2.34706088506631e-05	7.10946259710199e-05	0.853602243773055	0.939750729560763	0.327859300618414	chr2R	9051151	9059253	8103	-	11	16	23	3	2	4	25.00%	34.78%	35.38%	100.00%	100.00%	100.00%	-0.6828
CG13743	chr2R_-_9050629_9051151_9055885_9059120_9059253	3_Junction_105367_Junction_105370_Junction_105372_Junction_105377	J003	0.0954155009056831	6.81182950938814	0.00905559386352825	0.0184566763137607	0.94397612258309	0.000385391448490833	-13.0990687055948	chr2R	9055885	9059253	3369	-	26	16	21	0	0	0	59.09%	34.78%	32.31%	0.00%	0.00%	0.00%	0.4206
CG13743	chr2R_-_9050629_9051151_9055885_9059120_9059253	3_Junction_105367_Junction_105370_Junction_105372_Junction_105377	J004	0.0596081172721686	0.0521092909148919	0.819432773116923	0.888494590209255	0.348404537793737	0.000385381546950714	-10.4367888301734	chr2R	9059120	9059253	134	-	0	5	5	0	0	0	0.00%	10.87%	7.69%	0.00%	0.00%	0.00%	0.0618666666666667
CG8080	chr2R_-_9091036_9091039_9091051_9091405	3_Junction_105574_Junction_105575_Junction_105577	J001	0.0922231824748583	3.29554106792646	0.069468217382437	0.117434934261317	0.928420022110876	0.622266962745814	-1.22934188340256	chr2R	9091036	9091405	370	-	15	14	8	0	4	2	5.07%	6.93%	2.20%	0.00%	2.84%	1.67%	0.0323
CG8080	chr2R_-_9091036_9091039_9091051_9091405	3_Junction_105574_Junction_105575_Junction_105577	J002	0.00644126394792648	58.9190988386233	1.64289785772312e-14	1.3084648394884e-13	1.75222979610635	1.27044393593394	-1.65425741125272	chr2R	9091039	9091405	367	-	84	72	128	8	14	11	28.38%	35.64%	35.26%	9.52%	9.93%	9.17%	0.235533333333333
CG8080	chr2R_-_9091036_9091039_9091051_9091405	3_Junction_105574_Junction_105575_Junction_105577	J003	0.00575069761459449	67.390764888192	2.22689629826599e-16	2.04472557611916e-15	2.0269622883369	2.21562914767121	0.631552512728565	chr2R	9091051	9091405	355	-	197	116	227	76	123	107	66.55%	57.43%	62.53%	90.48%	87.23%	89.17%	-0.2679
CG18659	chr2R_-_9128641_9131073_9131162	3_Junction_105825_Junction_105837	J001	0.0412269712226455	14.4935284288362	0.000140641881348733	0.00038245181739736	2.77581893514019	2.78873614302706	0.0429809960140961	chr2R	9128641	9131162	2522	-	917	757	1166	340	485	410	99.57%	99.08%	98.73%	100.00%	100.00%	100.00%	-0.00873333333333337
CG18659	chr2R_-_9128641_9131073_9131162	3_Junction_105825_Junction_105837	J002	0.0532940382719319	13.8466404554217	0.000198351033929845	0.000527991298132652	0.806866574657606	0.000562043069706242	-12.0285058108889	chr2R	9131073	9131162	90	-	4	7	15	0	0	0	0.43%	0.92%	1.27%	0.00%	0.00%	0.00%	0.00873333333333333
CG8008	chr2R_-_9159267_9159285_9159334	3_Junction_106005_Junction_106006	J001	0.0113413012484119	5.97220982606953	0.0145330573165974	0.0285054266159624	2.21755151436036	2.19174973871682	-0.0862501286394073	chr2R	9159267	9159334	68	-	202	156	206	128	160	138	99.02%	98.73%	98.56%	94.12%	98.16%	96.50%	0.0251
CG8008	chr2R_-_9159267_9159285_9159334	3_Junction_106005_Junction_106006	J002	0.0200097696685696	5.64256436680277	0.0175295497154176	0.033831312061387	0.481058381837182	0.834008985920387	1.5223193758248	chr2R	9159285	9159334	50	-	2	2	3	8	3	5	0.98%	1.27%	1.44%	5.88%	1.84%	3.50%	-0.0251
Rme-8	chr2R_-_9175661_9175671_9175731	3_Junction_106067_Junction_106068	J001	0.0770424942402672	20.8465307984423	4.97592711515109e-06	1.65360287294303e-05	0.00027687861688089	0.919472420957284	13.4841301024175	chr2R	9175661	9175731	71	-	0	0	0	5	6	13	0.00%	0.00%	0.00%	2.35%	2.22%	5.73%	-0.0343333333333333
Rme-8	chr2R_-_9175661_9175671_9175731	3_Junction_106067_Junction_106068	J002	0.0618187429049595	22.0671251390494	2.6328028543721e-06	9.05931903595475e-06	2.33737922502643	2.3191242412273	-0.0609278955091126	chr2R	9175671	9175731	61	-	206	165	256	208	264	214	100.00%	100.00%	100.00%	97.65%	97.78%	94.27%	0.0343333333333333
Rme-8	chr2R_-_9176235_9176318_9176391	3_Junction_106072_Junction_106075	J001	0.00351426123003914	28.2970514745641	1.04054360367156e-07	4.25695770213113e-07	2.36035667433292	2.35799190951516	-0.00789008574698435	chr2R	9176235	9176391	157	-	192	174	244	277	282	248	100.00%	100.00%	100.00%	96.18%	96.91%	97.25%	0.0321999999999999
Rme-8	chr2R_-_9176235_9176318_9176391	3_Junction_106072_Junction_106075	J002	0.00813176338566953	27.5521753406769	1.52913291750762e-07	6.13488521019405e-07	0.000321093101084201	0.934058746789566	13.3252793306994	chr2R	9176318	9176391	74	-	0	0	0	11	9	7	0.00%	0.00%	0.00%	3.82%	3.09%	2.75%	-0.0322
Rme-8	chr2R_-_9176500_9176533_9176586	3_Junction_106076_Junction_106078	J001	0.0177441628196457	20.1913693001597	7.00683561639677e-06	2.28140360641842e-05	0.000297823927736549	0.819137271932411	12.9933380896168	chr2R	9176500	9176586	87	-	0	0	0	5	9	5	0.00%	0.00%	0.00%	1.65%	3.59%	2.29%	-0.0251
Rme-8	chr2R_-_9176500_9176533_9176586	3_Junction_106076_Junction_106078	J002	0.00769527496635439	21.0364469052337	4.50629107747829e-06	1.50561205705027e-05	2.35303389906979	2.35010248513795	-0.00978148116903022	chr2R	9176533	9176586	54	-	173	194	262	298	242	213	100.00%	100.00%	100.00%	98.35%	96.41%	97.71%	0.0251
Not1	chr2R_-_9572783_9572817_9572852_9572916	3_Junction_106890_Junction_106895_Junction_106898	J001	0.00716232000359448	62.3938462431272	2.81200531989012e-15	2.38172239112403e-14	3.08623841720022	3.07103158431094	-0.0505581924206027	chr2R	9572783	9572916	134	-	1247	1050	1821	967	1164	1216	100.00%	100.00%	99.95%	98.07%	98.73%	98.86%	0.0143
Not1	chr2R_-_9572783_9572817_9572852_9572916	3_Junction_106890_Junction_106895_Junction_106898	J002	0.105393015220967	13.4483679998171	0.000245219402457697	0.000644050386319471	0.113141726480535	0.843054775752856	4.32558123276826	chr2R	9572817	9572916	100	-	0	0	1	8	7	2	0.00%	0.00%	0.05%	0.81%	0.59%	0.16%	-0.00503333333333333
Not1	chr2R_-_9572783_9572817_9572852_9572916	3_Junction_106890_Junction_106895_Junction_106898	J003	0.00804490722259529	45.3721799896278	1.62932354167195e-11	9.95335168733743e-11	0.000337651019982856	1.07557885652033	13.7747360319771	chr2R	9572852	9572916	65	-	0	0	0	11	8	12	0.00%	0.00%	0.00%	1.12%	0.68%	0.98%	-0.00926666666666667
Not1	chr2R_-_9575925_9576115_9576118_9576176	3_Junction_106911_Junction_106918_Junction_106919	J001	0.00526742338790112	68.3226681243657	1.38816025208817e-16	1.29277280500418e-15	0.000325344355488843	1.25468593893051	14.4673495728548	chr2R	9575925	9576176	252	-	0	0	0	15	21	14	0.00%	0.00%	0.00%	1.46%	1.63%	1.23%	-0.0144
Not1	chr2R_-_9575925_9576115_9576118_9576176	3_Junction_106911_Junction_106918_Junction_106919	J002	0.00912096751910302	0.639590469754523	0.423859132901014	0.552604804291787	3.02575484663565	3.0297166150578	0.0131730679555826	chr2R	9576115	9576176	62	-	1116	842	1508	957	1179	1018	92.46%	92.32%	91.62%	93.00%	91.54%	89.14%	0.00906666666666645
Not1	chr2R_-_9575925_9576115_9576118_9576176	3_Junction_106911_Junction_106918_Junction_106919	J003	0.0154327282431838	0.272259636953393	0.601820000851024	0.71911380368792	1.96590000363442	1.94255724401077	-0.0784143749369965	chr2R	9576118	9576176	59	-	91	70	138	57	88	110	7.54%	7.68%	8.38%	5.54%	6.83%	9.63%	0.00533333333333334
clos	chr2R_-_9587923_9588805_9592745	3_Junction_107034_Junction_107046	J001	0.0160774535942521	120.950092383698	3.91867071611908e-28	6.82435431930444e-27	0.00011472423417063	1.58209478603038	17.1034350811151	chr2R	9587923	9592745	4823	-	0	0	0	10	9	9	0.00%	0.00%	0.00%	66.67%	75.00%	52.94%	-0.6487
clos	chr2R_-_9587923_9588805_9592745	3_Junction_107034_Junction_107046	J002	0.00673417501441171	127.595709489306	1.37602499268559e-29	2.56394425050236e-28	1.37300623482769	1.34749041433201	-0.0886289085378014	chr2R	9588805	9592745	3941	-	103	76	106	5	3	8	100.00%	100.00%	100.00%	33.33%	25.00%	47.06%	0.6487
CG9014	chr2L_-_13723001_13723010_13723067	3_Junction_10767_Junction_10768	J001	0.0128657410200198	4.68807323470027	0.0303726870946672	0.0557582202811686	0.745390603760862	0.377034888032039	-1.72302208657608	chr2L	13723001	13723067	67	-	8	4	8	3	0	0	0.22%	0.14%	0.17%	0.18%	0.00%	0.00%	0.00116666666666667
CG9014	chr2L_-_13723001_13723010_13723067	3_Junction_10767_Junction_10768	J002	0.00678268988060359	4.86147823043449	0.0274627961918391	0.0509193555519605	3.4077683118695	3.41681391594135	0.0300604798619766	chr2L	13723010	13723067	58	-	3678	2886	4710	1705	2211	1771	99.78%	99.86%	99.83%	99.82%	100.00%	100.00%	-0.00116666666666676
Vamp7	chr2R_-_9842167_9842225_9842299	3_Junction_107714_Junction_107716	J001	0.052334378678166	44.3297072736066	2.77473405558727e-11	1.65664198701501e-10	2.20506525151859	2.53551541077951	1.10254697768564	chr2R	9842167	9842299	133	-	222	239	251	213	294	213	79.00%	87.23%	81.23%	99.53%	98.66%	96.38%	-0.157033333333333
Vamp7	chr2R_-_9842167_9842225_9842299	3_Junction_107714_Junction_107716	J002	0.0550373924801955	43.025767816174	5.40236183328285e-11	3.13912307914698e-10	1.53595446108619	0.858027320092704	-2.42476139304132	chr2R	9842225	9842299	75	-	59	35	58	1	4	8	21.00%	12.77%	18.77%	0.47%	1.34%	3.62%	0.157033333333333
