Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
Nop17l	chr2R_-_7801568_7801984_7802106_7802118_7802179	chr2R	-	7801568;7801984;7802106;7802118;7802179	1.05774888316966e-08	4.85267400659904e-08	-0.0072;-0.0032;0.0104333333333334;0.00759999999999994;-0.0076
Dgk	chr2R_-_7845199_7845223_7845737_7845870_7846754_7847430	chr2R	-	7845199;7845223;7845737;7845870;7846754;7847430	3.76651131346986e-147	5.61304348489846e-145	0.7693;-0.7693;-0.0618;-0.4505;0.5123;-0.234566666666667;-0.582766666666667;0.8173;0.566166666666667;-0.325566666666667;-0.2406;0.529266666666667;-0.371766666666667;-0.157466666666667;0.111266666666667;-0.111266666666667
CG14763	chr2R_-_7847643_7848271_7861075_7881809_7942888_7947603_7948520_7952041_7953900_7966313_7966740_7966743_7966802_7967399_7967624_7967884	chr2R	-	7847643;7848271;7861075;7881809;7942888;7947603;7948520;7952041;7953900;7966313;7966740;7966743;7966802;7967399;7967624;7967884	4.88300857520694e-26	7.7499749146151e-25	-0.458033333333333;0.458033333333333;-0.0285;-0.0421666666666667;-0.428833333333333;0.351933333333333;0.147633333333333;-0.2322;0.100533333333333;0.1317;-0.0228666666666667;0.0228666666666668;0.505266666666667;-0.301566666666667;-0.2037;0.504;-0.223866666666667;-0.0444;-0.235733333333333;0.0007;-0.000700000000000034
CG8728	chr2R_-_7938375_7938435_7938815_7938898_7938988	chr2R	-	7938375;7938435;7938815;7938898;7938988	1.00317873628997e-38	2.62999381947203e-37	-0.0151666666666667;0.0151666666666667;0.0183;-0.0125333333333333;-0.00576666666666667
CG8726	chr2R_-_7969476_7969572_7969769_7969813_7969867	chr2R	-	7969476;7969572;7969769;7969813;7969867	1.49838120416082e-07	6.01910508766392e-07	-0.0119666666666667;-0.0537666666666667;0.0657333333333333;0.0111999999999999;-0.0112
ACC	chr2R_-_7985451_7985600_7986947_7987064_7989514_7991708_7996463_7997203	chr2R	-	7985451;7985600;7986947;7987064;7989514;7991708;7996463;7997203	8.10487832718143e-10	4.19688834877618e-09	-0.569333333333333;0.569333333333333;-0.00676666666666667;0.0203333333333333;0.0619;-0.0415666666666665;0.0672333333333334;-0.101166666666667
Dic3	chr2R_-_7994344_7994402_7994409_7994513_7994517	chr2R	-	7994344;7994402;7994409;7994513;7994517	3.73449840446521e-32	7.73746965584954e-31	0.158866666666666;-0.1042;-0.0547;-0.143433333333333;0.143433333333333
Optix	chr2R_+_8032244_8033303_8033423_8034289_8034540_8041116_8041191	chr2R	+	8032244;8033303;8033423;8034289;8034540;8041116;8041191	1.747700358321e-141	2.48541753541587e-139	-0.0504;0.0504000000000001;-0.0210666666666667;-0.565133333333333;0.5862;0.0643333333333334;-0.0477333333333333;-0.0166333333333333
CG17977	chr2R_-_8057331_8057358_8066758_8067068_8067124_8067183_8067262_8067293_8067341_8067406_8067429	chr2R	-	8057331;8057358;8066758;8067068;8067124;8067183;8067262;8067293;8067341;8067406;8067429	3.59542336841828e-82	2.43433813904114e-80	-0.0581666666666667;-0.0157;0.0508333333333333;0.0230666666666667;-0.0229666666666667;-0.162633333333333;0.185566666666667;0.0162333333333334;-0.00233333333333333;-0.0139333333333333;0.0601000000000003;-0.0341666666666667;-0.0259
lig	chr2R_+_8072778_8073125_8073234_8073365_8073471_8073552_8073598_8073613	chr2R	+	8072778;8073125;8073234;8073365;8073471;8073552;8073598;8073613	7.21894335149302e-29	1.30170268671288e-27	0.0159666666666667;-0.202433333333333;0.186433333333333;-0.517733333333333;0.517733333333333;-0.0159666666666667;0.0159666666666667;0.1708;-0.1552;-0.0155666666666667;-0.152866666666667;0.146033333333333;0.00683333333333333
lig	chr2R_+_8074404_8074500_8075369_8075410_8075471_8075474	chr2R	+	8074404;8074500;8075369;8075410;8075471;8075474	7.20299790926554e-05	0.000204029083669821	-0.0300333333333333;0.0562999999999999;-0.0263;-0.00436666666666667;0.00570000000000015;-0.00136666666666667
sut3	chr2R_+_8089651_8089703_8089711_8091226_8092165_8095077	chr2R	+	8089651;8089703;8089711;8091226;8092165;8095077	9.9139232907599e-21	1.19447997445619e-19	-0.3818;0.3648;0.017;0.215;-0.0826000000000001;-0.1324
Rs1	chr2R_+_8133208_8133613_8133679_8157717_8157758_8157765_8157771_8164720_8164939_8165931_8166114	chr2R	+	8133208;8133613;8133679;8157717;8157758;8157765;8157771;8164720;8164939;8165931;8166114	1.38729510263929e-128	1.72135287566337e-126	-0.442933333333333;-0.301566666666667;0.744533333333333;-0.0503666666666667;0.0503666666666668;0.2802;-0.2568;-0.0142666666666667;-0.00913333333333333;0.3468;0.353633333333333;0.0810666666666667;-0.781466666666667
Lpin	chr2R_-_8140149_8140176_8140241_8140371_8140512	chr2R	-	8140149;8140176;8140241;8140371;8140512	0.0246459598494969	0.0461566100706683	-0.00393333333333334;0.00393333333333333;-0.0164333333333333;0.0164333333333333;0.0163666666666668;-0.0163666666666667
B4	chr2L_-_13506683_13508619_13509792_13512958_13513470_13513473_13534905_13535026_13535423_13541991_13542130_13542178_13542210_13546909_13547161_13549130_13597038_13639658	chr2L	-	13506683;13508619;13509792;13512958;13513470;13513473;13534905;13535026;13535423;13541991;13542130;13542178;13542210;13546909;13547161;13549130;13597038;13639658	0	0	-0.0768666666666667;-0.200366666666667;0.0617333333333333;0.215466666666667;-0.0220666666666667;-0.0794666666666667;-0.0101;-0.592766666666667;0.713566666666667;-0.0091;-0.172066666666666;0.172066666666667;0.1088;-0.0728333333333333;-0.036;0.5078;-0.358833333333334;-0.148966666666667;0.074;-0.074;0.274366666666667;-0.854933333333333;0.421033333333333;0.1859;-0.0164333333333333;-0.00993333333333333;-0.00156666666666683;0.00156666666666667
Lpin	chr2R_-_8143074_8145753_8148395_8148423_8149306_8156053	chr2R	-	8143074;8145753;8148395;8148423;8149306;8156053	1.09436705337034e-52	4.2718834412926e-51	-0.0311333333333333;0.0617000000000001;-0.0305666666666667;0.0819;-0.0819000000000001;-0.213633333333333;-0.201566666666667;0.415233333333333;0.0452666666666669;-0.0452666666666667
CG14757	chr2R_-_8164707_8164795_8168037_8172771_8172790_8173171	chr2R	-	8164707;8164795;8168037;8172771;8172790;8173171	1.67999898730437e-13	1.2309724718039e-12	-0.00676666666666667;0.0077666666666667;-0.000966666666666666;0.07;0.454633333333333;-0.524666666666667
LRP1	chr2R_+_8174831_8186903_8206625_8206740_8209498_8210724_8210973	chr2R	+	8174831;8186903;8206625;8206740;8209498;8210724;8210973	1.72073851243057e-15	1.48229012991522e-14	-0.197833333333333;0.197833333333333;-0.1469;0.1469;0.5416;-0.257766666666667;-0.1774;-0.106433333333333
pdm3	chr2R_+_8391736_8393555_8393737_8394561_8394564_8394619_8395029	chr2R	+	8391736;8393555;8393737;8394561;8394564;8394619;8395029	1.47782634274203e-39	3.98386560953545e-38	-0.258966666666667;0.258966666666667;-0.138966666666667;-0.0196666666666667;0.158633333333334;0.324533333333333;-0.1751;-0.149466666666667;0.0389333333333334;0.0360666666666669;-0.0749666666666667
Lnpk	chr2R_-_8597847_8598111_8598135_8598289_8598570_8599007_8599269	chr2R	-	8597847;8598111;8598135;8598289;8598570;8599007;8599269	1.26924052261506e-71	7.3042086133307e-70	-0.003;0.003;-0.0593333333333333;-0.00923333333333333;0.0685333333333333;0.0558000000000002;-0.000466666666666666;-0.0027;-0.0526666666666667;0.00919999999999999;-0.0092
Acsl	chr2R_+_8665870_8666311_8666766_8666794_8670820_8672278_8672775_8674645	chr2R	+	8665870;8666311;8666766;8666794;8670820;8672278;8672775;8674645	0.000254687605291296	0.000667398618250644	-0.0083;-0.0348666666666667;0.0350666666666667;-0.0148;0.0962;-0.0733666666666667;0.0996333333333333;-0.0996333333333335
CG12376	chr2R_+_8681627_8704048_8704052_8704057_8704100_8704119_8707057_8707092_8707137_8709391_8724464_8726613_8727777_8727846_8734162_8736408_8752407	chr2R	+	8681627;8704048;8704052;8704057;8704100;8704119;8707057;8707092;8707137;8709391;8724464;8726613;8727777;8727846;8734162;8736408;8752407	3.74278916764637e-39	9.93613637929413e-38	-0.0319;-0.149466666666667;-0.0734;-0.0501333333333333;0.304833333333333;0.00716666666666654;-0.00716666666666667;0.0420666666666668;-0.0420666666666667;-0.2228;0.2228;0.104333333333333;-0.0232666666666667;-0.0077;-0.0194666666666667;-0.0068;-0.00993333333333333;-0.0129333333333333;-0.0242333333333333;0.170866666666667;-0.170866666666667
CG12376	chr2R_+_8702201_8702494_8702533_8702860_8702922_8702955_8702998_8703050	chr2R	+	8702201;8702494;8702533;8702860;8702922;8702955;8702998;8703050	2.33285539930474e-84	1.63042317951213e-82	-0.0212;0.0212;-0.106666666666667;0.106666666666666;-0.0409666666666667;0.196366666666667;-0.0182;-0.0218;-0.115433333333333
CG12376	chr2R_+_8703537_8703591_8703605_8703755_8703794_8703812_8703876_8703881	chr2R	+	8703537;8703591;8703605;8703755;8703794;8703812;8703876;8703881	1.20094784088643e-111	1.18573086203296e-109	-0.0944666666666667;-0.243633333333333;0.3381;0.00120000000000001;0.0611333333333329;-0.0623;0.2893;-0.2893;-0.00309999999999999;0.0031
kuz	chr2L_+_13550293_13550355_13550420_13550983_13551140	chr2L	+	13550293;13550355;13550420;13550983;13551140	0.00188495873335849	0.00432384774610696	-0.0411;0.0411000000000001;-0.2055;0.2055;0.339066666666667;-0.339066666666667
sns	chr2R_+_8832456_8832596_8832621_8832643_8832702_8832870_8833791_8833981_8834950_8835101_8841355_8841511_8843082_8843195_8846765_8846948_8851938_8860430_8862841_8863010_8865854_8870447_8870922_8871023_8872218	chr2R	+	8832456;8832596;8832621;8832643;8832702;8832870;8833791;8833981;8834950;8835101;8841355;8841511;8843082;8843195;8846765;8846948;8851938;8860430;8862841;8863010;8865854;8870447;8870922;8871023;8872218	7.75322084746716e-32	1.58412851659818e-30	0.152833333333333;-0.152833333333333;-0.281633333333333;0.370933333333333;-0.0893333333333333;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;-0.177933333333333;-0.0342333333333333;0.212166666666667;-0.0614333333333333;-0.2285;0.289933333333333;-0.0316;-0.799833333333333;0.831433333333333;-0.301533333333333;-0.0603;0.559966666666667;-0.1981;-0.1891;0.3697;-0.137466666666667;-0.0431333333333333;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0.0754666666666668;-0.0754666666666667;0.887666666666667;-0.570566666666667;-0.2681;-0.049;0.8364;-0.8364
kuz	chr2L_+_13551666_13558798_13558832_13594254_13606359_13609789_13610578_13611377_13630704	chr2L	+	13551666;13558798;13558832;13594254;13606359;13609789;13610578;13611377;13630704	2.8781059654972e-22	3.78693416580421e-21	-0.182666666666667;0.0624666666666667;0.1202;-0.186133333333333;0.186133333333333;0.296833333333333;-0.0288666666666667;-0.121333333333333;-0.146633333333333;0.204233333333333;-0.204233333333333
RyR	chr2R_+_8883922_8884189_8891918_8893737_8893924	chr2R	+	8883922;8884189;8891918;8893737;8893924	1.02761063055673e-26	1.68439605006838e-25	-0.174066666666667;0.174066666666666;0.735933333333333;-0.403366666666667;-0.332566666666667
Pgi	chr2R_-_8891118_8891248_8891775_8901456_8907021_8912256_8912506_8912603_8913168_8913187_8913255_8913431	chr2R	-	8891118;8891248;8891775;8901456;8907021;8912256;8912506;8912603;8913168;8913187;8913255;8913431	9.29243245781605e-122	1.04595795212037e-119	-0.0305333333333333;-0.0182666666666667;-0.00633333333333333;0.0766000000000001;-0.0214666666666667;-0.00636666666666667;0.00306666666666667;0.0033333333333333;0.0475666666666665;0.0489666666666667;-0.0779666666666667;-0.0185;-0.0056;0.00560000000000005
Sec31	chr2R_+_8895644_8895785_8895843_8895949_8895952_8896053_8896202	chr2R	+	8895644;8895785;8895843;8895949;8895952;8896053;8896202	2.65481495072764e-11	1.58782795196864e-10	0.0594666666666668;-0.0594666666666667;-0.0861;0.0861000000000001;-0.0816666666666667;0.1089;0.0447666666666667;-0.0719666666666667
babo	chr2R_+_8951892_8952000_8953417_8954732_8954851_8954957_8955167_8955711_8955858_8957156_8959105	chr2R	+	8951892;8952000;8953417;8954732;8954851;8954957;8955167;8955711;8955858;8957156;8959105	2.63248340578167e-281	1.03465276363942e-278	-0.649666666666667;0.649666666666667;-0.371433333333333;0.119466666666667;-0.120866666666667;0.2586;0.114233333333333;0.390366666666667;-0.1879;-0.202433333333333;-0.293266666666667;0.236466666666667;0.0567666666666667
ana	chr2R_+_8960213_8960275_9018375_9018423_9018466_9018496_9018587_9062479_9069626_9074069	chr2R	+	8960213;8960275;9018375;9018423;9018466;9018496;9018587;9062479;9069626;9074069	0	0	-0.0506333333333333;-0.113133333333333;-0.110866666666667;0.274633333333333;0.0103666666666667;-0.0103666666666667;-0.00173333333333333;-0.287133333333333;0.294;-0.0023;-0.00286666666666667
ana	chr2R_+_9074450_9074459_9074838_9075945_9076368	chr2R	+	9074450;9074459;9074838;9075945;9076368	2.89800998855389e-15	2.45267925344577e-14	0.111466666666667;-0.111466666666667;-0.0561666666666667;0.0561666666666667;0.0802333333333333;-0.0802333333333333
CNT1	chr2R_+_9082985_9083210_9083215_9084601_9084660_9084687_9085216_9087921_9088583_9088640_9088808_9088864_9096202_9096381_9096438_9096669_9099253_9099389	chr2R	+	9082985;9083210;9083215;9084601;9084660;9084687;9085216;9087921;9088583;9088640;9088808;9088864;9096202;9096381;9096438;9096669;9099253;9099389	4.32020575998362e-143	6.24940259703029e-141	Inf;Inf;-0.1663;0.1663;-0.286066666666667;0.286066666666667;-0.0679333333333333;-0.2076;0.2755;-0.2877;0.2877;0.211433333333333;0.00223333333333333;-0.0128333333333333;-0.0243666666666667;-0.0386333333333333;-0.104966666666667;-0.0127;-0.0201666666666667;0.2045;-0.1401;-0.0644;0.225466666666667;-0.225466666666667
Uhg4	chr2R_+_9095339_9095418_9095576_9095629_9095896	chr2R	+	9095339;9095418;9095576;9095629;9095896	7.88052764507843e-10	4.08544646693543e-09	-0.300933333333333;0.300933333333333;-0.0790333333333333;0.546533333333333;-0.467466666666667
Uhg4	chr2R_+_9096735_9096924_9096991_9097060_9097240	chr2R	+	9096735;9096924;9096991;9097060;9097240	0.00116813812952192	0.0027674126210824	0.3604;-0.3604;-0.408366666666667;0.408366666666667;-0.328533333333333;0.328533333333333
Su(var)2-10	chr2R_+_9118827_9118898_9119047_9119751_9119831_9119909_9120776_9121062_9121092_9121734_9138298_9150087_9150187	chr2R	+	9118827;9118898;9119047;9119751;9119831;9119909;9120776;9121062;9121092;9121734;9138298;9150087;9150187	2.26488380763979e-140	3.19865090874806e-138	-0.215333333333333;0.228033333333333;-0.0127333333333333;-0.141766666666667;0.141766666666667;0.200266666666667;-0.181166666666667;-0.00863333333333333;-0.0105;0.0276333333333333;0.00653333333333334;0.0325;-0.00443333333333329;-0.0622333333333333;0.8381;-0.8381
CG18659	chr2R_-_9124139_9124145_9124742_9125220_9125549_9126066_9126179_9126213_9127025_9127162_9127417	chr2R	-	9124139;9124145;9124742;9125220;9125549;9126066;9126179;9126213;9127025;9127162;9127417	1.44263343733181e-152	2.25561650358949e-150	-0.0170333333333333;0.150433333333333;-0.1334;-0.252066666666667;0.533466666666667;-0.2582;-0.0232666666666667;-0.0693;0.383266666666667;-0.313966666666667;-0.481633333333333;0.481633333333333;-0.0229666666666667;0.0229666666666666
robo2	chr2L_-_1362590_1362661_1374714_1382632_1384925	chr2L	-	1362590;1362661;1374714;1382632;1384925	9.06215339092411e-15	7.36503955416217e-14	-0.6356;0.6356;Inf;Inf;Inf
Hydr1	chr2R_+_9132528_9132589_9132767_9132986_9133045_9133046_9133347_9133597	chr2R	+	9132528;9132589;9132767;9132986;9133045;9133046;9133347;9133597	1.11848811041566e-33	2.4595048113819e-32	-0.0692333333333333;0.1563;-0.0870333333333333;-0.0270333333333333;-0.0128666666666667;-0.301;0.0077;0.1134;0.219766666666667;0.568666666666667;-0.568666666666667;0.731566666666667;-0.731566666666667;0.184266666666667;-0.184266666666667
alc	chr2R_-_9135995_9136194_9136950_9138921_9139527_9139589	chr2R	-	9135995;9136194;9136950;9138921;9139527;9139589	1.35334140520179e-46	4.49013067703592e-45	-0.3617;0.3617;0.245566666666667;-0.3257;0.0484666666666667;0.0316666666666667
kuz	chr2L_+_13636001_13636213_13636382_13636843_13637222_13637286	chr2L	+	13636001;13636213;13636382;13636843;13637222;13637286	1.01361273581655e-13	7.57794170343117e-13	-0.363433333333333;0.122433333333333;-0.00186666666666666;0.242866666666667;-0.501566666666667;0.501566666666667
DIP-kappa	chr2L_-_13640481_13641108_13641270_13642018_13684548_13686093_13687519_13687658_13689354_13690289_13690488_13690531_13722418_13723455_13723475_13723484_13723530	chr2L	-	13640481;13641108;13641270;13642018;13684548;13686093;13687519;13687658;13689354;13690289;13690488;13690531;13722418;13723455;13723475;13723484;13723530	4.61368003785739e-27	7.6776959513322e-26	-0.188533333333333;-0.657766666666667;0.8463;-0.160566666666667;0.160566666666667;Inf;Inf;Inf;Inf;-0.00526666666666667;-0.0561666666666667;0.0655666666666668;-0.00413333333333334;0.0332333333333333;-0.0332333333333333;0.8475;-0.473133333333333;-0.0730666666666667;-0.2023;-0.099;0.667266666666667;-0.667266666666667;0.168266666666667;-0.168266666666667;0.1941;-0.1941
Pkn	chr2R_-_9255709_9256038_9257408_9258060_9258838_9260144_9265488	chr2R	-	9255709;9256038;9257408;9258060;9258838;9260144;9265488	1.12147446032903e-40	3.12631765768732e-39	-0.0337999999999999;0.0338;-0.0870666666666667;0.0870666666666667;-0.0755333333333333;0.0755333333333332;0.485066666666667;-0.3895;-0.0955666666666667
Pkn	chr2R_-_9267976_9268367_9271983_9283826_9285538_9285601_9304335_9304972	chr2R	-	9267976;9268367;9271983;9283826;9285538;9285601;9304335;9304972	5.67445730836302e-16	5.06305700613476e-15	-0.1094;0.1094;-0.143866666666667;0.143866666666667;0.195833333333333;0.0934666666666667;-0.0921333333333333;-0.167633333333333;-0.0295
wun	chr2R_-_9286348_9286413_9305756_9307267_9402835_9403705	chr2R	-	9286348;9286413;9305756;9307267;9402835;9403705	1.97171571401936e-08	8.77146481266414e-08	-0.0596666666666667;-0.0424;0.1021;0.0512;-0.0512;0.1297;-0.1297
wun	chr2R_-_9370517_9371563_9374597_9398458_9398582_9400068_9400255_9401148_9402234_9402407	chr2R	-	9370517;9371563;9374597;9398458;9398582;9400068;9400255;9401148;9402234;9402407	2.1451829954014e-21	2.68667127772132e-20	-0.0694333333333333;-0.0750333333333333;-0.0932333333333333;0.119933333333333;0.117766666666667;-0.7971;0.7971;Inf;Inf;0.0894666666666666;-0.0683;-0.0211666666666667
Not1	chr2R_-_9404458_9409211_9409653_9413223_9423556_9435334_9435392_9436798_9437418_9437732_9440700_9441190_9441505_9561062_9568086_9568375_9568561_9568922_9568983_9576384_9576403_9577011_9577688_9577836_9578183_9593762_9594387_9609442_9610138_9613759_9614825_9614972_9615361	chr2R	-	9404458;9409211;9409653;9413223;9423556;9435334;9435392;9436798;9437418;9437732;9440700;9441190;9441505;9561062;9568086;9568375;9568561;9568922;9568983;9576384;9576403;9577011;9577688;9577836;9578183;9593762;9594387;9609442;9610138;9613759;9614825;9614972;9615361	1.8661917255969e-118	2.02721984078053e-116	-0.0362333333333333;-0.3234;-0.0432333333333333;0.402866666666667;-0.0202333333333333;-0.0351333333333333;-0.0742666666666667;-0.0241333333333333;-0.224033333333333;0.377866666666667;-0.0127;-0.0191333333333333;-0.0140333333333333;-0.00696666666666667;-0.0116;-0.0240666666666667;0.0884999999999998;-0.0372666666666667;0.0372666666666668;-0.1075;-0.200766666666667;-0.1715;-0.109733333333333;0.589466666666667;0.0239999999999999;-0.024;0.0397666666666667;-0.0397666666666667;0.9179;-0.6121;-0.153766666666667;-0.105;-0.0469333333333333;0.224566666666667;-0.129333333333333;-0.0721333333333333;-0.0231;0.0722333333333333;0.4578;-0.0602333333333333;-0.395033333333333;-0.0747;0.159;-0.159;0.0323;-0.0323;0.0504333333333332;-0.0504333333333333;0.0122;0.0209333333333333;-0.0079;-0.00700000000000001;-0.0182333333333333;0.440566666666667;-0.440566666666667;0.240866666666667;-0.240866666666667
Pten	chr2L_-_10255270_10255719_10256067_10256506_10256908_10257122_10257393_10257650_10257716_10257776	chr2L	-	10255270;10255719;10256067;10256506;10256908;10257122;10257393;10257650;10257716;10257776	1.45112442316924e-14	1.16193913066706e-13	-0.0457666666666667;0.00936666666666663;0.0364;-0.0160333333333333;-0.0556333333333333;-0.0133333333333333;0.0849333333333334;-0.00656666666666672;0.0150666666666667;-0.005;-0.00356666666666667;0.0548;0.0494;-0.104266666666667
