Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
CG43340	chr2R_+_7647677_7648295	chr2R	+	7647677	7648295	1.01342096600454e-09	5.18463308589969e-09	-0.441409975537198
CG43340	chr2R_+_7648697_7650309	chr2R	+	7648697	7650309	8.08702848250105e-14	6.09665723149354e-13	-0.331325114136477
LRR	chr2R_-_7680999_7681306	chr2R	-	7680999	7681306	0.000886642624703344	0.00214123295848344	-0.101066797361295
LRR	chr2R_-_7685589_7686542	chr2R	-	7685589	7686542	2.05701914754288e-05	6.28237703230096e-05	-0.0774563724803305
sax	chr2R_+_7807201_7807567	chr2R	+	7807201	7807567	0.0174091350263372	0.0336211408551398	-0.0375743397547357
CG7110	chr2L_+_13404026_13404406	chr2L	+	13404026	13404406	1.38157871835343e-06	4.92326145820398e-06	-0.245156395115785
Dgk	chr2R_-_7843915_7844543	chr2R	-	7843915	7844543	1.85458827801028e-10	1.02307710883497e-09	-0.107802555649606
Dgk	chr2R_-_7845870_7846754	chr2R	-	7845870	7846754	2.90754821088145e-93	2.27427816971866e-91	-0.414024784232021
Dgk	chr2R_-_7848404_7848888	chr2R	-	7848404	7848888	7.45542109256187e-06	2.41909315548813e-05	-0.682010582010582
Dgk	chr2R_-_7848998_7850717	chr2R	-	7848998	7850717	3.20497865971377e-06	1.09157735263252e-05	-0.604106280193237
Dgk	chr2R_-_7851052_7853404	chr2R	-	7851052	7853404	9.92549756078085e-05	0.000275687068366543	-0.526010101010101
Dgk	chr2R_-_7854720_7859161	chr2R	-	7854720	7859161	4.29718873988426e-05	0.000125615130439264	-0.46198905438082
Dgk	chr2R_-_7859245_7860990	chr2R	-	7859245	7860990	5.28517865558957e-11	3.07365365521653e-10	-0.661692901327048
Dgk	chr2R_-_7861075_7881809	chr2R	-	7861075	7881809	2.93723145534862e-18	3.05231409114545e-17	-0.77181796927887
Dgk	chr2R_-_7881920_7885518	chr2R	-	7881920	7885518	6.78373295802427e-12	4.29922907728708e-11	-0.604646464646465
Or43b	chr2R_-_7921472_7921766	chr2R	-	7921472	7921766	1.13699463302329e-09	5.78521891307194e-09	-0.196290387092719
CG2906	chr2R_+_7956289_7956634	chr2R	+	7956289	7956634	2.01241683938983e-31	4.03849632080891e-30	-0.751448841051548
nito	chr2R_+_7965326_7965606	chr2R	+	7965326	7965606	2.79537905168742e-07	1.08662989942327e-06	-0.152820727333354
CG12769	chr2R_-_8055033_8055730	chr2R	-	8055033	8055730	1.01944035286549e-13	7.62031530604254e-13	0.531486931018766
lig	chr2R_+_8077292_8077729	chr2R	+	8077292	8077729	1.11651701178982e-11	6.93076711826695e-11	-0.270372930237477
slv	chr2R_-_8081503_8081860	chr2R	-	8081503	8081860	5.38505416253318e-13	3.77280797604626e-12	-0.512371747026919
sut1	chr2R_+_8083385_8084529	chr2R	+	8083385	8084529	1.28476332473398e-13	9.51511002172916e-13	-0.698994884970495
Tmem63	chr2R_+_8098853_8099554	chr2R	+	8098853	8099554	9.02450213249691e-16	7.94413840194154e-15	-0.210210758729226
Asap	chr2R_-_8115715_8116130	chr2R	-	8115715	8116130	8.5704012275967e-09	3.96852628568389e-08	-0.222019520614898
CG46308	chr2L_+_13496698_13497237	chr2L	+	13496698	13497237	6.90119253204466e-21	8.39622594101911e-20	-0.672990112815166
Asap	chr2R_-_8119620_8122255	chr2R	-	8119620	8122255	2.46815312166737e-13	1.78155327042493e-12	-0.262473301457372
Pabp2	chr2R_+_8133208_8133613	chr2R	+	8133208	8133613	2.09513033577892e-13	1.5234446066474e-12	-0.130009144669217
LRP1	chr2R_+_8206740_8209498	chr2R	+	8206740	8209498	4.40838028254366e-07	1.67151815944933e-06	-0.35581411550886
LRP1	chr2R_+_8210724_8210973	chr2R	+	8210724	8210973	1.43652972173787e-05	4.4829353483707e-05	-0.439030380795277
LRP1	chr2R_+_8218498_8218776	chr2R	+	8218498	8218776	1.67959539810975e-07	6.70563252874848e-07	-0.283269459495176
pdm3	chr2R_+_8389506_8390178	chr2R	+	8389506	8390178	3.03759753535392e-19	3.35601864080526e-18	-0.592485356811187
pdm3	chr2R_+_8391736_8393555	chr2R	+	8391736	8393555	2.59529084705191e-24	3.79528457265292e-23	-0.42495466626922
pdm3	chr2R_+_8394619_8395029	chr2R	+	8394619	8395029	2.53792007669456e-29	4.67531545006735e-28	-0.364864034323348
CG2121	chr2R_-_8397355_8397612	chr2R	-	8397355	8397612	3.06201916620163e-07	1.18485532292943e-06	-0.64496151996152
mtt	chr2R_-_8486302_8486816	chr2R	-	8486302	8486816	2.49330614708924e-07	9.7427715128148e-07	-0.740179252479024
mtt	chr2R_-_8486988_8489215	chr2R	-	8486988	8489215	9.06136856290287e-10	4.6639886025657e-09	-0.709872245235755
NONE	chr2R_+_8523751_8532138	chr2R	+	8523751	8532138	8.90151307235034e-19	9.57724348486673e-18	-0.936721844934918
Lnpk	chr2R_-_8598289_8598570	chr2R	-	8598289	8598570	0.00102534339578153	0.00245251333468349	-0.0145208395868506
Lnpk	chr2R_-_8599007_8599269	chr2R	-	8599007	8599269	2.79373253287407e-06	9.58770242720984e-06	-0.0244221093825172
ptc	chr2R_+_8660505_8660841	chr2R	+	8660505	8660841	0.00971873685600154	0.0196979765047885	-0.12294492232634
Acsl	chr2R_+_8676607_8677063	chr2R	+	8676607	8677063	1.13978983497049e-13	8.48049162420522e-13	-0.51652579725175
CG8738	chr2R_+_8697122_8697648	chr2R	+	8697122	8697648	6.46303003628137e-08	2.71040314566031e-07	-0.457525003020097
CG14767	chr2R_-_8723452_8723704	chr2R	-	8723452	8723704	1.0870981959297e-10	6.14284763024278e-10	-0.1376283417973
gcl	chr2R_+_8724464_8726613	chr2R	+	8724464	8726613	4.11281482444813e-07	1.56642371494515e-06	-0.380446919277011
RyR	chr2R_+_8870447_8870922	chr2R	+	8870447	8870922	1.63621301508738e-09	8.18902147246673e-09	-0.566950501625424
RyR	chr2R_+_8871023_8872218	chr2R	+	8871023	8872218	0.000208645100623408	0.000553477641348896	-0.330202805324757
RyR	chr2R_+_8881954_8882302	chr2R	+	8881954	8882302	0.00651655946355038	0.0136326888996779	-0.268926011264721
Ggamma1	chr2R_+_8901522_8902135	chr2R	+	8901522	8902135	6.13209888757914e-10	3.2145491013617e-09	-0.267425013138844
babo	chr2R_+_8957156_8959105	chr2R	+	8957156	8959105	0.0149998200138602	0.0293469120586259	-0.075374469851909
ana	chr2R_+_9074459_9074838	chr2R	+	9074459	9074838	1.47732623213399e-10	8.23439436139858e-10	-0.295380543374333
ana	chr2R_+_9075613_9075871	chr2R	+	9075613	9075871	9.26083337043864e-22	1.18367896480696e-20	-0.684988130149421
ana	chr2R_+_9075945_9076368	chr2R	+	9075945	9076368	1.63837336830153e-11	1.00035102028377e-10	-0.163715770868249
CG8080	chr2R_-_9091051_9091405	chr2R	-	9091051	9091405	2.45324375480941e-11	1.47188452312037e-10	-0.260748911332853
NLaz	chr2L_-_1360926_1361456	chr2L	-	1360926	1361456	1.40728197636221e-13	1.03800468481276e-12	-0.0453055314783081
Su(var)2-10	chr2R_+_9119047_9119751	chr2R	+	9119047	9119751	0.00615683164241599	0.0129378381940718	-0.332634541286938
Hydr1	chr2R_+_9132767_9133045	chr2R	+	9132767	9133045	1.58759037173907e-11	9.7079427655359e-11	-0.430676952903382
Hydr1	chr2R_+_9133347_9133597	chr2R	+	9133347	9133597	6.70597776096292e-11	3.86365431273167e-10	-0.234638298984071
shrb	chr2R_-_9143236_9143618	chr2R	-	9143236	9143618	0.0149320557043526	0.0292251233622564	-0.0221800926762469
CG30344	chr2R_+_9145972_9146644	chr2R	+	9145972	9146644	1.32043781033149e-15	1.1483715191323e-14	-0.259635036269531
kuz	chr2L_+_13633540_13634017	chr2L	+	13633540	13634017	9.81757616942238e-06	3.13289997569201e-05	-0.137457804155577
Rme-8	chr2R_-_9176832_9177140	chr2R	-	9176832	9177140	1.45173527100306e-35	3.40924252808243e-34	-0.400134560549031
CG5676	chr2L_-_10255270_10255719	chr2L	-	10255270	10255719	1.64447592022083e-27	2.78849476176927e-26	-0.0480146487293394
hig	chr2R_-_9228787_9229092	chr2R	-	9228787	9229092	0.000867026250704699	0.00209701008488136	-0.362733616356805
ics	chr2L_-_13641270_13642018	chr2L	-	13641270	13642018	3.10415422935201e-09	1.50682926393871e-08	-0.698287831879163
Myd88	chr2R_-_9304335_9304972	chr2R	-	9304335	9304972	4.4570368117698e-08	1.90142094659023e-07	-0.387154920699876
CG18507	chr2L_+_13666122_13667973	chr2L	+	13666122	13667973	7.76452927918762e-07	2.85617766326673e-06	-0.133324194238983
prel	chr2R_+_9424915_9425245	chr2R	+	9424915	9425245	1.78131002717422e-08	7.9642895720874e-08	-0.0404919557694697
ced-6	chr2R_-_9437732_9440700	chr2R	-	9437732	9440700	1.06712116834245e-05	3.38852538792881e-05	-0.365764646444935
CG18507	chr2L_+_13670597_13671413	chr2L	+	13670597	13671413	2.82219501368192e-05	8.46002110921718e-05	-0.33342244135701
Camta	chr2R_+_9470164_9471274	chr2R	+	9470164	9471274	7.23037834633609e-08	3.01655492035877e-07	-0.222608174491162
Wnt2	chr2R_+_9501588_9501971	chr2R	+	9501588	9501971	3.60841419808044e-09	1.73933345294535e-08	-0.163900995632627
brp	chr2R_+_9527682_9528137	chr2R	+	9527682	9528137	1.28091086626188e-16	1.19530514755e-15	-0.643041684748985
brp	chr2R_+_9528633_9530088	chr2R	+	9528633	9530088	6.82010621613448e-09	3.19528319264168e-08	-0.504176046577326
brp	chr2R_+_9532984_9533344	chr2R	+	9532984	9533344	3.17423726437834e-12	2.06963394399336e-11	-0.532900729149329
brp	chr2R_+_9533534_9533800	chr2R	+	9533534	9533800	7.99435940333114e-11	4.57363597897867e-10	-0.582350918557815
brp	chr2R_+_9535568_9535839	chr2R	+	9535568	9535839	4.83591842489383e-09	2.30124345908399e-08	-0.65217371491971
CG1888	chr2R_-_9546296_9546724	chr2R	-	9546296	9546724	4.57143226600591e-11	2.67487683314466e-10	-0.260809020020273
CG30338	chr2R_+_9594159_9598580	chr2R	+	9594159	9598580	2.93065694207497e-12	1.91745863331663e-11	-0.409612992930677
CG12926	chr2R_-_9609442_9610138	chr2R	-	9609442	9610138	1.42858010811625e-28	2.54391815518476e-27	-0.738532974848764
Uba1	chr2R_-_9691703_9692280	chr2R	-	9691703	9692280	3.15846390162276e-07	1.22011481194827e-06	-0.0261996240911964
sqa	chr2R_-_9720765_9721018	chr2R	-	9720765	9721018	3.29970483020346e-05	9.79558789484205e-05	0.228630486114554
trpl	chr2R_+_9762276_9762721	chr2R	+	9762276	9762721	2.58976567455168e-08	1.13616141203331e-07	-0.61291527650995
CG1688	chr2R_-_9769489_9771818	chr2R	-	9769489	9771818	2.66666382677525e-05	8.02135349790321e-05	-0.442735042735043
CG1698	chr2R_+_9793567_9795426	chr2R	+	9793567	9795426	7.71013546665701e-48	2.66242534492353e-46	-0.723766253259774
CG1698	chr2R_+_9795894_9796296	chr2R	+	9795894	9796296	6.17187900648516e-44	1.89642117307516e-42	-0.571390796191328
CG1663	chr2R_+_9838410_9838852	chr2R	+	9838410	9838852	5.01251472792266e-05	0.000145061273801057	-0.131076085002031
Pten	chr2L_-_10256506_10256908	chr2L	-	10256506	10256908	1.47195335724362e-14	1.17782613737179e-13	-0.580734161642488
Sting	chr2R_+_9842840_9843735	chr2R	+	9842840	9843735	3.18221174182878e-05	9.46860382756168e-05	-0.455875259664589
PCB	chr2R_-_9856210_9860368	chr2R	-	9856210	9860368	2.77682986957562e-07	1.0798455746581e-06	-0.199939391781366
Sec24AB	chr2R_-_9881216_9881465	chr2R	-	9881216	9881465	0.00948946460826718	0.0192679539124475	-0.19618939822675
CG1513	chr2R_-_9884206_9884620	chr2R	-	9884206	9884620	1.59807985741033e-33	3.48996636728058e-32	-0.272532497676051
CG1441	chr2R_-_9901154_9903163	chr2R	-	9901154	9903163	5.67780452169042e-12	3.62467392276269e-11	-0.672516096638904
Pten	chr2L_-_10257122_10257393	chr2L	-	10257122	10257393	3.005883632072e-13	2.15512546827077e-12	-0.453753998798689
Pal1	chr2R_+_9961003_9961561	chr2R	+	9961003	9961561	3.5978610543029e-19	3.95820050655791e-18	-0.147091869316602
Pka-R2	chr2R_-_9997220_9997702	chr2R	-	9997220	9997702	2.68542089812329e-59	1.20246339708642e-57	-0.310213255289812
Pka-R2	chr2R_-_9998802_9999423	chr2R	-	9998802	9999423	1.55550740298164e-28	2.76374951689227e-27	-0.120808281578257
dpr10	chr3L_-_10149669_10150331	chr3L	-	10149669	10150331	1.11344836084163e-11	6.91261830825579e-11	-0.678103688973254
dpr10	chr3L_-_10150501_10150974	chr3L	-	10150501	10150974	3.86196784996987e-24	5.59899238435438e-23	-0.727475416999227
trio	chr3L_-_1028511_1029078	chr3L	-	1028511	1029078	1.69516724316447e-05	5.23727824636293e-05	-0.108921915918795
trio	chr3L_-_1034065_1034496	chr3L	-	1034065	1034496	6.17281012483435e-26	9.75808737789283e-25	-0.254602323992226
CG9008	chr2L_-_13777822_13779643	chr2L	-	13777822	13779643	1.51186159116438e-38	3.94767232484653e-37	-0.340140841675474
Rbfox1	chr3L_+_10585539_10587625	chr3L	+	10585539	10587625	4.04612776335641e-15	3.38412874794985e-14	-0.29712046217437
E(z)	chr3L_-_10636093_10636424	chr3L	-	10636093	10636424	2.77598435114594e-20	3.25645473130582e-19	-0.692647914151226
NijA	chr3L_-_10694726_10695022	chr3L	-	10694726	10695022	9.6873633252025e-10	4.96867653804456e-09	-0.626595706165599
tna	chr3L_+_10870879_10871328	chr3L	+	10870879	10871328	7.44463165138702e-08	3.10133009892852e-07	-0.0527963591913393
Sec71	chr2L_+_13794628_13794894	chr2L	+	13794628	13794894	6.88282877707289e-35	1.58156925178792e-33	-0.225479983685223
Aps	chr3L_-_10896877_10897681	chr3L	-	10896877	10897681	1.51565000898503e-19	1.7028031481501e-18	-0.729435904842241
CG43693	chr3L_-_11038434_11039616	chr3L	-	11038434	11039616	0.00647790770942182	0.0135597604620713	-0.0851637542910654
Mocs1	chr3L_+_11071129_11071557	chr3L	+	11071129	11071557	5.64435241695354e-06	1.86193740731638e-05	-0.407227951421532
JIL-1	chr3L_-_11079762_11080301	chr3L	-	11079762	11080301	4.62320595092715e-15	3.8496847457275e-14	-0.0698368499303027
Sod1	chr3L_-_11112848_11113572	chr3L	-	11112848	11113572	0.00177063617573757	0.00407801880074247	-0.00706976984938552
FoxK	chr3L_-_11118065_11118413	chr3L	-	11118065	11118413	2.86889203043741e-08	1.25209020574282e-07	-0.362860337737789
b	chr2L_+_13822148_13822680	chr2L	+	13822148	13822680	1.86966128383143e-05	5.74339134909516e-05	-0.740987654320988
GlcAT-P	chr3L_-_11179716_11182153	chr3L	-	11179716	11182153	0.017818048019112	0.0343399237768918	-0.265924291323273
asRNA:CR46050	chr3L_-_11229365_11229930	chr3L	-	11229365	11229930	0.00861710387345431	0.0176305324145053	0.024154756759738
scyl	chr3L_+_11252960_11253701	chr3L	+	11252960	11253701	0.00241673156378652	0.00544290359887372	-0.0303225268542451
CG6163	chr3L_-_11363918_11364607	chr3L	-	11363918	11364607	1.7964466049043e-17	1.77613570894284e-16	-0.282713794599035
CG33489	chr3L_-_11576034_11576336	chr3L	-	11576034	11576336	2.17713794603285e-06	7.56601314429626e-06	-0.362941848967989
Akr1B	chr3L_-_11620665_11620921	chr3L	-	11620665	11620921	1.27889187665566e-21	1.62259123307791e-20	-0.0764759858010059
Akr1B	chr3L_-_11622175_11623546	chr3L	-	11622175	11623546	0.000572014456901097	0.00142266743614788	-0.0351396455844941
CG32091	chr3L_+_11640197_11640655	chr3L	+	11640197	11640655	4.01795060122714e-06	1.35131902020302e-05	-0.400230007224839
Sugb	chr3L_+_11686208_11686723	chr3L	+	11686208	11686723	6.99073699119229e-08	2.9214313165506e-07	-0.246643306238407
Pldn	chr3L_-_11690312_11690895	chr3L	-	11690312	11690895	5.99824336432496e-33	1.28366894341629e-31	-0.552960614523059
Bmcp	chr3L_+_11721464_11722003	chr3L	+	11721464	11722003	0.00104051534227379	0.00248605977031728	-0.0920901687446949
CenG1A	chr2L_+_13879706_13891298	chr2L	+	13879706	13891298	1.90256690697532e-06	6.66264000145686e-06	-0.312465790914067
RpL10Ab	chr3L_+_11822890_11823198	chr3L	+	11822890	11823198	3.12502250263898e-07	1.20792775131726e-06	-0.0146534529147257
prc	chr3L_-_11959893_11960262	chr3L	-	11959893	11960262	9.13362330134844e-07	3.33051099552458e-06	-0.752901484480432
Pop2	chr3L_-_11999808_12000271	chr3L	-	11999808	12000271	5.14053213615924e-10	2.71394600903198e-09	0.0547440298178015
Pop2	chr3L_-_12001996_12002584	chr3L	-	12001996	12002584	1.32440885048766e-05	4.15215365604205e-05	-0.311743009855597
rols	chr3L_-_12012231_12012929	chr3L	-	12012231	12012929	1.40886877879941e-05	4.40151121285259e-05	-0.360528166870159
CG9119	chr3L_-_1204286_1204553	chr3L	-	1204286	1204553	4.45491160188868e-05	0.000129917743321565	-0.467694670920478
yps	chr3L_-_12122154_12122674	chr3L	-	12122154	12122674	1.15233277155382e-107	1.0810317090464e-105	-0.225560714430223
Ance-3	chr2L_+_13917650_13917975	chr2L	+	13917650	13917975	1.92457334886853e-06	6.73360629940152e-06	-0.751111111111111
RhoGAP68F	chr3L_+_12139101_12139961	chr3L	+	12139101	12139961	7.25557002955161e-09	3.38809567094615e-08	-0.26194384788203
RhoGAP68F	chr3L_+_12140128_12141138	chr3L	+	12140128	12141138	1.20935277054573e-13	8.97892183119804e-13	0.558830297248268
Nrx-IV	chr3L_+_12151407_12151818	chr3L	+	12151407	12151818	1.1926032967346e-05	3.76159879280476e-05	-0.239872582029445
Adk1	chr3L_-_12201089_12201372	chr3L	-	12201089	12201372	5.68673045399935e-25	8.5928010738378e-24	-0.11560484165931
Sms	chr3L_-_12273620_12274001	chr3L	-	12273620	12274001	2.71304912377849e-07	1.05619107960556e-06	-0.0529948541226867
INPP5E	chr3L_+_12277736_12278224	chr3L	+	12277736	12278224	1.28565261178538e-08	5.84351903839318e-08	-0.254042244863479
NimB2	chr2L_-_13966011_13966504	chr2L	-	13966011	13966504	2.26479924938811e-05	6.874403068221e-05	-0.28740528529878
CG10663	chr3L_-_12477277_12477822	chr3L	-	12477277	12477822	7.63960184570957e-05	0.000215517125481552	-0.568970443093865
CG10663	chr3L_-_12478131_12479710	chr3L	-	12478131	12479710	0.00801688960044502	0.0164975038144484	-0.320312859443294
CG10663	chr3L_-_12479877_12484799	chr3L	-	12479877	12484799	0.000362487482230611	0.000928672131331974	-0.42958089668616
CG10660	chr3L_-_12487447_12488081	chr3L	-	12487447	12488081	2.82955015652576e-06	9.70292295750499e-06	-0.0537802742753267
CG10660	chr3L_-_12488219_12488553	chr3L	-	12488219	12488553	4.22390576295882e-06	1.41622455195092e-05	-0.0363875339893074
asRNA:CR43868	chr3L_+_12498642_12499538	chr3L	+	12498642	12499538	1.52225594476155e-128	1.88391024637861e-126	-0.404385937465282
asRNA:CR43868	chr3L_+_12499769_12500017	chr3L	+	12499769	12500017	3.27953483136857e-32	6.81160527170316e-31	-0.651189622060849
NimC1	chr2L_-_13975879_13976475	chr2L	-	13975879	13976475	2.74047999155067e-06	9.41398010687937e-06	-0.515686274509804
tfc	chr3L_+_1273073_1273952	chr3L	+	1273073	1273952	0.00032422729786256	0.000836886193147789	-0.0777954765391828
SmD1	chr3L_-_12733983_12734501	chr3L	-	12733983	12734501	0.000616169811019976	0.00152522177735071	-0.0123071970664819
Ptp69D	chr3L_+_12735249_12736056	chr3L	+	12735249	12736056	7.6147806338084e-06	2.4682820749392e-05	-0.112254353062255
CG32112	chr3L_+_12741949_12742593	chr3L	+	12741949	12742593	7.2344466118728e-06	2.35155265508138e-05	-0.40376148980268
CG10973	chr3L_-_12754216_12754540	chr3L	-	12754216	12754540	6.99649545047115e-13	4.85213352623106e-12	-0.102846532524002
Vps13D	chr3L_+_12756094_12756403	chr3L	+	12756094	12756403	7.4234149976418e-09	3.46251774655264e-08	-0.242329506109034
Hip1	chr3L_-_12772583_12773273	chr3L	-	12772583	12773273	1.85818301316731e-22	2.47344137914426e-21	-0.150117836982128
Atg1	chr3L_-_12787028_12787385	chr3L	-	12787028	12787385	5.8260084534465e-12	3.715638700891e-11	-0.31480299906375
bgm	chr2L_+_14013917_14015785	chr2L	+	14013917	14015785	6.64422903537152e-09	3.11696610282133e-08	-0.602223472913128
Sap130	chr3L_+_12806337_12806977	chr3L	+	12806337	12806977	8.84312716508881e-18	8.91189873729407e-17	0.516608249066467
CG32333	chr3L_+_1283812_1284786	chr3L	+	1283812	1284786	3.45454220356642e-12	2.24523271765867e-11	0.61101060005452
CG10948	chr3L_-_12845853_12847048	chr3L	-	12845853	12847048	1.63080476267483e-22	2.17781622857567e-21	-0.303878411450718
CG10948	chr3L_-_12847156_12848035	chr3L	-	12847156	12848035	3.04253528393702e-18	3.1576152909769e-17	-0.46506244636707
CG14118	chr3L_+_12892860_12893323	chr3L	+	12892860	12893323	1.49098547029543e-08	6.727421242071e-08	-0.86730045553575
CG11263	chr3L_+_13007732_13008239	chr3L	+	13007732	13008239	4.43946241704646e-07	1.68267916606791e-06	-0.261627748469854
Cul6	chr3L_-_13008316_13009573	chr3L	-	13008316	13009573	1.01557547487797e-12	6.93519282758673e-12	-0.214821322254986
lncRNA:CR45157	chr3L_-_13032663_13032912	chr3L	-	13032663	13032912	6.44351994399581e-13	4.48254674090842e-12	-0.76333898944193
Syx13	chr3L_+_13044565_13044916	chr3L	+	13044565	13044916	5.8558443171627e-12	3.73366838127536e-11	-0.339758399029392
Ctr9	chr3L_+_1310314_1310626	chr3L	+	1310314	1310626	1.53644930582402e-36	3.74273086137251e-35	-0.258590790591441
lncRNA:CR45166	chr3L_-_1323601_1323913	chr3L	-	1323601	1323913	2.03104761211139e-12	1.34979233325175e-11	-0.403111383442266
ND-ACP	chr3L_+_1330290_1330861	chr3L	+	1330290	1330861	4.59509089043145e-177	9.09255993290021e-175	-0.359319262678659
Dyrk2	chr2L_-_14189233_14195731	chr2L	-	14189233	14195731	1.48882903479826e-09	7.4875325002418e-09	-0.105333812072973
l(3)02640	chr3L_+_1335288_1335942	chr3L	+	1335288	1335942	5.659668197269e-15	4.67734256238283e-14	-0.161883937963261
CG17687	chr3L_+_13354347_13354667	chr3L	+	13354347	13354667	8.64948071188845e-18	8.72227608772544e-17	-0.248176461513341
flr	chr3L_+_13412975_13413315	chr3L	+	13412975	13413315	0.000291924198177728	0.000758515137815083	-0.185188697288253
flr	chr3L_+_13413438_13414056	chr3L	+	13413438	13414056	2.21893130279512e-05	6.74462336463086e-05	-0.112225996122796
CG14109	chr3L_+_13441279_13441625	chr3L	+	13441279	13441625	2.71591595963171e-09	1.32570132330939e-08	-0.666779838518969
Ptp61F	chr3L_-_1345161_1345492	chr3L	-	1345161	1345492	6.13679425423411e-08	2.58009384385726e-07	-0.331827339867523
CG10089	chr3L_-_13469212_13469775	chr3L	-	13469212	13469775	5.20024500074289e-19	5.66875838758215e-18	-0.709902110276279
Tgi	chr3L_+_13487007_13487561	chr3L	+	13487007	13487561	0.00124593502282743	0.00293790295533003	-0.107437234328842
bru3	chr3L_-_13537996_13538244	chr3L	-	13537996	13538244	1.4875649943779e-11	9.12164066502423e-11	-0.624478020729895
bru3	chr3L_-_13539119_13540562	chr3L	-	13539119	13540562	0.00068704814367971	0.0016880513778147	-0.272460489212407
bru3	chr3L_-_13540641_13541487	chr3L	-	13540641	13541487	0.0100685492562894	0.0203424224092894	-0.196420129064463
Pdk1	chr3L_+_136335_137120	chr3L	+	136335	137120	5.40785905721567e-09	2.56148175129619e-08	-0.420102870629199
bru3	chr3L_-_13664874_13666384	chr3L	-	13664874	13666384	1.12354796392187e-28	2.01074888554564e-27	-0.365013080320435
Hml	chr3L_+_13846314_13846844	chr3L	+	13846314	13846844	8.48450814319998e-07	3.10600735158332e-06	-0.590392156862745
CG8745	chr3L_-_13865435_13866601	chr3L	-	13865435	13866601	7.34465646053941e-05	0.000207798902794488	-0.488823841502413
Rgl	chr3L_-_13910215_13910482	chr3L	-	13910215	13910482	7.59851325028521e-07	2.79791444583122e-06	-0.436670907065644
Rgl	chr3L_-_13910585_13913960	chr3L	-	13910585	13913960	3.608621865251e-10	1.93582016022449e-09	-0.613071895424837
Dyrk2	chr2L_-_14229536_14233646	chr2L	-	14229536	14233646	4.06276070092661e-23	5.60118335662874e-22	-0.235873698928739
Hsc70-1	chr3L_+_13974775_13975715	chr3L	+	13974775	13975715	1.52906387505502e-62	7.36793513711252e-61	-0.781794840829101
26-29-p	chr3L_+_13994400_13994789	chr3L	+	13994400	13994789	1.11199740616189e-39	3.00731185094792e-38	-0.182300122952563
upSET	chr3L_+_14002301_14003168	chr3L	+	14002301	14003168	0.0166816796110898	0.0323411138167706	0.141034854270149
upSET	chr3L_+_14002379_14003191	chr3L	+	14002379	14003191	1.66391873651323e-05	5.14805178473577e-05	-0.136139944320201
Ptip	chr3L_-_14028390_14028768	chr3L	-	14028390	14028768	1.92287767723855e-08	8.5635217288151e-08	-0.353607864828204
endos	chr3L_-_14031057_14031387	chr3L	-	14031057	14031387	3.71771470220289e-114	3.80179511190818e-112	0.815240106876861
Hsc70Cb	chr3L_+_14037750_14039046	chr3L	+	14037750	14039046	1.67915810775269e-09	8.39045354781639e-09	-0.0363403724723319
Pex1	chr3L_+_14072485_14072757	chr3L	+	14072485	14072757	2.700874091834e-10	1.4668508506345e-09	-0.34491027035475
NONE	chr3L_-_14367380_14368042	chr3L	-	14367380	14368042	0.000271626323156628	0.000709051435496403	-0.256503372737594
