Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
tea	chr2R_+_9893880_9893947_9894029_9894115	chr2R	+	9893880	9893947	9894029	9894115	2.66479511288241e-17	2.60425061841252e-16	0.0478832944944697
CG43127	chr3L_-_10623454_10623508_10624939_10624999	chr3L	-	10623454	10623508	10624939	10624999	6.39635661141678e-23	8.73842973888207e-22	0.0633058979230345
E(z)	chr3L_-_10636093_10636425_10636440_10636622	chr3L	-	10636093	10636425	10636440	10636622	0.000180784719112604	0.00048384220475401	0.144073097687443
CG32081	chr3L_+_11027618_11027669_11027714_11027770	chr3L	+	11027618	11027669	11027714	11027770	2.6328699363563e-182	5.40414497237988e-180	0.0555212453275185
IRSp53	chr3L_+_11136288_11150872_11151557_11158137	chr3L	+	11136288	11150872	11151557	11158137	3.42808084500648e-12	2.22864199768248e-11	0.440972222222222
IRSp53	chr3L_+_11158826_11158919_11158985_11159295	chr3L	+	11158826	11158919	11158985	11159295	7.63054126081424e-05	0.000215291238697024	0.222647584973166
CG14142	chr3L_+_11174148_11174545_11174756_11174870	chr3L	+	11174148	11174545	11174756	11174870	0.000644698295018179	0.00159082988128917	0.272530864197531
GlcAT-P	chr3L_-_11179716_11182154_11182643_11183632	chr3L	-	11179716	11182154	11182643	11183632	3.19854040440967e-06	1.08961802175556e-05	-0.147189518497047
CG6163	chr3L_-_11363086_11363276_11363918_11364607	chr3L	-	11363086	11363276	11363918	11364607	4.33226846452281e-10	2.30594410152724e-09	0.043088455772114
CG6024	chr3L_-_11744029_11759625_11760110_11765604	chr3L	-	11744029	11759625	11760110	11765604	0.000140538858862592	0.000382215255575962	0.295476128809462
robo2	chr2L_-_1392821_1394191_1394332_1394472	chr2L	-	1392821	1394191	1394332	1394472	0.0118436175682299	0.0236261079462074	0.0525427948957361
ArfGAP1	chr3L_-_12415869_12415944_12416004_12416273	chr3L	-	12415869	12415944	12416004	12416273	2.17771416562439e-33	4.72909076185318e-32	0.167030803599952
ste14	chr3L_+_13018620_13018687_13019059_13019186	chr3L	+	13018620	13018687	13019059	13019186	1.09477619709292e-25	1.70724942076414e-24	0.231094151566149
l(3)02640	chr3L_+_1335288_1335943_1336016_1337269	chr3L	+	1335288	1335943	1336016	1337269	3.6419834956532e-45	1.15760214801628e-43	0.1003546346512
CG6650	chr3L_+_14032370_14032424_14032643_14032731	chr3L	+	14032370	14032424	14032643	14032731	4.98079635438032e-30	9.45181920205685e-29	0.0271032412318095
Neurl4	chr3L_-_14049022_14049082_14049442_14049497	chr3L	-	14049022	14049082	14049442	14049497	1.94159524884004e-05	5.95082014396615e-05	0.0089566737156529
Pex1	chr3L_+_14072261_14072381_14072485_14072757	chr3L	+	14072261	14072381	14072485	14072757	7.98707700006981e-08	3.31321962403731e-07	0.0727633477633477
CG9384	chr3L_+_14762396_14763052_14763262_14763752	chr3L	+	14762396	14763052	14763262	14763752	1.18155508390766e-05	3.72905353020439e-05	0.0667918742671564
CG17839	chr3L_+_14880516_14880593_14880838_14881343	chr3L	+	14880516	14880593	14880838	14881343	1.04744234829134e-20	1.26052567392289e-19	0.0552299044129928
DCX-EMAP	chr3L_+_14931919_14939010_14939127_14939406	chr3L	+	14931919	14939010	14939127	14939406	0.00292161458737878	0.00648454605976519	0.214196372732958
Reck	chr3L_-_15005062_15007934_15007990_15011191	chr3L	-	15005062	15007934	15007990	15011191	1.21544321860397e-16	1.13628810446552e-15	0.611992945326279
CG12316	chr3L_-_15134472_15134889_15135220_15135604	chr3L	-	15134472	15134889	15135220	15135604	7.15468434032939e-09	3.34393257257394e-08	0.0530695275112469
Iml1	chr3L_-_1528076_1529105_1529228_1531389	chr3L	-	1528076	1529105	1529228	1531389	2.13792052497359e-07	8.42704124493242e-07	-0.161047897057566
fwe	chr3L_-_15810848_15811219_15812897_15813244	chr3L	-	15810848	15811219	15812897	15813244	8.10300985189714e-34	1.79256069499275e-32	-0.238485010909438
dbo	chr3L_+_15830205_15830270_15830458_15830577	chr3L	+	15830205	15830270	15830458	15830577	1.01338595693412e-88	7.46929667917683e-87	0.30826752938327
Mbs	chr3L_+_16064317_16065047_16065434_16066021	chr3L	+	16064317	16065047	16065434	16066021	3.24502186462215e-30	6.20400652198722e-29	-0.305543432971464
Mbs	chr3L_+_16066109_16066184_16066313_16066611	chr3L	+	16066109	16066184	16066313	16066611	2.07574752121714e-60	9.52726157765189e-59	-0.310388939345008
Mbs	chr3L_+_16066829_16068112_16068943_16070118	chr3L	+	16066829	16068112	16068943	16070118	4.78783396542157e-15	3.98282752895146e-14	0.180988185633096
Zn72D	chr3L_-_16107786_16108851_16109054_16109620	chr3L	-	16107786	16108851	16109054	16109620	7.9397797415586e-06	2.56694006676988e-05	0.0684549123802743
Agpat3	chr3L_-_16384113_16384270_16384286_16385818	chr3L	-	16384113	16384270	16384286	16385818	0.000272867480627625	0.000712077509914097	0.0142398091338665
CG9674	chr3L_-_16791690_16791818_16792335_16792439	chr3L	-	16791690	16791818	16792335	16792439	4.55828509873818e-08	1.94281862410141e-07	0.139159308177186
CG9674	chr3L_-_16794665_16794836_16794839_16795249	chr3L	-	16794665	16794836	16794839	16795249	0.00880239553959843	0.0179813507079006	-0.0435917034132887
Nc73EF	chr3L_+_16964978_16966067_16966358_16967380	chr3L	+	16964978	16966067	16966358	16967380	4.21880552899752e-11	2.47674994542452e-10	0.168694706870234
blot	chr3L_-_17398732_17401610_17401842_17409223	chr3L	-	17398732	17401610	17401842	17409223	0.00079989350603115	0.00194536276322721	0.13395064883437
CG32176	chr3L_+_17434456_17436323_17436377_17436511	chr3L	+	17434456	17436323	17436377	17436511	5.60648422270599e-21	6.85895381252959e-20	0.0631528724031044
Eip74EF	chr3L_-_17599433_17602674_17603383_17618649	chr3L	-	17599433	17602674	17603383	17618649	0.0316914854194953	0.0579702429332789	0.114218031710292
Vps60	chr3L_-_17620894_17621100_17621252_17621308	chr3L	-	17620894	17621100	17621252	17621308	1.26523703877801e-05	3.97657838958979e-05	0.00186616083417468
Pep	chr3L_-_17640053_17641025_17641255_17643361	chr3L	-	17640053	17641025	17641255	17643361	1.01067035799339e-09	5.1718905496286e-09	-0.0125041638022545
CG7484	chr3L_+_17654726_17654781_17654900_17655216	chr3L	+	17654726	17654781	17654900	17655216	4.35827887513833e-39	1.15465334998665e-37	0.0831558871170881
alpha-Spec	chr3L_-_1783682_1784502_1784598_1784905	chr3L	-	1783682	1784502	1784598	1784905	0.00013512693627813	0.00036842827488888	0.0895549952081561
CG13698	chr3L_-_18090610_18099400_18099486_18105579	chr3L	-	18090610	18099400	18099486	18105579	0.0406473169237506	0.0725092301447582	-0.036954186421956
GV1	chr3L_+_1818617_1818691_1821419_1821805	chr3L	+	1818617	1818691	1821419	1821805	7.45597623327659e-16	6.5946323575733e-15	0.245625942684766
CG13700	chr3L_-_18300619_18300691_18300774_18300833	chr3L	-	18300619	18300691	18300774	18300833	2.62034575539503e-69	1.43082879828181e-67	0.042292109656711
NONE	chr3L_+_18581345_18582355_18582796_18583201	chr3L	+	18581345	18582355	18582796	18583201	4.92372999323878e-18	5.0433773018738e-17	0.665674603174603
side-II	chr2L_-_14916241_14917138_14917484_14919166	chr2L	-	14916241	14917138	14917484	14919166	3.40330658675424e-12	2.21334054699249e-11	0.318473193473193
Gem2	chr3L_-_19100276_19100343_19100374_19100444	chr3L	-	19100276	19100343	19100374	19100444	0.0128919254665266	0.0255399906521244	-0.245677349093597
side-II	chr2L_-_14932658_14934868_14935014_14935885	chr2L	-	14932658	14934868	14935014	14935885	7.08346501285786e-12	4.47966067809874e-11	0.272276334776335
Rnf146	chr3L_-_19641218_19641893_19642024_19642350	chr3L	-	19641218	19641893	19642024	19642350	2.76190474356279e-72	1.60948733292492e-70	0.117932524209881
Kap-alpha1	chr3L_+_19808684_19808743_19809007_19809073	chr3L	+	19808684	19808743	19809007	19809073	0.00194338881496569	0.00444817895533488	0.000931167664692367
GABA-B-R1	chr2L_+_15017396_15021091_15021346_15025388	chr2L	+	15017396	15021091	15021346	15025388	0.00340163364228497	0.00747359115799656	0.0895231135296907
RhoGDI	chr3L_+_19931377_19931906_19931912_19931980	chr3L	+	19931377	19931906	19931912	19931980	9.07721863429331e-10	4.67147453756084e-09	-0.0520846662320554
CG42674	chr3L_-_20155278_20155537_20155998_20158478	chr3L	-	20155278	20155537	20155998	20158478	5.52423059909116e-06	1.82496311464549e-05	0.210016835016835
SCCRO4	chr3L_+_20307922_20308005_20308021_20308092	chr3L	+	20307922	20308005	20308021	20308092	2.70846434621883e-32	5.64105027263722e-31	-0.0559444718050159
RhoBTB	chr3L_+_20380499_20380569_20380957_20381020	chr3L	+	20380499	20380569	20380957	20381020	1.00855455487753e-12	6.8892212012509e-12	0.105943051201672
sls	chr3L_-_2041497_2041565_2041586_2041708	chr3L	-	2041497	2041565	2041586	2041708	2.02276630158972e-14	1.60040392750045e-13	-0.256474379893331
CG4858	chr3L_+_20527280_20527477_20527541_20527591	chr3L	+	20527280	20527477	20527541	20527591	1.1422522959491e-15	9.98199147685921e-15	0.350775578335259
Pitslre	chr3L_+_20771864_20772604_20772963_20773792	chr3L	+	20771864	20772604	20772963	20773792	0.0220441504830614	0.0416930256318192	-0.06399847749548
CG32432	chr3L_-_20852761_20854056_20854187_20854603	chr3L	-	20852761	20854056	20854187	20854603	1.14599256790171e-10	6.46007647008514e-10	0.467161803713528
skd	chr3L_-_21002197_21003735_21004185_21004976	chr3L	-	21002197	21003735	21004185	21004976	1.81105377820314e-05	5.5749671377053e-05	0.153198758380342
park	chr3L_-_21195630_21195685_21195704_21195770	chr3L	-	21195630	21195685	21195704	21195770	1.15418777568972e-09	5.8693605353597e-09	0.0676599112428248
zormin	chr3L_-_2129786_2130792_2132584_2134098	chr3L	-	2129786	2130792	2132584	2134098	2.3906968604494e-41	6.78751053072698e-40	0.168294757776026
CG7324	chr3L_-_21342452_21342930_21343097_21343574	chr3L	-	21342452	21342930	21343097	21343574	1.6233347026346e-15	1.40174285307651e-14	0.0788169743684456
VhaM9.7-b	chr3L_+_21540082_21540152_21540200_21540267	chr3L	+	21540082	21540152	21540200	21540267	1.17592392001073e-11	7.28310228548488e-11	0.00819306698982292
EMC10	chr3L_+_21574686_21574743_21574911_21575225	chr3L	+	21574686	21574743	21574911	21575225	3.27940106667212e-11	1.94383590571089e-10	0.00742244346037024
Cul3	chr2L_-_15267287_15267352_15267467_15267528	chr2L	-	15267287	15267352	15267467	15267528	3.01821248375756e-18	3.13305435188138e-17	0.00221017730714534
CG32305	chr3L_+_2248922_2248973_2249322_2249455	chr3L	+	2248922	2248973	2249322	2249455	0.0322986011916454	0.058965431586973	0.452885754378292
nrm	chr3L_+_23002443_23007327_23007707_23010848	chr3L	+	23002443	23007327	23007707	23010848	0.00682602843002822	0.0142291228645008	0.0667984515278808
E(bx)	chr3L_-_235345_235409_235514_235577	chr3L	-	235345	235409	235514	235577	1.93960047424182e-11	1.17544373383713e-10	0.016452497797301
scro	chr3L_+_24741000_24748407_24748494_24757359	chr3L	+	24741000	24748407	24748494	24757359	4.96894863280519e-10	2.62811071464247e-09	0.750008832361774
msn	chr3L_-_2567814_2579454_2579520_2585603	chr3L	-	2567814	2579454	2579520	2585603	1.78944016583152e-09	8.91473579707214e-09	0.0242554785894725
CG2162	chr3L_+_3036901_3037669_3037701_3037782	chr3L	+	3036901	3037669	3037701	3037782	4.08607579974217e-30	7.78492939425108e-29	-0.262669398182888
Atac3	chr3L_-_326539_326703_326724_326865	chr3L	-	326539	326703	326724	326865	1.66317857052004e-07	6.6428705160077e-07	-0.200491554028697
enc	chr3L_+_3833670_3834270_3834627_3836020	chr3L	+	3833670	3834270	3834627	3836020	1.82903796830218e-07	7.26678019098511e-07	0.117788341092275
Mul1	chr3L_+_4021639_4021703_4022287_4022344	chr3L	+	4021639	4021703	4022287	4022344	1.23008985293617e-48	4.35705805200448e-47	0.0212699125986197
Usp14	chr2L_-_10313688_10313900_10314005_10314062	chr2L	-	10313688	10313900	10314005	10314062	1.21545403536895e-33	2.66780785695034e-32	0.034420832837661
CG43367	chr3L_+_4195387_4195589_4195715_4195839	chr3L	+	4195387	4195589	4195715	4195839	0.00934112328518113	0.0189878734565537	0.153621688181863
CG1309	chr3L_+_4260057_4260108_4260260_4260366	chr3L	+	4260057	4260108	4260260	4260366	2.14671319315711e-07	8.45913557720015e-07	0.00418922984356207
PMP34	chr3L_+_4319122_4319198_4319259_4320136	chr3L	+	4319122	4319198	4319259	4320136	1.76746943061137e-32	3.71308732189406e-31	0.0292391638590881
Cip4	chr3L_-_4327917_4336268_4336319_4338065	chr3L	-	4327917	4336268	4336319	4338065	1.58574583366947e-08	7.13495854661246e-08	0.0385086574467555
axo	chr3L_-_4644225_4645559_4647024_4650319	chr3L	-	4644225	4645559	4647024	4650319	1.51293758804768e-07	6.07331583648399e-07	0.40479375696767
Dhc64C	chr3L_-_4821266_4821863_4821969_4822021	chr3L	-	4821266	4821863	4821969	4822021	3.25323080181306e-05	9.66705185233322e-05	0.00855410151432068
Dnah3	chr3L_+_4880206_4881499_4881687_4882020	chr3L	+	4880206	4881499	4881687	4882020	3.49318494581955e-12	2.26952321112047e-11	0.0802069550898818
DIP-delta	chr3L_+_5436632_5437712_5437775_5439188	chr3L	+	5436632	5437712	5437775	5439188	3.01670825407384e-20	3.53032596859567e-19	0.217799103112043
Msr-110	chr3L_-_5573829_5574939_5574966_5576836	chr3L	-	5573829	5574939	5574966	5576836	1.20994573346514e-06	4.3429092381067e-06	-0.0698908842309912
sif	chr3L_+_5676948_5703924_5704070_5704960	chr3L	+	5676948	5703924	5704070	5704960	0.00230575092999382	0.00521269794015101	0.214850427350427
Rcc1	chr3L_-_5932317_5932405_5932464_5932523	chr3L	-	5932317	5932405	5932464	5932523	8.10731741629498e-05	0.000227969900319357	0.00974428221963963
loj	chr3L_+_6095343_6095409_6095487_6095647	chr3L	+	6095343	6095409	6095487	6095647	5.53423016845197e-06	1.82797105908021e-05	0.01768108110553
Tnpo	chr3L_+_6196711_6197036_6197112_6197381	chr3L	+	6196711	6197036	6197112	6197381	2.14618684869369e-24	3.1530301429607e-23	0.0644995920446835
dikar	chr3L_-_6739825_6739895_6739921_6740303	chr3L	-	6739825	6739895	6739921	6740303	0.020798789217746	0.039524440527172	-0.0145287913649094
tow	chr3L_+_6946447_6946500_6946558_6947246	chr3L	+	6946447	6946500	6946558	6947246	0.0176743314259521	0.0340900401914769	0.35375816993464
unc-13-4A	chr3L_-_7273608_7274366_7274673_7276962	chr3L	-	7273608	7274366	7274673	7276962	2.62082407182716e-08	1.14908236289268e-07	0.0248183018824242
Sarm	chr3L_+_8098725_8099145_8099536_8102891	chr3L	+	8098725	8099145	8099536	8102891	1.42163198875517e-05	4.43857445854107e-05	0.0108945931696418
Dscam4	chr3L_+_8260398_8260600_8260790_8262952	chr3L	+	8260398	8260600	8260790	8262952	3.77487200404501e-05	0.000111171371482296	0.210729270729271
Ca-Ma2d	chr2L_+_16236949_16237133_16237310_16237366	chr2L	+	16236949	16237133	16237310	16237366	0.00122768900848325	0.00289788810753597	0.0324514614892255
Sf3b3	chr3L_-_830341_830621_830728_830906	chr3L	-	830341	830621	830728	830906	5.67408726543429e-13	3.96501548645578e-12	0.164197884413285
rhea	chr3L_+_8563634_8563881_8563907_8563977	chr3L	+	8563634	8563881	8563907	8563977	0.0423367434183393	0.0751854399930646	-0.0326981407242747
TrpA1	chr3L_-_8896347_8896851_8896962_8897059	chr3L	-	8896347	8896851	8896962	8897059	0.0229077083302094	0.0431862329228447	0.232222222222222
mfr	chr3L_-_8906708_8906818_8906939_8907063	chr3L	-	8906708	8906818	8906939	8907063	2.8848968838236e-10	1.5619319095797e-09	0.0618473892136056
GluRIB	chr3L_+_9269222_9269433_9269535_9270190	chr3L	+	9269222	9269433	9269535	9270190	1.86969482977288e-21	2.34946000111222e-20	0.870706443315139
Cpsf5	chr3L_+_9411982_9412154_9412335_9413201	chr3L	+	9411982	9412154	9412335	9413201	2.08040374655239e-11	1.25747129830906e-10	0.129516110607455
fry	chr3L_-_9633924_9634403_9634433_9634685	chr3L	-	9633924	9634403	9634433	9634685	0.0311243414545342	0.0570203218890808	0.0299709697805639
Prps	chr3L_-_9686463_9688530_9688599_9689263	chr3L	-	9686463	9688530	9688599	9689263	2.86307350247089e-07	1.11135974483801e-06	0.0991331830221036
CG42268	chr3L_-_9735289_9736927_9736965_9737127	chr3L	-	9735289	9736927	9736965	9737127	0.0193560487375854	0.0370207721469776	-0.0769690572168275
CG42268	chr3L_-_9738278_9738382_9738415_9738891	chr3L	-	9738278	9738382	9738415	9738891	7.56344639060209e-06	2.45230916151096e-05	-0.230882504244235
Glut1	chr3L_+_982103_982174_982297_983853	chr3L	+	982103	982174	982297	983853	2.56220905633472e-09	1.25405363132217e-08	0.0401215858491358
Nuak1	chr3R_+_10292054_10292115_10292713_10293192	chr3R	+	10292054	10292115	10292713	10293192	1.73434983498085e-05	5.35070785801129e-05	0.0069940095002593
Nuak1	chr3R_+_10294318_10295320_10296061_10296732	chr3R	+	10294318	10295320	10296061	10296732	1.00382949074335e-187	2.11816905993668e-185	0.658655602153374
dac	chr2L_-_16471939_16472127_16472643_16472768	chr2L	-	16471939	16472127	16472643	16472768	0.00236970890600781	0.00534580142749853	0.036987905530105
dac	chr2L_-_16473072_16473199_16473595_16475273	chr2L	-	16473072	16473199	16473595	16475273	1.06721540341012e-12	7.27637156142901e-12	0.159969259767102
CG14693	chr3R_-_10812213_10812313_10812664_10812796	chr3R	-	10812213	10812313	10812664	10812796	1.40792202997515e-06	5.01214216777477e-06	-0.0802529405577576
Cad86C	chr3R_+_10839942_10841791_10841984_10842850	chr3R	+	10839942	10841791	10841984	10842850	6.16500090790842e-05	0.000176320357020713	0.372367149758454
side-VI	chr3R_+_11034925_11039910_11044224_11045243	chr3R	+	11034925	11039910	11044224	11045243	0.00256988352837853	0.00575968256393944	0.136875398503305
RpS25	chr3R_-_11215969_11216062_11216205_11216257	chr3R	-	11215969	11216062	11216205	11216257	2.46305567031327e-09	1.20767220651757e-08	0.0142497918462352
CG31388	chr3R_+_11238609_11238810_11239627_11239894	chr3R	+	11238609	11238810	11239627	11239894	9.21668984088476e-16	8.1093266629541e-15	0.83598791145961
Lk6	chr3R_-_11756492_11759553_11763430_11763482	chr3R	-	11756492	11759553	11763430	11763482	2.95366533511043e-10	1.59759235350563e-09	0.0141968351471025
ClC-a	chr3R_-_11800539_11800591_11801293_11801950	chr3R	-	11800539	11800591	11801293	11801950	4.15227876128661e-05	0.000121625160457129	0.0955974104715523
CG6959	chr3R_-_11838230_11858686_11858755_11868793	chr3R	-	11838230	11858686	11858755	11868793	0.0448074080233444	0.0791349548972501	-0.0314135297898792
mfas	chr3R_-_11987376_11988657_11988799_11989208	chr3R	-	11987376	11988657	11988799	11989208	8.45439288859128e-26	1.32695476051939e-24	0.0106701422367538
KLHL18	chr3R_-_12010143_12010241_12010485_12015198	chr3R	-	12010143	12010241	12010485	12015198	2.00856852534048e-06	7.00880137343133e-06	0.127774824266052
CG4702	chr3R_-_12122421_12122955_12123039_12123291	chr3R	-	12122421	12122955	12123039	12123291	1.63454021474782e-11	9.98308834027847e-11	-0.50123538948997
Aos1	chr3R_-_12433072_12433128_12433557_12433623	chr3R	-	12433072	12433128	12433557	12433623	0.00052401355481723	0.0013103911065613	0.00618232794374407
Snx3	chr3R_+_12628520_12628888_12628984_12629220	chr3R	+	12628520	12628888	12628984	12629220	0.01773319544095	0.0341902087890362	0.000627755296020438
NONE	chr2L_-_16702898_16702972_16703096_16703147	chr2L	-	16702898	16702972	16703096	16703147	8.70544913047858e-22	1.11468394737563e-20	0.714721586575134
CG7518	chr3R_+_13000013_13000070_13000216_13000389	chr3R	+	13000013	13000070	13000216	13000389	0.000100849609771907	0.000279812046863218	0.0607126538730313
CG11670	chr3R_+_13042643_13042884_13042994_13043249	chr3R	+	13042643	13042884	13042994	13043249	6.18690448000202e-05	0.00017690790129055	0.351746031746032
VhaSFD	chr2L_-_16724993_16725891_16726113_16727008	chr2L	-	16724993	16725891	16726113	16727008	0.0113975346959634	0.0228084613756232	-0.00073351600564614
B52	chr3R_+_13663051_13663454_13664934_13665451	chr3R	+	13663051	13663454	13664934	13665451	4.7330782538256e-11	2.76471136414056e-10	-0.0706314197795585
CG9297	chr3R_+_13774737_13774798_13774837_13775090	chr3R	+	13774737	13774798	13774837	13775090	4.70368155297336e-08	2.00192627385786e-07	0.466131907308378
CG3061	chr3R_+_14034325_14034379_14034476_14034698	chr3R	+	14034325	14034379	14034476	14034698	4.0067105821978e-126	4.78078434304876e-124	0.0846130059534046
CG31326	chr3R_-_14217079_14217529_14218740_14218801	chr3R	-	14217079	14217529	14218740	14218801	0.000150865226191933	0.000408501535413665	0.219186215858932
PR-Set7	chr3R_+_14316203_14316310_14316380_14316475	chr3R	+	14316203	14316310	14316380	14316475	4.46224078421095e-15	3.71911456773875e-14	0.517114416134647
cv-c	chr3R_-_14417033_14427036_14427761_14431972	chr3R	-	14417033	14427036	14427761	14431972	2.2297387954743e-24	3.27308999626242e-23	0.198391824957039
Meltrin	chr3R_-_14667655_14668865_14668995_14669055	chr3R	-	14667655	14668865	14668995	14669055	1.22296143504249e-13	9.07760479106147e-13	0.126615168539326
CG42788	chr3R_-_15102204_15111592_15112189_15131606	chr3R	-	15102204	15111592	15112189	15131606	1.12305731178677e-08	5.13927234281617e-08	0.0756794029096328
CG42542	chr3R_+_15199710_15200685_15201225_15202022	chr3R	+	15199710	15200685	15201225	15202022	0.000330332338152681	0.000851645593438129	-0.181942492499638
AOX3	chr3R_-_15545588_15545643_15545877_15545933	chr3R	-	15545588	15545643	15545877	15545933	1.49246539273439e-09	7.50502878545351e-09	0.0122714980636106
pxb	chr3R_+_15672180_15679135_15679248_15685068	chr3R	+	15672180	15679135	15679248	15685068	5.65267539805247e-08	2.38630338206196e-07	0.165584415584416
tweek	chr2L_+_16896357_16896808_16896904_16897486	chr2L	+	16896357	16896808	16896904	16897486	8.09311966398762e-12	5.08692092442654e-11	-0.276569200779727
SF2	chr3R_-_16340013_16340535_16340762_16340820	chr3R	-	16340013	16340535	16340762	16340820	7.38900406838687e-09	3.44714171407976e-08	0.0131926302218904
CG42342	chr3R_+_16514176_16550206_16550286_16550631	chr3R	+	16514176	16550206	16550286	16550631	0.00145564614922849	0.00339618324977943	0.0667230850922608
Fas1	chr3R_+_16636576_16636774_16636810_16636984	chr3R	+	16636576	16636774	16636810	16636984	2.01562183348262e-05	6.16357355902087e-05	-0.0695024591961399
mRpS11	chr3R_+_17073338_17073501_17073567_17073626	chr3R	+	17073338	17073501	17073567	17073626	0.000220911785053689	0.000583906507351752	0.0183319431112615
cher	chr3R_-_17105813_17106279_17106846_17106952	chr3R	-	17105813	17106279	17106846	17106952	0.0141585035799838	0.0278318217640639	0.133841542963356
cher	chr3R_-_17108839_17109707_17109722_17110212	chr3R	-	17108839	17109707	17109722	17110212	7.1577238139768e-05	0.000202818063769936	0.128076364910713
Dscam3	chr3R_-_17483447_17483821_17483941_17484259	chr3R	-	17483447	17483821	17483941	17484259	0.00120936210503011	0.00285830698640411	-0.293884156464802
Prx3	chr3R_-_17546051_17546182_17546249_17546354	chr3R	-	17546051	17546182	17546249	17546354	7.76452751851359e-07	2.85617766326673e-06	0.00772544992579638
beat-IIIc	chr2L_-_17191099_17193524_17193660_17196873	chr2L	-	17191099	17193524	17193660	17196873	2.07625177303921e-12	1.37848934313199e-11	0.0522039892102919
wrd	chr3R_+_18176234_18176306_18176699_18176803	chr3R	+	18176234	18176306	18176699	18176803	5.9630547642936e-25	8.99987832892604e-24	0.0244412154026389
Rpb4	chr3R_-_18253455_18253525_18255191_18255315	chr3R	-	18253455	18253525	18255191	18255315	4.22720939399241e-05	0.000123695871375535	0.0896997872322875
qin	chr3R_+_18591229_18591839_18592450_18592739	chr3R	+	18591229	18591839	18592450	18592739	3.80961816751829e-11	2.24490985055538e-10	0.091752358602699
Gos28	chr3R_+_18663817_18663882_18664067_18664607	chr3R	+	18663817	18663882	18664067	18664607	0.000531867018809897	0.00132896156174059	0.00772314707609478
gwl	chr3R_+_18748289_18748360_18748489_18748664	chr3R	+	18748289	18748360	18748489	18748664	6.74965188721846e-45	2.12928819755903e-43	0.42103897524915
CG42613	chr3R_+_18959924_18963768_18968550_18969417	chr3R	+	18959924	18963768	18968550	18969417	0.0368997865201735	0.0664739792069772	0.0538414217361586
gukh	chr3R_+_19013449_19015790_19018483_19020927	chr3R	+	19013449	19015790	19018483	19020927	0.00263068748747248	0.005885815096379	-0.0123030230626875
Cyp12a4	chr3R_+_19133880_19133932_19136440_19136500	chr3R	+	19133880	19133932	19136440	19136500	0.00100562812150738	0.00240841672651888	-0.0851920679779573
subdued	chr3R_-_19638427_19638678_19638750_19638899	chr3R	-	19638427	19638678	19638750	19638899	0.00465918344284744	0.00999837130915635	0.0490545202204743
Nlg4	chr3R_+_20217166_20219848_20220163_20226343	chr3R	+	20217166	20219848	20220163	20226343	9.86050519041816e-09	4.53873206963091e-08	0.105340848094471
CG42668	chr3R_+_20310638_20318976_20319026_20319562	chr3R	+	20310638	20318976	20319026	20319562	4.90432381090979e-14	3.76533316348609e-13	0.158413723703975
Stat92E	chr3R_-_20537463_20538452_20538715_20539219	chr3R	-	20537463	20538452	20538715	20539219	2.42916938281943e-05	7.34511325577375e-05	0.104039458927362
CG5191	chr3R_+_20561411_20566428_20566609_20570600	chr3R	+	20561411	20566428	20566609	20570600	0.00566944230203872	0.0119877785027914	-0.143773058660257
