Gene	AS_event_ID	chromosome	strand	common_5_SS_coor	A3SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
CG10948	chr3L_-_12849739_12849767_12850030	chr3L	-	12850030	12849739;12849767	4.55094404916564e-09	2.17141228471796e-08	0.188866666666667;-0.188866666666667
mRpL20	chr3L_-_13017344_13017349_13017402	chr3L	-	13017402	13017344;13017349	0.000719395147841569	0.0017622130552194	-0.0375333333333333;0.0375333333333333
Dyrk2	chr2L_-_14167582_14189233_14195731	chr2L	-	14195731	14167582;14189233	3.48708024589992e-05	0.000103188608840323	-0.0176;0.0175999999999999
NONE	chr3L_-_13322913_13322948_13323019	chr3L	-	13323019	13322913;13322948	3.86142810985408e-05	0.000113556847374643	-0.5249;0.5249
CG2211	chr3L_-_1333087_1333632_1333687	chr3L	-	1333687	1333087;1333632	3.88056368255688e-07	1.48171496391939e-06	-0.0347666666666667;0.0347666666666667
lncRNA:CR44559	chr3L_-_13343892_13343972_13344156	chr3L	-	13344156	13343892;13343972	7.83725109288441e-18	7.92387625690753e-17	-0.277433333333333;0.277433333333333
CG10089	chr3L_-_13466879_13466888_13466942	chr3L	-	13466942	13466879;13466888	0.0310159409223624	0.0568355437559797	0.0221;-0.0220999999999999
CG10089	chr3L_-_13467139_13467175_13467342	chr3L	-	13467342	13467139;13467175	0.0337674142476815	0.061356466018039	-0.0438333333333332;0.0438333333333333
bru3	chr3L_-_13541587_13541608_13541720	chr3L	-	13541720	13541587;13541608	3.01134519686032e-11	1.79229974307786e-10	0.4373;-0.4373
bru3	chr3L_-_13541998_13542022_13542073	chr3L	-	13542073	13541998;13542022	0.00720760876753413	0.0149615400568558	0.1576;-0.1576
Trl	chr3L_-_14745836_14749737_14751265	chr3L	-	14751265	14745836;14749737	0.0204310082513917	0.0388911447300597	-0.0371666666666667;0.0371666666666666
CG34245	chr3L_-_14890564_14893962_14893988_14894110	chr3L	-	14894110	14890564;14893962;14893988	5.93986641308165e-122	6.70174328486683e-120	-0.0253666666666667;-0.2788;0.3042
CG12084	chr3L_-_1492463_1492570_1492644	chr3L	-	1492644	1492463;1492570	5.10428981306142e-10	2.69580669601233e-09	0.0425;-0.0425
Dic61B	chr3L_-_151656_151755_151790_151846	chr3L	-	151846	151656;151755;151790	1.02058964222746e-16	9.59075384758473e-16	0.0753333333333333;-0.345666666666667;0.2703
Best3	chr3L_-_15301721_15301837_15301887	chr3L	-	15301887	15301721;15301837	4.41515403634804e-10	2.34761613415631e-09	-0.0451333333333333;0.0451333333333334
CG7841	chr3L_-_15507566_15507594_15507732_15507797	chr3L	-	15507797	15507566;15507594;15507732	9.22298515831552e-284	3.67542381250488e-281	0.265833333333333;-0.259466666666667;-0.0064
CG7656	chr3L_-_15586561_15586594_15586600_15587003	chr3L	-	15587003	15586561;15586594;15586600	3.17991796582998e-24	4.6322348423124e-23	-0.0168333333333333;0.00383333333333336;0.0130000000000001
CG13449	chr3L_-_15611409_15611417_15611477	chr3L	-	15611477	15611409;15611417	0.0139886238864647	0.0275273859739645	-0.0188;0.0187999999999999
NONE	chr3L_-_15704919_15705053_15716580	chr3L	-	15716580	15704919;15705053	0.0117567668042122	0.0234656391930274	-0.272433333333333;0.272433333333333
CG15715	chr3L_-_15836248_15836332_15836778	chr3L	-	15836778	15836248;15836332	9.31055958752388e-16	8.18788970266484e-15	0.0129;-0.0129
pHCl-1	chr3L_-_15865840_15879396_15888389_15892468_15893618	chr3L	-	15893618	15865840;15879396;15888389;15892468	1.23422237725001e-06	4.42649260914754e-06	-0.398533333333333;-0.0484;0.378533333333333;0.0683666666666667
Pka-C3	chr3L_-_15911652_15926336_15927063	chr3L	-	15927063	15911652;15926336	4.1880462831863e-12	2.70305266379936e-11	-0.0173;0.0173000000000001
roq	chr3L_-_16374664_16374667_16374858	chr3L	-	16374858	16374664;16374667	0.00317840272373651	0.00701331061861681	-0.04;0.0400000000000003
Srrm234	chr3L_-_1659990_1660857_1661107	chr3L	-	1661107	1659990;1660857	4.76666676473184e-05	0.000138436543651968	0.0569666666666668;-0.0569666666666667
CG42685	chr2L_-_14728632_14728662_14728748	chr2L	-	14728748	14728632;14728662	5.37733712642847e-19	5.85645065967847e-18	-0.1697;0.1697
NONE	chr3L_-_16673747_16673816_16673905	chr3L	-	16673905	16673747;16673816	0.00128191511108174	0.00301697544666378	0.479633333333333;-0.479633333333333
CG11905	chr3L_-_16929707_16930981_16933011_16933291	chr3L	-	16933291	16929707;16930981;16933011	0.0220065450995377	0.0416308768948972	-Inf;-Inf;-Inf
scaf6	chr3L_-_17042273_17042375_17042436	chr3L	-	17042436	17042273;17042375	9.27345377929269e-09	4.2807737205754e-08	0.1154;-0.1154
CG6479	chr3L_-_17338718_17338736_17338794	chr3L	-	17338794	17338718;17338736	9.21800681325689e-07	3.35965385252537e-06	-0.0261333333333333;0.0261333333333335
blot	chr3L_-_17374150_17398330_17398393	chr3L	-	17398393	17374150;17398330	5.10871460777906e-07	1.92122692457627e-06	-0.0957333333333333;0.0957333333333333
CG12229	chr3L_-_17435556_17435571_17435618	chr3L	-	17435618	17435556;17435571	0.000951512166232427	0.00228777413448079	-0.531533333333333;0.531533333333333
CG13933	chr3L_-_1771793_1771960_1772020	chr3L	-	1772020	1771793;1771960	1.10339472073112e-11	6.85258127828951e-11	-0.5673;0.5673
CG42816	chr3L_-_17777437_17794772_17794826	chr3L	-	17794826	17777437;17794772	1.52201149108938e-07	6.10768427144292e-07	-0.0923;0.0923
Cyp312a1	chr3L_-_18131108_18131130_18131436	chr3L	-	18131436	18131108;18131130	4.84064191151351e-23	6.658861484892e-22	-0.0225333333333333;0.0225333333333333
CG13700	chr3L_-_18298957_18299013_18299072	chr3L	-	18299072	18298957;18299013	3.44400310248562e-26	5.50910314949614e-25	-0.0436;0.0436
lncRNA:CR44671	chr3L_-_18456594_18456809_18456830_18457214	chr3L	-	18457214	18456594;18456809;18456830	4.34112427703942e-10	2.31031397801639e-09	-0.656333333333333;0.0465333333333333;0.6098
Capr	chr3L_-_18671419_18671434_18671488	chr3L	-	18671488	18671419;18671434	0.0194128020304626	0.0371208830838727	-0.0043;0.00429999999999997
ftz-f1	chr3L_-_18798693_18798855_18800106	chr3L	-	18800106	18798693;18798855	4.8199922944585e-05	0.000139885866236821	-0.134066666666667;0.134066666666667
CG14073	chr3L_-_18819899_18819910_18819917_18820398	chr3L	-	18820398	18819899;18819910;18819917	7.40071884272879e-07	2.72880525906225e-06	0.113633333333333;0.0271;-0.140733333333333
CG18223	chr3L_-_18919580_18919622_18919670	chr3L	-	18919670	18919580;18919622	9.65424661557257e-14	7.23052632085789e-13	-0.0988666666666667;0.0988666666666667
side-II	chr2L_-_14919270_14923079_14932512	chr2L	-	14932512	14919270;14923079	2.32903606842827e-07	9.1365602592235e-07	-0.4875;0.4875
nes	chr3L_-_19259511_19259568_19260113	chr3L	-	19260113	19259511;19259568	1.37046426384569e-07	5.52853878419864e-07	-0.0219333333333333;0.0219333333333332
pip	chr3L_-_19300197_19312160_19312184_19313154	chr3L	-	19313154	19300197;19312160;19312184	1.29373348440491e-50	4.81119540454651e-49	-0.873433333333333;0.382633333333333;0.490766666666667
CG5687	chr3L_-_1936381_1936899_1938439	chr3L	-	1938439	1936381;1936899	2.74882907468738e-12	1.80377251050855e-11	0.335566666666667;-0.335566666666667
hpRNA:CR32207	chr3L_-_19423323_19477851_19477905	chr3L	-	19477905	19423323;19477851	6.75022498156983e-111	6.58291879184258e-109	-0.114066666666667;0.114066666666667
CG33062	chr3L_-_19424935_19442121_19442393_19446033	chr3L	-	19446033	19424935;19442121;19442393	8.61775266946854e-08	3.55966556346137e-07	-0.1056;-0.0905666666666667;0.1962
mu2	chr3L_-_1945528_1945573_1945591_1945646	chr3L	-	1945646	1945528;1945573;1945591	0.0320734456714127	0.058596533696724	0.0174333333333333;-0.0181;0.000699999999999923
CG9452	chr3L_-_19499414_19501342_19501744	chr3L	-	19501744	19499414;19501342	2.24232514782187e-10	1.22698797073241e-09	-0.160366666666667;0.160366666666667
Ltn1	chr3L_-_19548005_19548074_19548130	chr3L	-	19548130	19548005;19548074	8.29774256967228e-05	0.000232994748378331	-0.0412;0.0412
Shal	chr3L_-_19569813_19572079_19572289	chr3L	-	19572289	19569813;19572079	4.65387668594892e-06	1.55227598199803e-05	-0.2861;0.2861
ash1	chr3L_-_19598256_19598319_19598384	chr3L	-	19598384	19598256;19598319	5.12503382010006e-17	4.90998351596327e-16	0.178766666666667;-0.178766666666667
Lon	chr3L_-_19609699_19609709_19609764	chr3L	-	19609764	19609699;19609709	2.17764982739144e-09	1.07425018070387e-08	-0.0120333333333333;0.0120333333333332
Lon	chr3L_-_19611207_19611261_19611323	chr3L	-	19611323	19611207;19611261	8.80361352749835e-199	2.04129686498869e-196	-0.258966666666667;0.258966666666667
CG18131	chr2L_-_1500199_1500202_1500215_1500294_1500407	chr2L	-	1500407	1500199;1500202;1500215;1500294	4.81915512108559e-07	1.81811557776163e-06	0.00649999999999999;0.0540333333333335;-0.00993333333333333;-0.0506333333333333
verm	chr3L_-_19691656_19691749_19691807	chr3L	-	19691807	19691656;19691749	6.15460577744953e-08	2.58705015702964e-07	0.220166666666667;-0.220166666666667
trc	chr3L_-_19832712_19832724_19832768	chr3L	-	19832768	19832712;19832724	0.00307527800049976	0.00680002429464447	-0.0684333333333333;0.0684
Su(Tpl)	chr3L_-_19895038_19896747_19896796	chr3L	-	19896796	19895038;19896747	6.17967617991737e-06	2.0283788211896e-05	-0.0195000000000001;0.0195
CG14183	chr3L_-_20025449_20025455_20025538	chr3L	-	20025538	20025449;20025455	0.0104593757984136	0.0210746044424074	-0.00516666666666667;0.00516666666666654
CG14183	chr3L_-_20026007_20026025_20026032_20026079	chr3L	-	20026079	20026007;20026025;20026032	1.72525209108998e-117	1.846084256991e-115	-0.00856666666666667;-0.104933333333333;0.113433333333333
CG14183	chr3L_-_20026539_20026589_20026645	chr3L	-	20026645	20026539;20026589	5.96065453944343e-08	2.50994873003954e-07	-0.0041;0.0041000000000001
CG7298	chr3L_-_20202710_20202792_20202912	chr3L	-	20202912	20202710;20202792	1.26784236114785e-18	1.34937211393584e-17	0.635333333333333;-0.635333333333333
Ide	chr3L_-_20375342_20375361_20375418	chr3L	-	20375418	20375342;20375361	0.00120420335435255	0.00284696096189404	-0.0306;0.0306
CG42355	chr3L_-_2037787_2037803_2037816_2037872	chr3L	-	2037872	2037787;2037803;2037816	4.5304464228181e-59	2.01349421259413e-57	-0.0121666666666667;-0.0132666666666667;0.0254666666666669
CG5498	chr3L_-_20383472_20383500_20383551	chr3L	-	20383551	20383472;20383500	7.51007087288368e-07	2.76670129102908e-06	-0.0205;0.0205
CG33969	chr3L_-_20384901_20392489_20392639	chr3L	-	20392639	20384901;20392489	6.91975832002664e-15	5.6809841862521e-14	-0.104066666666667;0.104066666666667
CG5262	chr3L_-_20429389_20429449_20429514	chr3L	-	20429514	20429389;20429449	0.000150976207402035	0.000408767224371021	0.0389666666666666;-0.0389666666666667
Las	chr3L_-_20431604_20431675_20431816	chr3L	-	20431816	20431604;20431675	0.000308463282615825	0.000798790700940347	0.00690000000000002;-0.0069
Las	chr3L_-_20432123_20432150_20432208	chr3L	-	20432208	20432123;20432150	9.17332400942132e-12	5.74091175014808e-11	-0.0361;0.0360999999999999
CG42764	chr3L_-_20465326_20465351_20465410	chr3L	-	20465410	20465326;20465351	2.92949554550012e-18	3.04493861320422e-17	-0.246933333333333;0.246933333333333
l(3)77CDf	chr3L_-_20523281_20523284_20523350	chr3L	-	20523350	20523281;20523284	0.018652584325721	0.0357978284499752	-0.0082;0.00819999999999987
l(3)77CDf	chr3L_-_20524312_20524513_20524585_20525484	chr3L	-	20525484	20524312;20524513;20524585	6.91701779828969e-42	1.99752974221743e-40	-0.133633333333333;0.176266666666667;-0.0427
CSN3	chr3L_-_20839680_20839706_20839764	chr3L	-	20839764	20839680;20839706	7.10198739276461e-14	5.3792816833888e-13	-0.0288333333333333;0.0288333333333333
Sems	chr3L_-_20956012_20956031_20956124	chr3L	-	20956124	20956012;20956031	0.0165042975305426	0.0320254288995978	Inf;Inf
CG33287	chr3L_-_20967322_20967356_20967389_20967403_20967455	chr3L	-	20967455	20967322;20967356;20967389;20967403	5.85022981530212e-31	1.15204030047678e-29	-0.1029;-0.0228333333333333;-0.0704;0.196233333333333
CG33286	chr3L_-_20974428_20974454_20974507	chr3L	-	20974507	20974428;20974454	0.000273958680780862	0.000714781695461368	-0.0625333333333333;0.0625333333333333
Ac78C	chr3L_-_21142500_21144941_21145718	chr3L	-	21145718	21142500;21144941	0.00771135695542863	0.0159218053146231	-0.263566666666667;0.263566666666667
park	chr3L_-_21196651_21196712_21196774	chr3L	-	21196774	21196651;21196712	1.98353883742203e-19	2.21248245935557e-18	-0.703833333333333;0.703833333333333
CG33056	chr3L_-_21198103_21200514_21202746	chr3L	-	21202746	21198103;21200514	0.000142307897947707	0.00038674702921604	-0.2797;0.2797
ZnT35C	chr2L_-_15229691_15229756_15229851	chr2L	-	15229851	15229691;15229756	1.79861852278193e-248	5.7054891428664e-246	0.314566666666667;-0.314566666666667
CG12974	chr3L_-_21273689_21282654_21283144	chr3L	-	21283144	21273689;21282654	7.47863637720588e-05	0.000211330416897484	-0.242766666666667;0.242766666666667
CG11309	chr3L_-_21283477_21303549_21303908	chr3L	-	21303908	21283477;21303549	8.51543378599814e-09	3.94473341048486e-08	-0.1135;0.1135
CYLD	chr2L_-_10296859_10297606_10297703	chr2L	-	10297703	10296859;10297606	2.09150961100526e-198	4.81060660753788e-196	-0.128833333333333;0.128833333333333
CG31935	chr2L_-_1524001_1596421_1609408_1609484	chr2L	-	1609484	1524001;1596421;1609408	1.86528968767987e-19	2.08399690650709e-18	-0.140233333333333;0.142766666666667;-0.00253333333333332
sa	chr3L_-_21405644_21405685_21405883_21405938	chr3L	-	21405938	21405644;21405685;21405883	1.52148735943404e-14	1.21569431773287e-13	0.0844333333333332;-0.0431666666666667;-0.0412666666666667
yuri	chr2L_-_15262000_15262012_15262068	chr2L	-	15262068	15262000;15262012	0.00100357428123866	0.00240394057716414	0.0126;-0.0126000000000001
CG7139	chr3L_-_22071359_22071555_22071650	chr3L	-	22071650	22071359;22071555	6.34896775964873e-11	3.66645709511661e-10	-0.149166666666667;0.149166666666667
NONE	chr3L_-_22225322_22225408_22225468	chr3L	-	22225468	22225322;22225408	0.00148120339931664	0.0034512521680755	-0.0772333333333333;0.0772333333333335
ArfGAP3	chr3L_-_22715070_22715089_22715153	chr3L	-	22715153	22715070;22715089	1.73869374449702e-09	8.67340150851572e-09	-0.0280333333333333;0.0280333333333334
ArfGAP3	chr3L_-_22717349_22717363_22717489	chr3L	-	22717489	22717349;22717363	9.97293808911205e-08	4.08816164693618e-07	0.441733333333333;-0.441733333333333
Arf79F	chr3L_-_22869471_22869535_22869559_22869575_22869663	chr3L	-	22869663	22869471;22869535;22869559;22869575	5.78331066710374e-60	2.62245184557379e-58	0.0535333333333334;-0.0108666666666667;-0.0112333333333333;-0.0314333333333333
asRNA:CR45970	chr3L_-_22879694_22879711_22879788	chr3L	-	22879788	22879694;22879711	0.0150623559611909	0.0294583854167028	0.294066666666667;-0.294066666666667
alpha-Cat	chr3L_-_23319474_23319518_23325640	chr3L	-	23325640	23319474;23319518	2.44395822107216e-39	6.53171004930819e-38	0.0949000000000001;-0.0949
E(bx)	chr3L_-_234652_234690_234888_234980	chr3L	-	234980	234652;234690;234888	3.90106567358244e-54	1.5716757519724e-52	0.2761;-0.1822;-0.0938666666666667
CG32298	chr3L_-_2390152_2390185_2390267	chr3L	-	2390267	2390152;2390185	1.46532954926181e-12	9.86568340324679e-12	-0.0759;0.0758999999999999
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	chr3L	-	24011231	24009835;24009929;24011160;24011178	4.46720559327945e-11	2.61667335815973e-10	-0.494933333333333;-0.234933333333333;0.790666666666667;-0.0608
lovit	chr3L_-_25459095_25478975_25479053	chr3L	-	25479053	25459095;25478975	1.0184193892258e-09	5.20837747552014e-09	1;-1
msn	chr3L_-_2558035_2558389_2560114	chr3L	-	2560114	2558035;2558389	3.2099612274435e-05	9.54700205901994e-05	-0.1967;0.1967
msn	chr3L_-_2564695_2564755_2565599	chr3L	-	2565599	2564695;2564755	0.0403804914795223	0.0720745902589595	0.0775999999999999;-0.0776
FASN3	chr3L_-_25760079_25760099_25760150	chr3L	-	25760150	25760079;25760099	0.00104397806128571	0.00249375003940056	Inf;Inf
