Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
GramD1B	chr2L_-_3359845_3360020_3360170_3360806	chr2L	-	3359845	3360020	3360170	3360806	8.99456984847403e-08	2.36037647727051e-06	0.459707760364205
bark	chr2L_+_3800037_3800207_3800231_3800288	chr2L	+	3800037	3800207	3800231	3800288	0.00397889784238547	0.0280088073956482	-0.0758244051163867
dpy	chr2L_-_4532386_4548004_4548802_4552241	chr2L	-	4532386	4548004	4548802	4552241	0.000142508856978223	0.00174512228004919	0.294395652218291
Msp300	chr2L_+_5140921_5141310_5141517_5141651	chr2L	+	5140921	5141310	5141517	5141651	0.0329669529240454	0.141601908599225	-0.257460029887367
Msp300	chr2L_+_5202302_5202764_5202803_5203114	chr2L	+	5202302	5202764	5202803	5203114	0.00517165800199293	0.0346111555064098	-0.0347104651857912
IPIP	chr2L_+_6048125_6048226_6048418_6048510	chr2L	+	6048125	6048226	6048418	6048510	0.0132501651158627	0.0719712401461181	0.281100628930817
NONE	chr2L_-_6108368_6108713_6108984_6109037	chr2L	-	6108368	6108713	6108984	6109037	0.00599847576650162	0.039042358836457	0.349673202614379
Reps	chr2L_-_11103169_11103322_11103409_11103842	chr2L	-	11103169	11103322	11103409	11103842	0.00558939152827762	0.036819944746522	0.172789213253436
CG14339	chr2L_+_1110423_1110479_1110674_1111262	chr2L	+	1110423	1110479	1110674	1111262	4.57288574565378e-35	1.1893390817269e-32	0.187870230280034
CG31635	chr2L_-_6637024_6637433_6637490_6637976	chr2L	-	6637024	6637433	6637490	6637976	1.81831201748303e-07	4.51527569830411e-06	0.0880855692429848
Slob	chr2L_-_7649083_7649188_7649200_7649302	chr2L	-	7649083	7649188	7649200	7649302	0.0279478292966447	0.126019267343704	-0.0960037327210003
Snx6	chr2L_-_8218679_8218853_8218871_8219114	chr2L	-	8218679	8218853	8218871	8219114	0.0112509987208043	0.0634960387264506	-0.0259197739374819
mtsh	chr2L_-_8317354_8317523_8317550_8317632	chr2L	-	8317354	8317523	8317550	8317632	0.00335657901839434	0.0245424530754235	0.0303509930975564
tai	chr2L_+_9243900_9244262_9244586_9245384	chr2L	+	9243900	9244262	9244586	9245384	0.0146414834774408	0.0777856053650573	0.176669591375474
Nckx30C	chr2L_-_9718006_9718265_9718520_9722759	chr2L	-	9718006	9718265	9718520	9722759	0.00530973218329405	0.0353400854938866	-0.324363022311939
Syb	chr2R_-_10249827_10250368_10250586_10250877	chr2R	-	10249827	10250368	10250586	10250877	0.016318866254796	0.0845231223957388	-0.0196559651508383
CAP	chr2R_+_10294966_10295290_10295323_10295740	chr2R	+	10294966	10295290	10295323	10295740	4.74949520374309e-05	0.000688221481426999	0.0989276091639716
CG30020	chr2R_+_10888225_10888282_10888396_10888469	chr2R	+	10888225	10888282	10888396	10888469	0.0495963743694819	0.188104893486237	0.0315297088674702
CG4887	chr2L_+_1174266_1174496_1174570_1174908	chr2L	+	1174266	1174496	1174570	1174908	0.00150524467373047	0.0128537050491984	0.111091868036987
CG4896	chr2L_+_1179196_1179451_1179525_1179858	chr2L	+	1179196	1179451	1179525	1179858	1.12621053993253e-11	5.26556705209647e-10	0.0887656344219629
vis	chr2R_-_12508994_12509083_12509470_12509569	chr2R	-	12508994	12509083	12509470	12509569	1.25964366645163e-13	7.30991587863769e-12	0.0411017148187665
achi	chr2R_-_12512783_12512872_12513259_12513358	chr2R	-	12512783	12512872	12513259	12513358	1.49649648851339e-22	1.86672681395318e-20	-0.0219750044899389
Pde1c	chr2L_-_11816706_11816792_11817109_11817351	chr2L	-	11816706	11816792	11817109	11817351	0.0274891188030198	0.124481832576925	-0.0978103196122746
TppII	chr2R_-_13156630_13156767_13156830_13156885	chr2R	-	13156630	13156767	13156830	13156885	0.00503628668536142	0.0339029752650427	-0.0802428305365017
CG43192	chr2R_+_13477430_13477485_13477494_13477547	chr2R	+	13477430	13477485	13477494	13477547	6.48412885575318e-08	1.74360369117807e-06	-0.0756353585941877
CG6686	chr2L_-_11987387_11987471_11987494_11987694	chr2L	-	11987387	11987471	11987494	11987694	0.00889208250132568	0.0529609004234807	-0.0315642056818727
ckn	chr2R_+_14977473_14977686_14977923_14978228	chr2R	+	14977473	14977686	14977923	14978228	6.25983694580847e-10	2.31379853415237e-08	0.11471349287805
unc-5	chr2R_+_15364938_15365065_15365148_15365709	chr2R	+	15364938	15365065	15365148	15365709	0.00180127269282287	0.0149002780143747	0.0565453564101644
Khc-73	chr2R_-_15524737_15524859_15524901_15525013	chr2R	-	15524737	15524859	15524901	15525013	2.74926902230289e-10	1.07626929470908e-08	0.0998554181306807
fus	chr2R_-_15658401_15658469_15658548_15658608	chr2R	-	15658401	15658469	15658548	15658608	0.000824800491369664	0.00780123798087141	-0.0555748733439211
sli	chr2R_-_15885488_15885584_15885656_15886097	chr2R	-	15885488	15885584	15885656	15886097	0.00245322001896152	0.0191165989929605	0.187035130101954
Asph	chr2R_+_16112969_16113180_16114633_16114770	chr2R	+	16112969	16113180	16114633	16114770	0.0244889829480595	0.114668882439262	0.0909298159290978
Mapmodulin	chr2R_-_17867559_17867782_17868088_17868285	chr2R	-	17867559	17867782	17868088	17868285	6.38944482328223e-05	0.000880824731528914	0.0381295690499068
Dgp-1	chr2R_-_18171319_18171392_18171445_18172436	chr2R	-	18171319	18171392	18171445	18172436	0.000630207373511712	0.00619512653125721	0.0154036533936316
CG30122	chr2R_-_18634285_18634769_18634941_18636141	chr2R	-	18634285	18634769	18634941	18636141	5.78314518018993e-12	2.79966111168486e-10	0.0627625399380826
tn	chr2R_+_19001789_19004604_19004883_19005787	chr2R	+	19001789	19004604	19004883	19005787	0.00263178799291576	0.0201945404267679	-0.237742294003637
side-VIII	chr2R_+_20470120_20470413_20470578_20471539	chr2R	+	20470120	20470413	20470578	20471539	5.11107013856868e-05	0.000730944471887334	0.444154292541389
RIC-3	chr2R_+_21019582_21019739_21019859_21020085	chr2R	+	21019582	21019739	21019859	21020085	2.47149751772757e-07	5.9981666806323e-06	0.104653936201346
Fili	chr2R_+_21883589_21891299_21891346_21909032	chr2R	+	21883589	21891299	21891346	21909032	0.0136540721517942	0.0736978028149397	-0.176127819548872
Vps35	chr2R_+_22186094_22186161_22186320_22186515	chr2R	+	22186094	22186161	22186320	22186515	0.000762808093721234	0.00730088717949133	0.137950537724357
wdp	chr2R_-_22301009_22308207_22308256_22311694	chr2R	-	22301009	22308207	22308256	22311694	3.02388927943819e-06	5.9387854234298e-05	-0.0484807844679664
Liprin-gamma	chr2R_-_22341595_22342520_22342730_22344712	chr2R	-	22341595	22342520	22342730	22344712	0.000268753539828051	0.00300208592455118	-0.224402388618394
CG30271	chr2R_+_22820478_22820668_22820816_22821147	chr2R	+	22820478	22820668	22820816	22821147	0.0263227559433934	0.120639235539669	0.00691717780075118
RabX1	chr2R_-_23522192_23523227_23523509_23523607	chr2R	-	23522192	23523227	23523509	23523607	0.0483408169408022	0.184662093185115	-0.0469123453200146
Sesn	chr2R_+_23714899_23722209_23722875_23729047	chr2R	+	23714899	23722209	23722875	23729047	7.82094482229637e-05	0.00104759240268795	0.049522459591973
HSPC300	chr2R_-_24028124_24028221_24028533_24028612	chr2R	-	24028124	24028221	24028533	24028612	0.0135488257436227	0.0732713287815526	0.234745590504343
CG30423	chr2R_-_24875593_24875658_24875659_24875763	chr2R	-	24875593	24875658	24875659	24875763	0.00120631811220628	0.0107133857373127	-0.0577702755813456
