Gene	AS_event_ID	chromosome	strand	common_3_SS_coor	A5SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
CG6695	chr3R_+_24657568_24657609_24657613_24658319	chr3R	+	24658319	24657568;24657609;24657613	0.0337031760277571	0.143814395961418	0.0195666666666667;-0.0477;0.0281
slo	chr3R_+_24665085_24668909_24669539	chr3R	+	24669539	24665085;24668909	8.91651796308197e-06	0.000155527024291705	Inf;Inf
CG11168	chr3R_+_24915784_24915892_24916187_24917769_24918264_24918620	chr3R	+	24918620	24915784;24915892;24916187;24917769;24918264	0.0177724332097877	0.0902687287974363	0.0971;-0.0663333333333333;0.0134333333333333;0.0424;-0.0866
CG11771	chr3R_+_24932236_24932240_24932292	chr3R	+	24932292	24932236;24932240	0.0115182288626931	0.0646689862234108	0.0105666666666667;-0.0105666666666667
CG11786	chr3R_+_25040302_25040441_25046481_25046734	chr3R	+	25046734	25040302;25040441;25046481	5.64736957862844e-05	0.000794900677258259	-0.309966666666667;-0.102666666666667;0.4126
CG5071	chr3R_+_25618390_25618411_25618466	chr3R	+	25618466	25618390;25618411	0.00535593849964331	0.0355665541818882	0.170533333333333;-0.170533333333333
scrib	chr3R_+_26536397_26536419_26536501_26536531_26536592_26536601_26537369	chr3R	+	26537369	26536397;26536419;26536501;26536531;26536592;26536601	1.25864835999179e-13	7.30991587863769e-12	0.0449333333333334;0.034;0.0457;0.1543;0.0082;-0.2872
Yif1	chr3R_+_26717999_26718011_26718026_26718326	chr3R	+	26718326	26717999;26718011;26718026	3.24329748219133e-06	6.31946234617693e-05	-0.0820666666666665;0.0799666666666666;0.0021
TfIIA-L	chr3R_+_27251161_27253625_27254526	chr3R	+	27254526	27251161;27253625	0.00836277269232589	0.0505797966258431	0.0638666666666667;-0.0638666666666666
Doa	chr3R_+_28890100_28895062_28900822	chr3R	+	28900822	28890100;28895062	1.59319811086027e-11	7.33682006019889e-10	-0.197;0.197
alph	chr3R_+_29592167_29593197_29593204_29593270	chr3R	+	29593270	29592167;29593197;29593204	0.0003339180012221	0.00360828028873152	-0.0926333333333335;0.00186666666666666;0.0908333333333333
kay	chr3R_+_29767587_29773821_29781690_29783147_29790854_29791391	chr3R	+	29791391	29767587;29773821;29781690;29783147;29790854	0.0361335790531541	0.151005545924647	0.00523333333333334;0.0438333333333333;0.03;-0.1208;0.0418
CG34133	chr3R_+_29869790_29869793_29869848	chr3R	+	29869848	29869790;29869793	0.00729597278302181	0.0454586456435227	-0.0051;0.00510000000000022
CG31038	chr3R_+_29879810_29897229_29897298	chr3R	+	29897298	29879810;29897229	0.0329093939578564	0.141479781653393	-0.0397;0.0397
CG31036	chr3R_+_29911947_29912167_29912220	chr3R	+	29912220	29911947;29912167	0.000591183923865863	0.00586989898810926	0.481933333333333;-0.481933333333333
sima	chr3R_+_30082321_30099918_30104101	chr3R	+	30104101	30082321;30099918	0.0474937878273185	0.182536400299307	-0.0616;0.0616
zfh1	chr3R_+_30783650_30783832_30783941	chr3R	+	30783941	30783650;30783832	0.0392834181177162	0.159934473876685	-0.2224;0.2224
Sox100B	chr3R_+_31059870_31065638_31073214	chr3R	+	31073214	31059870;31065638	3.76384864823963e-09	1.2361625818587e-07	-0.100966666666667;0.100966666666667
CG46304	chr2L_+_18946019_18946606_18946661	chr2L	+	18946661	18946019;18946606	7.11371733649465e-05	0.000965748764610636	-0.2075;0.2075
cpx	chr3R_+_4284406_4294719_4294944_4295118	chr3R	+	4295118	4284406;4294719;4294944	0.0296682615210616	0.131616152241752	0.0907333333333333;-0.0520666666666666;-0.0386333333333333
CG9795	chr3R_+_4314284_4319856_4319890_4321843	chr3R	+	4321843	4314284;4319856;4319890	4.35114428844133e-06	8.21881388514436e-05	-0.1247;0.0074;0.1173
Sfxn1-3	chr3R_+_4376607_4376908_4378729_4379009_4379448	chr3R	+	4379448	4376607;4376908;4378729;4379009	1.65248834992011e-12	8.47903387278098e-11	-0.00126666666666667;-0.000833333333333333;0.0832333333333333;-0.0811333333333335
5-HT2A	chr3R_+_4630521_4631361_4631806	chr3R	+	4631806	4630521;4631361	0.00615565673237489	0.0398233176379149	-0.190666666666667;0.190666666666667
Cdep	chr3R_+_4909984_4911085_4917395	chr3R	+	4917395	4909984;4911085	1.74644143904907e-06	3.60981803365352e-05	-0.0605333333333333;0.0605333333333332
Sidpn	chr2L_+_19029112_19029173_19029299	chr2L	+	19029299	19029112;19029173	0.000145118714562358	0.00177302612061629	-0.118333333333333;0.118333333333333
Hph	chr3R_+_5258121_5265202_5265637_5266667_5266751	chr3R	+	5266751	5258121;5265202;5265637;5266667	0.00628757204503472	0.0404810498842529	-0.0103666666666667;-0.0054;0.0370666666666667;-0.0212333333333333
CRMP	chr3R_+_5576413_5577259_5577591	chr3R	+	5577591	5576413;5577259	0.0363210773932749	0.151469589021574	0.267666666666667;-0.267666666666667
CG11000	chr3R_+_5807387_5807735_5807816	chr3R	+	5807816	5807387;5807735	0.000117961282558229	0.00148733086414586	-0.593233333333333;0.593233333333333
CG42675	chr3R_+_5808252_5813937_5814849_5814869_5814937	chr3R	+	5814937	5808252;5813937;5814849;5814869	0.000182267865237494	0.00215487524534089	-0.00273333333333333;0.00256666666666667;-0.000733333333333586;0.000833333333333333
glob3	chr3R_+_5826234_5829698_5830117	chr3R	+	5830117	5826234;5829698	0.00125316823586434	0.0110431797860303	-0.5045;0.5045
NONE	chr3R_+_5848163_5848810_5849128_5849272	chr3R	+	5849272	5848163;5848810;5849128	1.28992026889101e-06	2.73484382817913e-05	-0.3186;0.1577;0.160933333333333
lncRNA:CR44925	chr3R_+_5966127_5966143_5966192	chr3R	+	5966192	5966127;5966143	0.0343408211152615	0.145741473823447	-0.1493;0.1493
CG10298	chr3R_+_6342135_6343150_6343202	chr3R	+	6343202	6342135;6343150	0.0182699830533748	0.0922342325308497	-0.00316666666666667;0.00316666666666676
Pak	chr3R_+_6357340_6357562_6358281	chr3R	+	6358281	6357340;6357562	0.0486966665661724	0.185670805282079	-0.0368666666666666;0.0368666666666667
brat	chr2L_+_19145844_19158755_19166083	chr2L	+	19166083	19145844;19158755	0.0102899700326159	0.0592062664456136	-0.166166666666667;0.166166666666667
lap	chr3R_+_7187547_7188716_7190122	chr3R	+	7190122	7187547;7188716	4.90278357084764e-05	0.000706029409044661	-0.0634666666666664;0.0634666666666667
drl	chr2L_+_19190834_19205631_19205719	chr2L	+	19205719	19190834;19205631	0.015195240894491	0.079999792681773	-0.2762;0.2762
Syt4	chr3R_+_7264841_7266188_7266794	chr3R	+	7266794	7264841;7266188	2.34382155969718e-05	0.000370404528453891	-0.485;0.485
Mst84Da	chr3R_+_7366243_7366245_7366305	chr3R	+	7366305	7366243;7366245	0.0224304293711102	0.107440787482057	0.377333333333333;-0.377333333333333
CG34384	chr3R_+_7851509_7851518_7851582	chr3R	+	7851582	7851509;7851518	0.0193063926189571	0.096042291509521	0.0198666666666664;-0.0198666666666667
CG7900	chr3R_+_8094328_8097548_8100022	chr3R	+	8100022	8094328;8097548	0.00016470199372005	0.00197948268840651	-0.413;0.413
CG17350	chr2L_+_19372716_19381084_19381863	chr2L	+	19381863	19372716;19381084	6.96360828455844e-12	3.3334512653377e-10	-0.3393;0.3393
CG11737	chr3R_+_8504042_8518391_8519169_8519604	chr3R	+	8519604	8504042;8518391;8519169	0.00166531694716737	0.0139806192726774	-0.0106666666666667;0.00963333333333327;0.001
CG8369	chr3R_+_8820862_8822125_8822467	chr3R	+	8822467	8820862;8822125	2.60219700119767e-14	1.60275874931869e-12	-0.223666666666667;0.223666666666667
CG10026	chr2L_+_19454980_19456183_19456407	chr2L	+	19456407	19454980;19456183	0.00245406380068268	0.0191165989929605	-0.180333333333333;0.180333333333333
CG8312	chr3R_+_9607974_9620460_9621336_9621440_9621517	chr3R	+	9621517	9607974;9620460;9621336;9621440	0.0256648173533463	0.118537172449228	-0.0444333333333333;0.0113666666666666;0.0447333333333333;-0.0116666666666667
CG8312	chr3R_+_9622774_9623062_9623116	chr3R	+	9623116	9622774;9623062	0.0368554681586787	0.15299722972418	-0.0347333333333335;0.0347333333333333
RpS29	chr3R_+_9778196_9778407_9778412_9778468_9778617	chr3R	+	9778617	9778196;9778407;9778412;9778468	0.0193405982933192	0.0961632370421055	-0.0233666666666669;0.00266666666666667;0.021;-0.000333333333333333
ATPsynbeta	chr4_+_1029228_1031953_1032905	chr4	+	1032905	1029228;1031953	0.00331696405362116	0.0243275588273407	-0.0076;0.00760000000000005
sv	chr4_+_1108344_1109600_1110779	chr4	+	1110779	1108344;1109600	2.84463415134609e-12	1.42544572945885e-10	-0.511933333333333;0.511933333333333
Cadps	chr4_+_1234799_1240779_1241728	chr4	+	1241728	1234799;1240779	0.000538234920589757	0.00541446124860736	-0.1703;0.1703
Hcf	chr4_+_328794_359980_360284_360358_360456_360465_360510_360585	chr4	+	360585	328794;359980;360284;360358;360456;360465;360510	0.000362541043125485	0.00387456315944506	0.0114;0.0156;0.105866666666667;-0.1496;0.0615333333333333;-0.0191;-0.0256
Hcf	chr4_+_366762_369964_371089	chr4	+	371089	366762;369964	0.0060578288199358	0.0393444437459926	-0.0192333333333333;0.0192333333333334
CG11360	chr4_+_669455_671387_671616_680438	chr4	+	680438	669455;671387;671616	0.00980808829061531	0.0570467541763167	-0.00456666666666664;-0.115033333333333;0.119566666666667
bt	chr4_+_736030_737046_737734	chr4	+	737734	736030;737046	0.00945725426492822	0.0555290623556579	-0.109433333333333;0.109433333333333
Ptp10D	chrX_+_11622061_11622185_11622357_11623751	chrX	+	11623751	11622061;11622185;11622357	0.00247236114946357	0.0192098394536393	0.1351;-0.0821;-0.0529999999999999
PhKgamma	chrX_+_11695939_11696311_11696401	chrX	+	11696401	11695939;11696311	0.000240190586637888	0.00273195528969628	0.0459;-0.0458999999999998
sick	chr2L_+_19857840_19866509_19886942	chr2L	+	19886942	19857840;19866509	0.000113927828365472	0.00144412739187574	-0.232466666666667;0.232466666666667
CkIIbeta	chrX_+_11792686_11792745_11792991_11793127_11793279_11793441	chrX	+	11793441	11792686;11792745;11792991;11793127;11793279	0.00603049844810699	0.0392031219191298	0.0113;-0.00583333333333333;0.00206666666666667;0.0140666666666667;-0.0216000000000001
sick	chr2L_+_19887320_19902187_19907760	chr2L	+	19907760	19887320;19902187	6.5291369095468e-05	0.000898539597699648	-0.155366666666666;0.155366666666667
regucalcin	chrX_+_12012528_12014521_12015566_12016001	chrX	+	12016001	12012528;12014521;12015566	8.89368633643119e-05	0.00116552285585205	-0.0224333333333333;0.0926333333333335;-0.0701666666666667
CkIalpha	chrX_+_12653751_12654168_12654794_12654969_12655169	chrX	+	12655169	12653751;12654168;12654794;12654969	1.71743299480014e-05	0.000279456973198977	-0.0115333333333333;0.0338999999999998;-0.0041;-0.0182333333333333
comt	chrX_+_13261965_13261971_13262033	chrX	+	13262033	13261965;13261971	0.0263356701119931	0.120663988564621	0.156666666666667;-0.156666666666667
Nplp4	chr2L_+_2002346_2008541_2008671	chr2L	+	2008671	2002346;2008541	2.22970447660745e-05	0.000354199914148712	-0.5702;0.5702
