Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
nAChRalpha4	chr3L_+_23264364_23269402_23278214_23278462_23278531_23283731	chr3L	+	23264364;23269402;23278214;23278462;23278531;23283731	5.90591670214123e-11	2.53272359721131e-09	-0.290666666666667;0.290666666666667;0.0684999999999999;0.1315;-0.2;0.0480666666666667;-0.0480666666666667
AGO3	chr3L_+_23538134_23539825_23539967_23554689_23556048_23566837	chr3L	+	23538134;23539825;23539967;23554689;23556048;23566837	5.42895124721056e-05	0.000769213182779121	-0.0179666666666667;0.0113666666666667;0.00659999999999994;0.3859;-0.193466666666667;-0.1925
E(bx)	chr3L_-_236427_236495_236501_236507_236552_236597_236755_236861_236906_239053	chr3L	-	236427;236495;236501;236507;236552;236597;236755;236861;236906;239053	4.362138391379e-10	1.6493709970605e-08	0;0.0069;0.00203333333333333;-0.00896666666666667;-0.190266666666667;0.190266666666667;-0.0986333333333334;-0.0216333333333333;0.119066666666667;0.0012;0.1015;0.0378666666666667;-0.139366666666667;0.198166666666667;0.0173;-0.215433333333333;0.0132;-0.0131999999999999
mRpL23	chr3L_-_2373444_2373595_2373679_2373683_2389840_2389899	chr3L	-	2373444;2373595;2373679;2373683;2389840;2389899	5.76602695552611e-10	2.14360727806686e-08	-0.00123333333333333;0.00123333333333331;0.0203333333333333;-0.00190000000000001;0.1999;-0.218333333333333
Svil	chr3L_+_2377931_2406599_2412303_2414111_2415389_2415464_2418335_2429429_2434624	chr3L	+	2377931;2406599;2412303;2414111;2415389;2415464;2418335;2429429;2434624	3.29750713488231e-13	1.84364800567428e-11	-0.0022;0.00783333333333333;-0.00563333333333327;-0.00526666666666666;0.000966666666666666;0.005;-0.1226;0.112966666666667;-0.00353333333333333;0.0125;0.1231;-0.1231;0.201533333333333;-0.201533333333333;0.13;-0.13
CG40045	chr3L_+_24030854_24030857_24030938_24032858_24033180_24034876_24035018_24035430_24035435	chr3L	+	24030854;24030857;24030938;24032858;24033180;24034876;24035018;24035430;24035435	0.00787210096476416	0.0482020155873263	0.0055;-0.0210666666666667;-0.00586666666666667;0.0109333333333333;0.0033;0.00723333333333333;0.0095;-0.0038999999999999;-0.00553333333333333
nvd	chr3L_+_24348722_24348780_24365757_24366062_24400853	chr3L	+	24348722;24348780;24365757;24366062;24400853	1.59526385450549e-09	5.51568058542989e-08	0.123633333333333;-0.123633333333333;0.3941;-0.376366666666667;-0.0177
Svil	chr3L_+_2436228_2439415_2439497_2439830_2442434_2442437_2442960_2443388	chr3L	+	2436228;2439415;2439497;2439830;2442434;2442437;2442960;2443388	0.0303769810139744	0.133733233778735	0.00219999999999998;-0.0022;0.000433333333333333;0.0344666666666669;-0.0349;-0.000600000000000045;0.0006;-0.0118333333333333;-0.0244333333333333;0.0362666666666664
mRpS5	chr3L_+_24537616_24537909_24541661_24542300_24542408	chr3L	+	24537616;24537909;24541661;24542300;24542408	1.68570316429082e-05	0.00027492068285658	-0.0139666666666667;0.00843333333333333;0.0055;0.0686333333333333;-0.0686333333333334
Svil	chr3L_+_2461268_2462984_2463055_2465101_2465577_2467269_2483376_2484562	chr3L	+	2461268;2462984;2463055;2465101;2465577;2467269;2483376;2484562	0.000644758374003705	0.00631593819828789	0.000766666666666471;-0.000766666666666667;-0.0634;-0.0114666666666667;0.104766666666667;-0.0299;0.00596666666666668;-0.00353333333333333;-0.0024
Spn	chr3L_-_2500462_2501068_2501141_2502389_2502593_2502723_2503141_2508865_2508907_2509362_2509500_2509760_2510557_2510575_2511161	chr3L	-	2500462;2501068;2501141;2502389;2502593;2502723;2503141;2508865;2508907;2509362;2509500;2509760;2510557;2510575;2511161	4.23647679117629e-06	8.04164614130564e-05	0.0975666666666668;-0.0248;-0.0728666666666667;-0.0721666666666667;0.0721666666666665;-0.0846666666666667;-0.1467;-0.0290333333333333;0.2044;0.0559000000000001;0.1382;-0.1382;0.00153333333333333;0.0225333333333333;-0.0297333333333333;0.00733333333333333;-0.000666666666666667;-0.0011;0.342766666666667;-0.342766666666667;0.1898;-0.1898
lovit	chr3L_-_25237225_25255042_25283464_25283482_25283533	chr3L	-	25237225;25255042;25283464;25283482;25283533	8.37044790608243e-09	2.63332979399922e-07	-0.215933333333333;0.189766666666667;0.0261666666666667;0.6208;-0.6208
l(3)80Fg	chr3L_-_25844107_25853111_25873858_25874384_25891043_25924294	chr3L	-	25844107;25853111;25873858;25874384;25891043;25924294	0.00252638385673312	0.0195397815242466	-0.0194333333333333;0.0194333333333333;0.0124666666666667;0.00690000000000002;-0.0194;-0.009;0.00900000000000012
Dbp80	chr3L_+_27332346_27332410_27350218_27350321_27380951	chr3L	+	27332346;27332410;27350218;27350321;27380951	8.5982949112095e-07	1.88777533626456e-05	-0.00533333333333333;0.0053333333333333;0.0589333333333333;-0.0533333333333333;-0.0056
eIF4B	chr3L_-_27844604_27847423_27847485_27856707_27856782	chr3L	-	27844604;27847423;27847485;27856707;27856782	0.00347542011973899	0.025221923171278	-0.0368;0.0422;-0.00539999999999996;0.110466666666667;-0.110466666666667
CG4995	chr2L_+_10322596_10322706_10322720_10322834_10323507_10323669	chr2L	+	10322596;10322706;10322720;10322834;10323507;10323669	1.39326470011054e-14	8.85308779424342e-13	-0.0104333333333333;0.0113333333333333;-0.000966666666666666;0.00536666666666667;0.00983333333333325;-0.0152
l(3)80Fj	chr3L_-_27974140_27987736_27988702_28012379_28012473_28012483_28012535	chr3L	-	27974140;27987736;27988702;28012379;28012473;28012483;28012535	0.00543888011779187	0.036027953974744	-0.0137;0.0137;-0.00353333333333334;0.0193666666666666;-0.0158666666666666;0.0188999999999999;-0.0189;0.00176666666666647;-0.00176666666666667
RhoGEF3	chr3L_+_291397_293185_297715_298139_298957	chr3L	+	291397;293185;297715;298139;298957	0.0285396528566535	0.127897861120633	0.0175333333333333;-0.0698666666666667;0.0523;0.0575;-0.0575
RhoGEF3	chr3L_+_299016_300773_300832_300848_300893_300899	chr3L	+	299016;300773;300832;300848;300893;300899	9.6760269361205e-40	3.32405158504448e-37	-0.0671;0.144466666666667;-0.0127;-0.0646333333333333;-0.0465000000000001;0.0465
promL	chr3L_-_3117256_3117344_3117405_3117485_3117768_3117832	chr3L	-	3117256;3117344;3117405;3117485;3117768;3117832	0.00248734927926646	0.0193029481818503	-0.000166666666666666;0.00473333333333331;-0.00459999999999994;-0.0106666666666666;0.0106666666666667;-0.0405333333333333;0.0405333333333332
promL	chr3L_-_3121199_3126283_3126865_3127025_3127407_3127529_3127651	chr3L	-	3121199;3126283;3126865;3127025;3127407;3127529;3127651	0.034803299558559	0.14719894452942	0.0935666666666667;-0.0935666666666666;0.0016;-0.0120000000000001;0.0104;-0.0235666666666667;-0.0299333333333333;0.0534666666666668
CG11537	chr3L_-_3131204_3132307_3132557_3132631_3133244_3133334_3133338_3133947_3134894_3142826	chr3L	-	3131204;3132307;3132557;3132631;3133244;3133334;3133338;3133947;3134894;3142826	2.34554586927897e-11	1.05592300061913e-09	-0.0192;0.0192;-0.0291;-0.100333333333333;-0.0375666666666667;0.167;-0.0240000000000001;0.0053;0.0187;0.0476;-0.00356666666666667;-0.00273333333333333;-0.0413333333333334;0.0375666666666667;-0.0375666666666667
fwd	chr3L_-_314317_318989_319745_321363_321913	chr3L	-	314317;318989;319745;321363;321913	9.79583510752476e-09	3.0518634487997e-07	-0.235566666666667;0.235566666666667;0.221866666666667;0.00116666666666665;-0.223033333333333
spen	chr2L_+_160023_160128_162590_163001_175359_175447_182913_183419_183759	chr2L	+	160023;160128;162590;163001;175359;175447;182913;183419;183759	0.00466151643551429	0.0317898595895832	0.0458666666666666;-0.0458666666666667;-0.0695666666666667;0.0695666666666667;0.0673666666666666;-0.109633333333333;0.00483333333333334;0.0374666666666667;0.0901666666666665;-0.0901666666666667;-0.0845999999999999;0.0846
CG12078	chr3L_-_3238982_3239420_3244079_3244145_3244164	chr3L	-	3238982;3239420;3244079;3244145;3244164	0.000235117183849208	0.00268279982374014	-0.0044;0.00440000000000007;-0.114166666666667;0.114166666666667;0.0262666666666667;-0.00213333333333333;-0.0241;-0.0541333333333333;0.0541333333333333
NONE	chr3L_-_3281098_3286271_3289933_3294880_3295427_3295436_3295709	chr3L	-	3281098;3286271;3289933;3294880;3295427;3295436;3295709	1.38255427576675e-06	2.91164432838008e-05	-0.2419;0.135666666666667;0.0565666666666667;0.0827333333333333;-0.033;-0.0569;0.0568999999999998
Strip	chr3L_-_3319193_3320442_3320630_3320705_3325601_3325837_3326011_3326036_3328697	chr3L	-	3319193;3320442;3320630;3320705;3325601;3325837;3326011;3326036;3328697	6.03475211983211e-08	1.63164356452077e-06	-0.0334;-0.0068;-0.00656666666666667;0.0777999999999999;-0.00583333333333333;-0.0268;0.00156666666666666;0.145633333333333;-0.145633333333333
PHGPx	chr3L_+_3326322_3326367_3326441_3326456_3326521_3326712_3327341_3327553_3327858	chr3L	+	3326322;3326367;3326441;3326456;3326521;3326712;3327341;3327553;3327858	4.55158550900473e-92	6.22124265285049e-89	0.0627333333333333;-0.344033333333333;0.2813;-0.000533333333333332;-0.352266666666667;0.0926333333333333;0.2124;0.0477666666666667;0.189266666666667;-0.189266666666667;0.476166666666667;-0.476166666666667;0.338733333333333;-0.338733333333333;0.0313333333333333;0.00206666666666661;-0.0334666666666666
eIF5B	chr3L_-_3429083_3432202_3432365_3443456_3443565_3445363	chr3L	-	3429083;3432202;3432365;3443456;3443565;3445363	0.0437096503002037	0.172319830925768	-0.0062;0.00619999999999987;0.0048;-0.0047999999999998;0.00596666666666668;-0.00596666666666666;-0.00406666666666666;0.00406666666666667
eIF5B	chr3L_-_3460587_3460603_3460608_3460628_3460703_3460705_3461433_3461436_3461524	chr3L	-	3460587;3460603;3460608;3460628;3460703;3460705;3461433;3461436;3461524	8.19556099880118e-08	2.16841447332779e-06	-0.0182333333333333;-0.00263333333333335;-0.00986666666666667;0.0306666666666668;-0.345033333333333;-0.347666666666667;0.4347;0.257933333333333;0.112833333333333;-0.112833333333333;0.157066666666667;-0.157066666666667;0.00223333333333333;-0.00223333333333342
Eip63E	chr3L_+_3515934_3516527_3516828_3533810_3543707_3546131_3552785	chr3L	+	3515934;3516527;3516828;3533810;3543707;3546131;3552785	9.47840596819427e-08	2.47571660795287e-06	0.0481666666666667;-0.117233333333333;0.0142;0.0549;-0.0829666666666666;0.0829666666666667;0.0012;-0.00120000000000009
CG14974	chr3L_-_3620809_3620812_3620828_3620870_3620872	chr3L	-	3620809;3620812;3620828;3620870;3620872	0.000303116561597609	0.00332977274856224	-0.0290333333333336;0.0288;0.000200000000000002;0.00326666666666653;-0.00326666666666667
CG32264	chr3L_-_3723872_3735504_3738636_3741994_3753088_3758405_3767135_3767568_3769076	chr3L	-	3723872;3735504;3738636;3741994;3753088;3758405;3767135;3767568;3769076	0.000218414776148495	0.00251951582592125	-0.0807;0.0121;0.0699333333333333;-0.00133333333333334;-0.00966666666666667;0.00966666666666649;0.0206;-0.0115666666666667;0.0027666666666667;-0.0118
ntc	chr3L_-_3803454_3804750_3804753_3804764_3804876_3805458_3805819	chr3L	-	3803454;3804750;3804753;3804764;3804876;3805458;3805819	0.000374759298125992	0.00398327466428059	-0.00313333333333333;0.0023;0.0017;-0.00196666666666667;0.0011;-0.00196666666666667;0.00196666666666667
Ubi-p63E	chr3L_-_3899659_3899886_3899887_3900114_3900115_3900342_3900343_3900570_3900571_3900798_3901027_3901254_3901255_3901482_3901483_3901710	chr3L	-	3899659;3899886;3899887;3900114;3900115;3900342;3900343;3900570;3900571;3900798;3901027;3901254;3901255;3901482;3901483;3901710	1.47115883017732e-89	1.81747527710425e-86	0.355033333333333;-0.355033333333333;0.105266666666667;-0.105266666666667;-0.0483333333333333;-0.0002;0.0623333333333334;-0.0138;-0.0182333333333333;-0.00136666666666667;0.0721666666666666;-0.00873333333333333;-0.0439;-0.0362;-0.00476666666666667;-0.00926666666666667;-0.091;0.141233333333333;-0.219166666666667;0.219166666666667;-0.0039;-0.00126666666666667;0.0454666666666667;-0.0231666666666666;-0.0151666666666667;-0.00199999999999999;-0.7745;0.7745;0.0589000000000002;-0.0589;-0.642133333333333;0.463966666666667;0.2185;-0.0403333333333333;-0.0120333333333333;0.0220999999999999;-0.00683333333333332;-0.00326666666666666;0.0206000000000001;-0.0206
Ubi-p63E	chr3L_-_3901770_3901851_3902525_3902684_3902707_3902734_3902781_3902787_3902788_3902853_3903002_3903441	chr3L	-	3901770;3901851;3902525;3902684;3902707;3902734;3902781;3902787;3902788;3902853;3903002;3903441	1.45768900816655e-16	1.09781242173068e-14	-0.0198333333333333;0.0198333333333331;0.00113333333333343;0.0028333333333333;-0.0024;-0.00153333333333333;0.0370999999999999;-0.0371;-0.402066666666667;0.402066666666667;-0.00136666666666667;-0.0173666666666667;-0.00476666666666667;-0.0006;0.0132;0.0114;-0.000533333333333333;0.0505666666666666;0.00473333333333333;0.0362999999999999;-0.0893666666666666;-0.00216666666666667
mge	chr3L_-_3908531_3908777_3908862_3909002_3909039_3909219_3909755	chr3L	-	3908531;3908777;3908862;3909002;3909039;3909219;3909755	5.86490901463827e-37	1.63812008699729e-34	-0.00973333333333334;0.00973333333333315;0.0218;0.00156666666666667;-0.0155000000000001;-0.00786666666666667;-0.0147;0.0147000000000002
NONE	chr2L_-_1611850_1611853_1611922_1611936	chr2L	-	1611850;1611853;1611922;1611936	0.0188360046712295	0.0943136224539714	0.282666666666667;-0.282666666666667;-0.0253;0.0252999999999999;-0.0519666666666668;0.0519666666666667;-0.232933333333333;0.232933333333333
NONE	chr3L_-_4034877_4034934_4035084_4035149_4035668_4035679_4035735	chr3L	-	4034877;4034934;4035084;4035149;4035668;4035679;4035735	1.13863515738551e-21	1.35457520640004e-19	-0.119533333333333;-0.486566666666667;0.481766666666667;0.124333333333333;0.2272;-0.2272;0.505;-0.505
CG14995	chr3L_-_4095874_4095970_4096046_4096067_4096902_4096909_4096978_4097204_4097334_4097453_4097505	chr3L	-	4095874;4095970;4096046;4096067;4096902;4096909;4096978;4097204;4097334;4097453;4097505	3.86009727139953e-95	5.76689555376691e-92	0.1024;-0.0038;-0.1012;0.000433333333333333;0.00226666666666667;-0.00203333333333333;0.00203333333333355;-0.107233333333333;0.107233333333333;-0.0364333333333334;0.0265666666666667;0.00986666666666666;0.115766666666667;-0.115766666666667
CG14995	chr3L_-_4098199_4100778_4100845_4101217_4101475	chr3L	-	4098199;4100778;4100845;4101217;4101475	0.000638927048225384	0.00626933137391888	-0.00126666666666667;0.00160000000000016;-0.000333333333333333;0.00123333333333331;-0.00123333333333333
ens	chr3L_-_4127162_4128306_4128612_4128973_4129649_4129791_4130387_4130643_4131119	chr3L	-	4127162;4128306;4128612;4128973;4129649;4129791;4130387;4130643;4131119	0.000255406797834702	0.00287247690821063	0.118766666666667;-0.118766666666667;-0.0112666666666666;-0.0629333333333333;0.0613666666666666;0.0128;-0.0254333333333333;-0.0220666666666667;0.108833333333333;-0.0614333333333333;0.0999333333333333;-0.0999333333333334;0.00390000000000001;-0.00389999999999979
ens	chr3L_-_4132203_4132212_4133767_4133822_4134452	chr3L	-	4132203;4132212;4133767;4133822;4134452	0.0282649831949483	0.126994739503894	0.024;-0.0239999999999999;-0.0464;0.0464;0.0332333333333334;-0.0332333333333333
klar	chr3L_-_445911_447230_447650_447709_447781_449995	chr3L	-	445911;447230;447650;447709;447781;449995	0.00772188333509134	0.0475362652273954	0.0377333333333333;-0.0377333333333334;-0.0411666666666667;0.0854;0.0335333333333333;-0.0777333333333333
CG34269	chr3L_+_447824_527622_527681_528274_528337_540866_540978_541000	chr3L	+	447824;527622;527681;528274;528337;540866;540978;541000	2.951520904173e-06	5.81265034963144e-05	-0.0341333333333335;-0.1375;0.171666666666667;-0.173333333333333;0.173333333333333;0.00526666666666664;-0.0052666666666667;0.5298;-0.5298;0.0646333333333333;-0.0646333333333331
Ca-alpha1D	chr2L_+_16177394_16177488_16177691_16177804_16178905	chr2L	+	16177394;16177488;16177691;16177804;16178905	4.2341638687429e-08	1.17497590104498e-06	-0.432733333333333;0.432733333333333;0.146;0.219033333333333;-0.365033333333333
klar	chr3L_-_451771_452836_453488_453927_454107	chr3L	-	451771;452836;453488;453927;454107	0.000264787956448473	0.00296087782597151	0.152033333333333;-0.0178666666666667;-0.134166666666667;-0.1278;0.1278
CG11357	chr3L_+_4542907_4550722_4550788_4550929_4551000	chr3L	+	4542907;4550722;4550788;4550929;4551000	0.0150629338536273	0.0794856196558953	-0.0878666666666667;0.1092;-0.0213666666666667;-0.0451333333333333;0.0451333333333334
klar	chr3L_-_462558_472686_489951_493054_502654_505885	chr3L	-	462558;472686;489951;493054;502654;505885	0.000206031911577317	0.00239560109169927	-0.00283333333333347;-0.0622666666666667;0.0882;-0.0231;0.1806;-0.1806
Dnah3	chr3L_+_4889785_4890461_4890494_4890630_4891043	chr3L	+	4889785;4890461;4890494;4890630;4891043	2.20027754632817e-09	7.45113494220706e-08	-0.0141;0.0141000000000001;0.0240333333333334;-0.0095;-0.0145333333333333
klar	chr3L_-_508799_514610_514705_529375_539897	chr3L	-	508799;514610;514705;529375;539897	8.0371815530234e-06	0.000141412911122204	-0.123833333333333;0.0118666666666667;0.111966666666667;0.0778666666666666;-0.0778666666666667
Hipk	chr3L_+_548067_552226_552270_553387_569525_569562	chr3L	+	548067;552226;552270;553387;569525;569562	0.0047532780218998	0.0322785764698589	0.0177666666666665;-0.0177666666666667;0.00153333333333333;0.0678333333333333;-0.0612666666666665;-0.00816666666666666
PRL-1	chr2L_-_16249091_16249142_16249187_16249231_16249285_16249706_16250079	chr2L	-	16249091;16249142;16249187;16249231;16249285;16249706;16250079	3.66958821940651e-15	2.48668794095879e-13	0.327533333333333;-0.327533333333333;0.0222;-0.0222;0.0642999999999999;-0.0370666666666667;-0.0272333333333333;0.00293333333333333;-0.00293333333333334
scny	chr3L_+_5774076_5774412_5774846_5775013_5775187	chr3L	+	5774076;5774412;5774846;5775013;5775187	1.98550916820587e-19	1.93552495409277e-17	-0.103833333333333;0.0618333333333333;0.042;0.127233333333333;-0.127233333333334
vn	chr3L_-_5807988_5810288_5813463_5813474_5816645_5816649_5816700_5817533	chr3L	-	5807988;5810288;5813463;5813474;5816645;5816649;5816700;5817533	3.94863318974202e-06	7.54728190247596e-05	-0.146033333333333;-0.0762999999999999;0.2224;-0.0662666666666667;0.0662666666666666;0.0731000000000001;-0.0731000000000001;0.1418;-0.0528333333333333;-0.0890333333333333;0.128633333333333;-0.128633333333333;-0.093;0.093
CG33523	chr3L_+_5925624_5926735_5927066_5927907_5928222	chr3L	+	5925624;5926735;5927066;5927907;5928222	2.85558233589239e-06	5.64621313758274e-05	-0.0644333333333333;0.121533333333333;-0.0571;0.1426;-0.1426
Gale	chr3L_+_600914_641416_641732_649419_650231	chr3L	+	600914;641416;641732;649419;650231	2.09953705777739e-07	5.14598855889651e-06	-0.0577;-0.0179;0.0756;0.0473666666666667;-0.0473666666666667
MCU	chr3L_+_6551949_6562320_6562418_6562490_6562565_6562839_6581474_6590602_6590605	chr3L	+	6551949;6562320;6562418;6562490;6562565;6562839;6581474;6590602;6590605	3.50137956347025e-05	0.000525708658241182	-0.00846666666666667;0.000300000000000009;0.00813333333333333;0.00809999999999977;-0.00809999999999999;-0.00856666666666667;0.0173333333333334;-0.0088;0.0216666666666667;-0.0358333333333332;0.0141666666666667
CG17328	chr2L_+_16298881_16298943_16299371_16300338_16300436_16300491	chr2L	+	16298881;16298943;16299371;16300338;16300436;16300491	0.000287602128620432	0.00318274734620245	0.0323666666666665;-0.0323666666666667;-0.0891666666666667;0.0891666666666667;0.5019;-0.250066666666667;-0.251866666666667
Ist1	chr3L_-_6754457_6754493_6754743_6754807_6754936_6754945_6755071_6755123_6755418	chr3L	-	6754457;6754493;6754743;6754807;6754936;6754945;6755071;6755123;6755418	0.00430322648945668	0.0298761021192247	-0.0301;0.0212;0.00396666666666662;0.00493333333333335;-0.0785666666666667;0.0785666666666667;0.0545333333333332;0.0384333333333333;-0.0929;-0.00360000000000002;0.00360000000000016
unc-13-4A	chr3L_-_7274673_7276962_7277132_7279115_7279357_7282152	chr3L	-	7274673;7276962;7277132;7279115;7279357;7282152	5.21864933439264e-05	0.000743845688685862	-0.0370666666666667;0.0370666666666667;-0.0603333333333333;0.0603333333333333;0.0766000000000001;-0.0361;-0.0404666666666667
lark	chr3L_+_7339617_7339866_7339960_7340770_7340874	chr3L	+	7339617;7339866;7339960;7340770;7340874	0.000869852314921499	0.00815174070939052	0.0191333333333333;-0.0191333333333333;0.148566666666667;-0.2456;0.097
hng3	chr3L_-_734096_738732_738986_740279_755073_755374	chr3L	-	734096;738732;738986;740279;755073;755374	2.42675578804336e-14	1.4975717442814e-12	-0.179866666666667;-0.463633333333333;-0.250566666666667;0.894033333333333;0.454166666666667;-0.454166666666667
akirin	chr3L_+_7368005_7368208_7370068_7370184_7370630_7371705_7371730	chr3L	+	7368005;7368208;7370068;7370184;7370630;7371705;7371730	0.0048781771581709	0.0329945534909248	0.00456666666666667;-0.00693333333333333;0.00430000000000001;0.00366666666666671;-0.00556666666666667;0.0761000000000002;-0.0761
Tsp66A	chr3L_+_7467407_7467420_7467424_7467476_7467657_7467663_7467667_7467722_7467732	chr3L	+	7467407;7467420;7467424;7467476;7467657;7467663;7467667;7467722;7467732	9.99075531217028e-05	0.00128646244138932	-0.00303333333333333;-0.0220666666666666;0.0251;-0.0194666666666667;0.0229;-0.00393333333333334;0.000466666666666667;-0.103233333333333;0.0186333333333333;0.0845333333333333;0.103933333333333;-0.0865666666666667;-0.0174;-0.000199999999999978;0.000199999999999995;-0.0567333333333333;0.0567333333333333
lqf	chr3L_+_7535644_7536002_7536008_7536435_7536709_7536769_7536974	chr3L	+	7535644;7536002;7536008;7536435;7536709;7536769;7536974	9.40578343074395e-22	1.12311697653238e-19	-0.0533000000000001;0.0533;-0.0821;0.109566666666666;-0.0274666666666667;0.1038;0.000100000000000001;-0.0269;-0.0770666666666667;-0.00176666666666667;0.00176666666666681
