Gene	AS_event_ID	chromosome	strand	common_5_SS_coor	A3SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
CG31805	chr2L_-_16900042_16900046_16900099	chr2L	-	16900099	16900042;16900046	0.0388281626596919	0.158623847212799	0.0390333333333334;-0.0390333333333333
lncRNA:CR43053	chr2L_-_16934169_16944229_16944747	chr2L	-	16944747	16934169;16944229	0.000341519135667381	0.00367804372077254	-0.365133333333333;0.365133333333333
CG14362	chr3R_-_13845237_13854926_13855037	chr3R	-	13855037	13845237;13854926	2.49789634403387e-06	4.99235450630481e-05	-0.00886666666666667;0.00886666666666669
cv-c	chr3R_-_14433205_14439482_14451952	chr3R	-	14451952	14433205;14439482	0.00333178301438173	0.024404053675215	-0.0999000000000001;0.0999
Meltrin	chr3R_-_14672523_14683740_14696483	chr3R	-	14696483	14672523;14683740	0.00667298397680066	0.0424560922703428	-0.0855333333333335;0.0855333333333334
btsz	chr3R_-_14824202_14824307_14825035	chr3R	-	14825035	14824202;14824307	0.0490362486663661	0.186597420363466	-0.0610666666666667;0.0610666666666666
NONE	chr3R_-_14998966_14999498_14999586	chr3R	-	14999586	14998966;14999498	4.63953259427416e-31	9.83657469929921e-29	-0.8465;0.8465
tefu	chr3R_-_15242162_15243999_15244172	chr3R	-	15244172	15242162;15243999	3.47696426167953e-05	0.000522614777926473	-0.666666666666667;0.666666666666667
Lrch	chr2L_-_17374748_17382339_17383468	chr2L	-	17383468	17374748;17382339	1.97986559190915e-05	0.000317574395729927	-0.0193333333333333;0.0193333333333333
Brf	chr3R_-_17377266_17390354_17390494	chr3R	-	17390494	17377266;17390354	5.67641519067952e-06	0.000103802615503684	-0.142;0.142
Dscam3	chr3R_-_17490403_17491644_17491725	chr3R	-	17491725	17490403;17491644	7.69539757350727e-06	0.000135925222853913	-0.501266666666667;0.501266666666667
PKD	chr3R_-_18307601_18308930_18308980	chr3R	-	18308980	18307601;18308930	3.42765828574628e-06	6.64642909552149e-05	-0.0708999999999999;0.0709
naz	chr3R_-_18317761_18318562_18325476	chr3R	-	18325476	18317761;18318562	0.0179364707052708	0.0909078354696096	0.0467333333333333;-0.0467333333333333
WRNexo	chr3R_-_18365610_18365613_18365670	chr3R	-	18365670	18365610;18365613	0.0280723130144091	0.126445374878008	-0.0961666666666667;0.0961666666666667
fru	chr3R_-_18430964_18432034_18432281_18432562	chr3R	-	18432562	18430964;18432034;18432281	0.00885192623122798	0.0527958399445768	-0.0778000000000002;0.0436666666666667;0.0340666666666667
CG6005	chr3R_-_18997996_19022568_19022843	chr3R	-	19022843	18997996;19022568	0.000338185432994717	0.00364764445953888	-0.5688;0.5688
cdi	chr3R_-_19060834_19071205_19076233_19082211_19087403	chr3R	-	19087403	19060834;19071205;19076233;19082211	9.99831359957912e-06	0.00017261533564917	-0.0243666666666666;0.00313333333333333;0.00333333333333333;0.0179
CG5217	chr3R_-_19247678_19247715_19247788	chr3R	-	19247788	19247678;19247715	0.0044026710842288	0.0304120422711766	-0.00173333333333348;0.00173333333333333
qua	chr2L_-_17488378_17488400_17488455	chr2L	-	17488455	17488378;17488400	0.000201227606596545	0.00234696127003788	0.0115333333333333;-0.0115333333333334
CG31245	chr3R_-_19376726_19376758_19376823	chr3R	-	19376823	19376726;19376758	2.21517971612824e-06	4.47079359546949e-05	-0.00246666666666667;0.00246666666666673
CG15025	chr3R_-_19490413_19490440_19490572	chr3R	-	19490572	19490413;19490440	0.0259984183623967	0.119582853600156	0.00223333333333333;-0.00223333333333342
NONE	chr3R_-_19509373_19514182_19522032_19522165	chr3R	-	19522165	19509373;19514182;19522032	7.96172470106217e-05	0.0010637877631467	0.780466666666667;-0.121566666666667;-0.658933333333333
CG46441	chr3R_-_20500567_20501583_20501637	chr3R	-	20501637	20500567;20501583	0.00879677154145342	0.0525735789928839	-0.00413333333333333;0.00413333333333343
CG31191	chr3R_-_20930945_20948775_20951578	chr3R	-	20951578	20930945;20948775	8.39731116590933e-09	2.63919602059286e-07	-0.767866666666667;0.767866666666667
CG16791	chr3R_-_21343036_21343048_21348394	chr3R	-	21348394	21343036;21343048	0.000120594123974461	0.00151695459530906	0.299833333333333;-0.299833333333333
CG15498	chr3R_-_21568850_21568881_21568970	chr3R	-	21568970	21568850;21568881	0.000348918625289962	0.00374517650914828	-0.0322000000000002;0.0322
CG17819	chr3R_-_21884842_21884845_21884901	chr3R	-	21884901	21884842;21884845	0.00759786253708897	0.0469456850288672	-0.00336666666666667;0.00336666666666674
Cchl	chr3R_-_22027039_22027042_22027066_22027158	chr3R	-	22027158	22027039;22027042;22027066	0.000465323107989822	0.00478360632789161	-0.0051;-0.00123333333333333;0.00636666666666685
lncRNA:CR45224	chr3R_-_22189994_22192298_22195479_22201059_22203711_22209148	chr3R	-	22209148	22189994;22192298;22195479;22201059;22203711	3.27611929470074e-08	9.27550372899383e-07	-0.111333333333333;-0.0583666666666667;-0.00419999999999993;-0.0352;0.209133333333333
lncRNA:CR44398	chr2L_-_17946078_17948847_17951054_17951093_17951619	chr2L	-	17951619	17946078;17948847;17951054;17951093	1.84990481968474e-05	0.000298892694973258	-0.0127;0.125266666666667;0.0428333333333333;-0.1554
CG4704	chr3R_-_22845162_22845184_22845223	chr3R	-	22845223	22845162;22845184	0.0199608171754756	0.0985159427689993	-0.0494333333333333;0.0494333333333333
hh	chr3R_-_23129411_23132920_23133000	chr3R	-	23133000	23129411;23132920	0.00678630714972669	0.0430067236466008	-0.0622666666666668;0.0622666666666667
CG10164	chr3R_-_23555461_23555475_23555540	chr3R	-	23555540	23555461;23555475	0.0309234736865048	0.135443844896349	0.0519333333333333;-0.0519333333333333
CG10254	chr3R_-_23692780_23692812_23692887	chr3R	-	23692887	23692780;23692812	9.52612761579405e-07	2.07798969156613e-05	-0.00763333333333333;0.00763333333333327
CG10254	chr3R_-_23694525_23694537_23694684_23694951	chr3R	-	23694951	23694525;23694537;23694684	2.58399011091959e-06	5.14563263222522e-05	0.106566666666667;-0.0996333333333333;-0.00693333333333332
CG33111	chr3R_-_23808029_23817030_23818225	chr3R	-	23818225	23808029;23817030	0.00208379752591013	0.0167373389424847	-0.0136;0.0135999999999998
tbrd-1	chr3R_-_23893275_23893289_23893349	chr3R	-	23893349	23893275;23893289	5.76709517004631e-05	0.000808387433600141	-0.009;0.0089999999999999
RpS19b	chr3R_-_23933019_23933022_23933088	chr3R	-	23933088	23933019;23933022	0.0136181389468018	0.0735532927595	-0.00156666666666661;0.00156666666666667
CG5515	chr3R_-_24188757_24188791_24188831	chr3R	-	24188831	24188757;24188791	0.0079713612003886	0.0486868430190306	0.143466666666667;-0.143466666666667
jar	chr3R_-_24259249_24261469_24270897	chr3R	-	24270897	24259249;24261469	2.74058288427618e-05	0.000424952413875902	-0.00356666666666661;0.00356666666666667
Syx18	chr3R_-_24625488_24625608_24625739	chr3R	-	24625739	24625488;24625608	0.0480355241163419	0.184032091171154	-0.349433333333333;0.349433333333333
CG34027	chr3R_-_25107490_25108288_25108342	chr3R	-	25108342	25107490;25108288	2.10532789253235e-05	0.00033610429707796	-0.0471;0.0470999999999999
CG31510	chr3R_-_25116154_25116157_25121146_25122559	chr3R	-	25122559	25116154;25116157;25121146	1.34661616948337e-18	1.21159620929665e-16	-0.000100000000000001;0.1343;-0.1342
Npl4	chr3R_-_25611937_25621779_25621878	chr3R	-	25621878	25611937;25621779	0.00921096009868369	0.0543961470582404	0.00220000000000009;-0.0022
CG17196	chr3R_-_25776019_25776035_25776109	chr3R	-	25776109	25776019;25776035	0.0134232722023204	0.0727822779835639	0.0683666666666666;-0.0683666666666667
CG14546	chr3R_-_25921900_25921937_25921997	chr3R	-	25921997	25921900;25921937	3.91609542077803e-11	1.71722789028124e-09	0.0104666666666666;-0.0104666666666667
NONE	chr3R_-_26349898_26354059_26354112	chr3R	-	26354112	26349898;26354059	8.87730297727332e-08	2.33437093967669e-06	-0.688866666666667;0.688866666666667
Nep5	chr3R_-_27058911_27059015_27059069	chr3R	-	27059069	27058911;27059015	5.51498946784123e-09	1.77168489763683e-07	0.341866666666667;-0.341866666666667
Nep5	chr3R_-_27061558_27063218_27063223_27063278	chr3R	-	27063278	27061558;27063218;27063223	0.00181109228677963	0.0149624989405278	-0.107133333333333;0.029;0.0781333333333333
spz	chr3R_-_27066453_27066480_27066606	chr3R	-	27066606	27066453;27066480	0.0414465610152434	0.166213437200139	-0.113966666666667;0.113966666666667
asRNA:CR43476	chr3R_-_27369594_27369625_27369680_27369789	chr3R	-	27369789	27369594;27369625;27369680	0.0285292737251159	0.127860267432341	-0.113566666666667;-0.0504333333333333;0.163966666666667
Trc8	chr3R_-_29500498_29500513_29500717	chr3R	-	29500717	29500498;29500513	7.83051088590543e-13	4.20250501103969e-11	-0.124633333333333;0.124633333333333
Atg16	chr3R_-_29826775_29828526_29831688	chr3R	-	29831688	29826775;29828526	0.00056876066828242	0.00567532682372335	-0.0111666666666667;0.0111666666666667
Atg16	chr3R_-_29832118_29832348_29832372_29832609_29833191	chr3R	-	29833191	29832118;29832348;29832372;29832609	2.73893765996897e-07	6.60232998927078e-06	-0.00956666666666667;0.0854666666666667;-0.0714;-0.00443333333333333
CG7903	chr3R_-_29994733_29994739_29994791	chr3R	-	29994791	29994733;29994739	0.0196983570989948	0.0974691641682603	-0.0254666666666667;0.0254666666666667
Fer1HCH	chr3R_-_30387550_30387602_30387642_30387773	chr3R	-	30387773	30387550;30387602;30387642	0.00397623753312955	0.0279992848148389	-0.0817333333333333;0.0949666666666666;-0.0132333333333333
ham	chr2L_-_18771397_18774947_18776147	chr2L	-	18776147	18771397;18774947	0.000333526847349589	0.00360587314045522	-0.0524333333333333;0.0524333333333333
CG12069	chr3R_-_30694678_30694699_30694745	chr3R	-	30694745	30694678;30694699	1.37987944821561e-06	2.90993875514456e-05	0.00673333333333348;-0.00673333333333333
Pka-C2	chr3R_-_30695859_30695864_30695925	chr3R	-	30695925	30695859;30695864	0.00061262240664155	0.00604593527637813	-0.0355333333333333;0.0355333333333334
Pka-C2	chr3R_-_30696424_30696461_30696503	chr3R	-	30696503	30696424;30696461	0.00587679878349579	0.038399359110066	-0.0043333333333333;0.00433333333333333
Skp2	chr3R_-_4337295_4337342_4337546	chr3R	-	4337546	4337295;4337342	0.0253730273421156	0.117584151235096	0.0788666666666667;-0.0788666666666668
CG9855	chr3R_-_4396234_4396262_4396327	chr3R	-	4396327	4396234;4396262	0.00458104395695778	0.0313642592815651	0.1289;-0.1289
CG32944	chr3R_-_4414815_4415562_4415681	chr3R	-	4415681	4414815;4415562	1.87788445357559e-05	0.000302880178714912	-0.4749;0.4749
tacc	chr3R_-_4744182_4744395_4744462	chr3R	-	4744462	4744182;4744395	6.59527427296496e-05	0.000906864329130013	-0.0174000000000001;0.0174
laf	chr3R_-_4876844_4876871_4876932	chr3R	-	4876932	4876844;4876871	0.00429196778533405	0.0298269474791914	-0.1229;0.1229
mtd	chr3R_-_5336635_5346286_5349466	chr3R	-	5349466	5336635;5346286	0.00580428609896465	0.0380366360587155	-0.348066666666667;0.348066666666667
Prosbeta7	chr3R_-_5358055_5358092_5358125_5358237	chr3R	-	5358237	5358055;5358092;5358125	0.0380864935127343	0.156389544886645	-0.0806333333333334;0.0179333333333333;0.0626666666666666
Ttc19	chr2L_-_19044896_19044935_19045405_19045508	chr2L	-	19045508	19044896;19044935;19045405	0.00297819297577566	0.0223272371288137	0.209233333333333;0.1914;-0.400633333333333
lncRNA:CR45375	chr2L_-_10441995_10442002_10442059	chr2L	-	10442059	10441995;10442002	0.0475473433761148	0.182648255448772	-0.135;0.135
Nmdar1	chr3R_-_5514648_5515956_5516016	chr3R	-	5516016	5514648;5515956	0.0349353380035591	0.147533595101672	-0.174633333333333;0.174633333333333
side-III	chr3R_-_5892989_5903626_5903644_5903714	chr3R	-	5903714	5892989;5903626;5903644	0.00454169001564519	0.0311612419411581	-0.376366666666667;0.0790333333333333;0.297333333333333
CG42724	chr3R_-_6365154_6365815_6365952	chr3R	-	6365952	6365154;6365815	1.46105211113359e-06	3.06129969573819e-05	-0.0502999999999999;0.0503
dpr11	chr3R_-_6532844_6534691_6534783	chr3R	-	6534783	6532844;6534691	0.0221834872974211	0.106640777718858	-0.174566666666667;0.174566666666667
glob2	chr3R_-_6608206_6608275_6608332	chr3R	-	6608332	6608206;6608275	0.00738075688912081	0.0459000196818983	-0.00326666666666653;0.00326666666666667
glob2	chr3R_-_6608502_6608529_6608541_6608592	chr3R	-	6608592	6608502;6608529;6608541	0.00765293744391414	0.0472058103900544	-0.000366666666666668;0.0041;-0.00370000000000004
lncRNA:CR45593	chr3R_-_6761879_6763116_6763178	chr3R	-	6763178	6761879;6763116	6.53442654115306e-18	5.51613791629716e-16	-0.4945;0.4945
CG46059	chr2L_-_19183440_19183452_19183461_19183510	chr2L	-	19183510	19183440;19183452;19183461	0.000508928689790357	0.00515842347125628	0.00386666666666667;0.0133333333333333;-0.0171666666666667
CG1288	chr3R_-_7205034_7205037_7205878_7207708_7207762	chr3R	-	7207762	7205034;7205037;7205878;7207708	2.46746792180488e-18	2.15078163859793e-16	-0.000866666666666667;-0.0009;-0.000433333333333333;0.00220000000000009
CG14605	chr3R_-_7218749_7218915_7218937_7218942_7218989	chr3R	-	7218989	7218749;7218915;7218937;7218942	0.0264654836361507	0.121086043320985	0.00156666666666667;-0.0112666666666666;0.0081;0.00163333333333333
MstProx	chr3R_-_7369280_7374730_7374788	chr3R	-	7374788	7369280;7374730	0.00449308136878339	0.0309010528427447	-0.395033333333333;0.395033333333333
lncRNA:CR44934	chr3R_-_7460700_7468456_7468545	chr3R	-	7468545	7460700;7468456	8.22331794566635e-05	0.00109464187349265	-0.458333333333333;0.458333333333333
alpha-Est3	chr3R_-_7539493_7539501_7539561	chr3R	-	7539561	7539493;7539501	0.00580157109596169	0.0380227227887854	0.00436666666666667;-0.00436666666666674
Nlg3	chr3R_-_7573986_7574203_7574276	chr3R	-	7574276	7573986;7574203	6.46673450537749e-06	0.000116171557986565	-0.0906333333333333;0.0906333333333333
NONE	chr3R_-_7755084_7773971_7775252	chr3R	-	7775252	7755084;7773971	6.69312676535878e-06	0.000119903278453266	-0.533166666666667;0.533166666666667
CG45263	chr3R_-_8402875_8414238_8443391	chr3R	-	8443391	8402875;8414238	0.0149971766089165	0.0792558096852093	-0.0065333333333335;0.00653333333333333
neur	chr3R_-_9022041_9022044_9022102	chr3R	-	9022102	9022041;9022044	0.0475483714583682	0.182648255448772	0.088;-0.088
lncRNA:CR45203	chr3R_-_9478697_9483689_9483708_9483796	chr3R	-	9483796	9478697;9483689;9483708	0.000416380210349644	0.00435646271874128	-0.0380333333333333;-0.0175666666666667;0.0556333333333333
CG9393	chr3R_-_9562001_9562111_9562173	chr3R	-	9562173	9562001;9562111	2.52300701799344e-10	9.94652626044854e-09	0.122233333333333;-0.122233333333333
asRNA:CR45053	chr3R_-_9631049_9631930_9632067	chr3R	-	9632067	9631049;9631930	7.72775958754609e-05	0.00103727330477131	-0.4697;0.4697
PlexA	chr4_-_1015301_1015352_1015423	chr4	-	1015423	1015301;1015352	6.69728364640482e-05	0.000918508319837094	0.0381333333333333;-0.0381333333333331
PlexA	chr4_-_1015620_1020015_1022240	chr4	-	1022240	1015620;1020015	0.0217900509177182	0.105272968414314	0.0152;-0.0152000000000002
erm	chr2L_-_1952879_1969896_1969951	chr2L	-	1969951	1952879;1969896	0.00742579682152115	0.0461220742155409	-0.5463;0.5463
CG31999	chr4_-_220437_220469_222539	chr4	-	222539	220437;220469	0.00881360457325234	0.052620331913597	0.2074;-0.2074
unc-13	chr4_-_873926_874467_875201	chr4	-	875201	873926;874467	4.96809103426804e-06	9.2455137929436e-05	-0.0887;0.0887
unc-13	chr4_-_883641_885687_885758	chr4	-	885758	883641;885687	0.00109111796999793	0.00987385681231682	-0.0691999999999999;0.0692
4E-T	chr4_-_954226_954367_954400_954487	chr4	-	954487	954226;954367;954400	0.000160601438257311	0.00193459534878829	-0.0175000000000001;0.02;-0.00243333333333333
CG43347	chrX_-_10608785_10608839_10610325	chrX	-	10610325	10608785;10608839	4.21521299320325e-05	0.000619939326685829	-0.137666666666667;0.137666666666667
CG1637	chrX_-_10872039_10873708_10875996_10877363_10877413	chrX	-	10877413	10872039;10873708;10875996;10877363	5.01217084166626e-10	1.87528751915831e-08	0.0191666666666667;-0.1435;0.112233333333333;0.0120666666666667
CG42339	chrX_-_10983891_11036208_11037473	chrX	-	11037473	10983891;11036208	1.08205823544418e-10	4.49919113936371e-09	-0.5048;0.5048
Evi5	chrX_-_11420326_11433417_11435381	chrX	-	11435381	11420326;11433417	0.000221731550804786	0.00254999222256538	-0.00823333333333333;0.0082333333333332
eIF4E7	chrX_-_1160132_1160185_1162284	chrX	-	1162284	1160132;1160185	0.0347072104216083	0.14690821010045	0.0088666666666668;-0.00886666666666666
lncRNA:CR32661	chrX_-_11912471_11917979_11918035	chrX	-	11918035	11912471;11917979	1.8899334440562e-14	1.18565639042592e-12	-0.00176666666666667;0.00176666666666669
lncRNA:CR32660	chrX_-_11919452_11920337_11920408	chrX	-	11920408	11919452;11920337	1.20948534982072e-05	0.000204847214231039	0.0989666666666667;-0.0989666666666666
Usp7	chrX_-_12025045_12025057_12025112	chrX	-	12025112	12025045;12025057	0.0266873257351159	0.121742628060124	0.0356000000000001;-0.0356000000000001
CG15734	chrX_-_12075666_12086762_12086829	chrX	-	12086829	12075666;12086762	3.51490946309026e-13	1.9583807356321e-11	-0.0166333333333333;0.0166333333333334
hep	chrX_-_13081043_13081118_13081511	chrX	-	13081511	13081043;13081118	0.00576495837862689	0.0378213532681138	0.273166666666667;-0.273166666666667
CG9095	chrX_-_15148281_15148915_15148968	chrX	-	15148968	15148281;15148915	0.000520195401349157	0.00525851656617958	-0.424366666666667;0.424366666666667
CG32588	chrX_-_15206302_15206318_15206392	chrX	-	15206392	15206302;15206318	0.0471842289500283	0.181658998680257	-0.0131;0.0131
NONE	chr2L_-_2009607_2016497_2021978_2023991_2023995_2024063	chr2L	-	2024063	2009607;2016497;2021978;2023991;2023995	0.000996220535207323	0.00914260048603623	-0.176966666666667;0.0667333333333333;0.0322;-0.0294000000000001;0.1074
Ranbp16	chrX_-_15927836_15928930_15929258_15929266_15929339	chrX	-	15929339	15927836;15928930;15929258;15929266	0.000688877319128193	0.00668592957517967	-0.00123333333333333;0.0245666666666667;-0.0298666666666667;0.00646666666666668
disco-r	chrX_-_16123310_16128569_16128892	chrX	-	16128892	16123310;16128569	3.4426764434199e-06	6.67353582986535e-05	-0.503333333333333;0.503333333333333
Rok	chrX_-_16630562_16632299_16632443	chrX	-	16632443	16630562;16632299	0.00158727631826557	0.0134469494872344	0.0421666666666668;-0.0421666666666667
NONE	chr2L_-_20347159_20347690_20347779	chr2L	-	20347779	20347159;20347690	1.22135809993882e-21	1.44330508089033e-19	-0.9109;0.9109
CG45002	chrX_-_16994054_16997811_16999091	chrX	-	16999091	16994054;16997811	0.00194870648407144	0.0158745692674656	-0.4925;0.4925
p-cup	chrX_-_17448319_17448344_17448351_17448403	chrX	-	17448403	17448319;17448344;17448351	0.0181676059274129	0.09180407239699	-0.0433333333333332;0.0241;0.0193
wupA	chrX_-_18109570_18110604_18112662_18113256	chrX	-	18113256	18109570;18110604;18112662	7.88106194379919e-05	0.0010545455120425	-0.0385;-0.0327666666666667;0.0713333333333332
CG6659	chrX_-_18653180_18653858_18653929	chrX	-	18653929	18653180;18653858	0.0248800630435631	0.115935349745475	-0.110066666666667;0.110066666666667
Actn	chrX_-_2028750_2029926_2030213	chrX	-	2030213	2028750;2029926	0.00826506221421298	0.050132741167336	-0.158933333333333;0.158933333333333
shakB	chrX_-_20776248_20780933_20781001	chrX	-	20781001	20776248;20780933	0.0160582377533583	0.08357074299364	-0.366466666666667;0.366466666666667
CG11227	chrX_-_20870674_20929295_20932759_20932774_20932855	chrX	-	20932855	20870674;20929295;20932759;20932774	6.05345810968008e-05	0.000842643992251263	-0.0251666666666667;-0.0538666666666667;-0.0381666666666667;0.1172
DIP-beta	chrX_-_21424983_21425067_21425127	chrX	-	21425127	21424983;21425067	0.0372812198119712	0.154256269608453	0.0626333333333333;-0.0626333333333333
CG33322	chr2L_-_20815310_20815326_20815414	chr2L	-	20815414	20815310;20815326	0.00352856348191834	0.0255109643248669	0.0113666666666667;-0.0113666666666667
lncRNA:CR45482	chrX_-_4046710_4048428_4048472_4048689	chrX	-	4048689	4046710;4048428;4048472	0.000157113380018874	0.00189934524760867	0.294733333333333;-0.191933333333333;-0.102766666666667
CG12184	chrX_-_4627741_4627759_4627821	chrX	-	4627821	4627741;4627759	0.00243180060596065	0.0189877886029444	-0.0684666666666667;0.0684666666666667
CG11700	chrX_-_6280887_6283269_6283276_6283280_6283456	chrX	-	6283456	6280887;6283269;6283276;6283280	0.0140100767241085	0.0751897526176654	-0.0143666666666667;-0.0237666666666667;0.0459999999999999;-0.00783333333333336
CG44153	chr2L_-_10098010_10114962_10125999	chr2L	-	10125999	10098010;10114962	0.00600260875960703	0.0390592093323344	-0.5008;0.5008
