Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
CG14880	chr3R_-_16365674_16367414	chr3R	-	16365674	16367414	0.00109633689925714	0.009911311391103	-0.163162431903838
CLIP-190	chr2L_+_17401581_17402373	chr2L	+	17401581	17402373	0.000298662417212452	0.00328984436628003	-0.0392048893312468
wrd	chr3R_+_18171703_18172161	chr3R	+	18171703	18172161	5.56156005755007e-09	1.78550814421326e-07	-0.376044402111772
GluClalpha	chr3R_+_19753860_19754252	chr3R	+	19753860	19754252	0.0173341409740322	0.0885848814647743	-0.247671378274826
CG4538	chr3R_-_19899327_19899598	chr3R	-	19899327	19899598	0.00676488684101783	0.0429090734156622	-0.00940584388537991
DPCoAC	chr3R_-_20553313_20553568	chr3R	-	20553313	20553568	1.06837126542748e-12	5.62567528379728e-11	0.0668894012105308
CG31195	chr3R_-_20759099_20759373	chr3R	-	20759099	20759373	0.0112050122896142	0.063308812180924	-0.0863541845056976
Syp	chr3R_+_20792555_20793714	chr3R	+	20792555	20793714	0.00951248170767107	0.0557615966221824	-0.0105731850626756
Syp	chr3R_+_20795274_20797142	chr3R	+	20795274	20797142	0.0012839579069322	0.0112650559818672	-0.14117194925722
Syp	chr3R_+_20798409_20800015	chr3R	+	20798409	20800015	0.0028263355358512	0.021380902161872	-0.00913624037102863
Syp	chr3R_+_20800300_20802288	chr3R	+	20800300	20802288	7.15893386910862e-28	1.23961474578277e-25	-0.31764319222371
CG17271	chr3R_-_20820798_20821144	chr3R	-	20820798	20821144	5.46324710922167e-05	0.00077339016646873	-0.105585036227718
CG5674	chr2L_+_17966431_17969370	chr2L	+	17966431	17969370	0.00019627050548837	0.0022973651909713	-0.226237975907463
Nha2	chr3R_-_22983167_22983877	chr3R	-	22983167	22983877	0.00032834604290072	0.00356022644101226	-0.533598585322723
CG33111	chr3R_-_23817030_23818225	chr3R	-	23817030	23818225	0.00232432444786364	0.01829088129717	-0.0293823637588359
NONE	chr3R_+_24030956_24032001	chr3R	+	24030956	24032001	0.00147740755068813	0.0126648169820865	-0.0664501298356316
KrT95D	chr3R_-_24031031_24031710	chr3R	-	24031031	24031710	0.00351472528987336	0.0254210163641921	-0.0487567241938538
CG13606	chr3R_+_24172732_24173052	chr3R	+	24172732	24173052	1.05650195360253e-06	2.27601415162241e-05	0.35087458418581
Saf-B	chr3R_+_24818849_24819727	chr3R	+	24818849	24819727	0.0027025426584857	0.0206119010950706	-0.0983815172127794
Saf-B	chr3R_+_24820767_24821095	chr3R	+	24820767	24821095	0.0434606968706704	0.171601636611477	-0.0764825178628156
NONE	chr2L_-_18337008_18337664	chr2L	-	18337008	18337664	9.96721652402084e-05	0.00128414747196172	-0.175106180369338
CG5028	chr3R_+_25682655_25683056	chr3R	+	25682655	25683056	0.00341313402467519	0.0248734250233137	-0.105043597223665
scrib	chr3R_+_26536601_26537369	chr3R	+	26536601	26537369	3.34394239591827e-06	6.49586342474101e-05	0.191029308059468
Men-b	chr3R_+_27156305_27157142	chr3R	+	27156305	27157142	3.2544831374525e-06	6.33933448250715e-05	-0.0566541331154778
woc	chr3R_-_27263451_27263733	chr3R	-	27263451	27263733	0.00400602700930733	0.0281725946080204	-0.192517515471766
tau	chr3R_-_27645410_27646039	chr3R	-	27645410	27646039	0.00092600236357758	0.00860016160742913	-0.147496503557633
Hrb98DE	chr3R_+_28603318_28603606	chr3R	+	28603318	28603606	0.00052540746728711	0.00530452634071841	-0.0256600154559528
Hrb98DE	chr3R_+_28603698_28604059	chr3R	+	28603698	28604059	2.2327333607276e-13	1.26039563995169e-11	-0.0351850099559352
Tace	chr3R_+_30001706_30002149	chr3R	+	30001706	30002149	0.00295816695528364	0.0221928312315109	0.197165922852527
Fer2LCH	chr3R_+_30387921_30388578	chr3R	+	30387921	30388578	2.60969039679691e-05	0.000408024731449665	-0.107386040950625
CG11550	chr3R_-_31678845_31679331	chr3R	-	31678845	31679331	0.000824481967082826	0.00779937358965805	-0.286207075422762
cpx	chr3R_+_4295286_4295566	chr3R	+	4295286	4295566	0.00263136084004856	0.0201936747969848	-0.128594359325742
cpx	chr3R_+_4295700_4296298	chr3R	+	4295700	4296298	1.79468073483582e-19	1.76018450513874e-17	-0.606471970697353
cpx	chr3R_+_4298585_4299788	chr3R	+	4298585	4299788	9.29347176877176e-05	0.00120903588476644	-0.271699001263444
srl	chr3R_-_4428623_4428973	chr3R	-	4428623	4428973	0.00105577970132633	0.00959597393787562	-0.269578890820245
Nep2	chr3R_-_4724301_4731544	chr3R	-	4724301	4731544	7.86264653240426e-05	0.00105251984973574	-0.0989607905450962
NONE	chr3R_+_5231605_5231942	chr3R	+	5231605	5231942	0.000537836269411159	0.00541129832157279	-0.10448005063484
kkv	chr3R_-_5389898_5390605	chr3R	-	5389898	5390605	5.93826429887115e-29	1.1154387041631e-26	-0.650451681928443
mia	chr3R_-_5550492_5551074	chr3R	-	5550492	5551074	0.00936555040875738	0.0551367598798555	0.0475607134396044
Spec2	chr3R_-_5618872_5619235	chr3R	-	5618872	5619235	0.000459985774268328	0.00473556828922623	-0.171005407284215
CG1208	chr3R_+_5836169_5836855	chr3R	+	5836169	5836855	2.36661637021896e-05	0.000373363954418557	0.40595935697211
CG42724	chr3R_-_6363230_6364160	chr3R	-	6363230	6364160	1.23617369203767e-10	5.09711387356815e-09	0.233627395580041
lap	chr3R_+_7193688_7194196	chr3R	+	7193688	7194196	4.72722258917367e-05	0.000685248478584968	0.177290508938815
Nlg1	chr3R_+_7673083_7673729	chr3R	+	7673083	7673729	0.0230427176812545	0.109602193585182	-0.182463053338233
CG2641	chr3R_+_7794320_7794868	chr3R	+	7794320	7794868	0.0055632147358349	0.0366851239832447	-0.363293808514397
CG2767	chr3R_-_8007512_8007894	chr3R	-	8007512	8007894	0.00629878055797917	0.0405410241283579	-0.0640501762739479
NONE	chr3R_+_8546376_8546641	chr3R	+	8546376	8546641	5.45323507776457e-06	0.00010017765931675	0.320253884632745
CG8369	chr3R_+_8822125_8822467	chr3R	+	8822125	8822467	0.0255718831361794	0.118260985137953	-0.0911011560978698
CG8420	chr3R_+_9246950_9247243	chr3R	+	9246950	9247243	4.6823352359902e-08	1.2893180364134e-06	-0.134090896455008
CG45050	chr3R_+_9355083_9355347	chr3R	+	9355083	9355347	0.000122625442241978	0.00153618974942803	-0.155084850737025
ps	chr3R_+_9441665_9444009	chr3R	+	9441665	9444009	3.32041819504359e-06	6.45602255653133e-05	-0.385707936566993
CG10165	chr2L_-_19528369_19528769	chr2L	-	19528369	19528769	0.00696739626666487	0.0438558204553026	0.352168883747831
Cadps	chr4_+_1240779_1241728	chr4	+	1240779	1241728	0.000138790733032239	0.00170740242832709	-0.302038552300281
CaMKI	chr4_+_449968_450240	chr4	+	449968	450240	0.00549258595966049	0.036302012833457	-0.145978389281641
unc-13	chr4_-_874467_875201	chr4	-	874467	875201	0.000461166791318634	0.00474468543259135	-0.169534719698118
CG2247	chrX_-_11609713_11610200	chrX	-	11609713	11610200	0.00772163754803845	0.0475362652273954	0.0867509519214281
CG2247	chrX_-_11610834_11611200	chrX	-	11610834	11611200	0.00202933888637734	0.016388027580109	-0.181681059333844
PhKgamma	chrX_+_11698597_11699321	chrX	+	11698597	11699321	0.00508886102661329	0.0341852474339292	-0.22259172215694
sno	chrX_-_13200904_13201742	chrX	-	13200904	13201742	1.7775179385884e-08	5.26947530654625e-07	0.0307462890157075
CG33543	chr2L_-_2000591_2000932	chr2L	-	2000591	2000932	0.0228982178213281	0.10906023213671	0.0456619011293998
prage	chrX_+_1852821_1853440	chrX	+	1852821	1853440	8.37888932567143e-05	0.00111120608829574	-0.366419179630859
COX6B	chrX_-_19743706_19744260	chrX	-	19743706	19744260	0.0250676382724022	0.116575224428651	-0.1663587330254
Actn	chrX_-_2028027_2028663	chrX	-	2028027	2028663	0.0167954909460716	0.0863978707982965	0.158462206598934
CG34136	chr2L_+_21097278_21098582	chr2L	+	21097278	21098582	3.01310324460038e-05	0.000461748009390202	-0.27709235423776
BCL7-like	chrX_+_9357265_9357561	chrX	+	9357265	9357561	2.85931124313604e-11	1.2738211759383e-09	0.430064232871626
PRY	chrY_-_188766_190141	chrY	-	188766	190141	0.0163850819387476	0.0847703993579033	-0.148455194043429
PRY	chrY_-_190858_191209	chrY	-	190858	191209	5.50692253705258e-05	0.000778372300776226	-0.250135530041444
CG8677	chr2L_+_21230194_21230607	chr2L	+	21230194	21230607	0.00426565752100457	0.0296697818110497	0.0662211483852006
FDY	chrY_+_3023035_3023505	chrY	+	3023035	3023505	8.46182164745086e-05	0.00111989263381519	-0.0484928561209771
Mondo	chr2L_-_21309091_21309697	chr2L	-	21309091	21309697	0.0360590800109557	0.150762860981699	0.0391829651986232
CG2225	chr2L_-_21669913_21670447	chr2L	-	21669913	21670447	1.31556763586479e-05	0.000220086928373933	-0.252510091455772
GramD1B	chr2L_-_3360170_3360806	chr2L	-	3360170	3360806	1.82145062296518e-10	7.32239108072003e-09	-0.184879663566377
CG12194	chr2L_+_4838530_4838990	chr2L	+	4838530	4838990	0.00303620166382875	0.0226748001727532	-0.206222802994393
qtc	chr2L_+_5068394_5069125	chr2L	+	5068394	5069125	0.00122651188616789	0.0108484579484113	-0.162107472265436
RpL37A	chr2L_+_5071355_5071607	chr2L	+	5071355	5071607	8.30649726692889e-10	2.99785219620662e-08	0.0757325472824957
Msp300	chr2L_+_5158631_5164718	chr2L	+	5158631	5164718	0.00174921627394718	0.014540812972909	0.0102413218055537
Msp300	chr2L_+_5165399_5165745	chr2L	+	5165399	5165745	4.87147084808743e-11	2.11166099022932e-09	0.0726703769702229
Msp300	chr2L_+_5166440_5167348	chr2L	+	5166440	5167348	0.00456512173193159	0.0312785820372245	0.0477585302877999
NONE	chr2L_-_5171943_5172245	chr2L	-	5171943	5172245	0.00167252860082062	0.0140230926592521	0.0610660179168394
Msp300	chr2L_+_5185964_5187605	chr2L	+	5185964	5187605	0.00577142024516161	0.0378560146997577	-0.122933778663761
DIP-theta	chr2L_-_5633077_5634652	chr2L	-	5633077	5634652	1.94562651292125e-07	4.80172849852377e-06	0.279823935333949
DIP-theta	chr2L_-_5634788_5635654	chr2L	-	5634788	5635654	0.000149793281361238	0.0018201002814313	0.225919295675987
DIP-theta	chr2L_-_5635784_5636732	chr2L	-	5635784	5636732	3.20472961108314e-05	0.000486817297104734	0.275354127306589
DIP-theta	chr2L_-_5636892_5640285	chr2L	-	5636892	5640285	3.00845279769894e-06	5.91570297450191e-05	0.36448999589076
DIP-theta	chr2L_-_5645530_5651608	chr2L	-	5645530	5651608	1.66875306639749e-07	4.17942946348698e-06	0.254828642130318
Hsp60C	chr2L_+_5662986_5668747	chr2L	+	5662986	5668747	6.56552682890751e-10	2.41844041866885e-08	0.451051008943481
CG31639	chr2L_-_6154345_6154642	chr2L	-	6154345	6154642	1.92783781654651e-08	5.67321251364013e-07	-0.332164664442942
CG31635	chr2L_-_6637024_6637432	chr2L	-	6637024	6637432	0.000558337205265115	0.00558867877897106	-0.178725200759322
CG31635	chr2L_-_6637490_6637976	chr2L	-	6637490	6637976	0.000205008970078613	0.00238457020583382	-0.192284097960517
nrv2	chr2L_-_6797432_6797753	chr2L	-	6797432	6797753	3.11987783363503e-07	7.45377080560979e-06	-0.180922695987259
NONE	chr2L_-_7049998_7050773	chr2L	-	7049998	7050773	1.84938730700123e-05	0.000298884251544819	-0.298073908590549
CG13784	chr2L_-_7219130_7219518	chr2L	-	7219130	7219518	0.00405686692036068	0.0284671969230901	-0.0588783626224889
NONE	chr2L_-_8085438_8087179	chr2L	-	8085438	8087179	1.91275231110325e-05	0.000307962709818507	-0.266395780108275
Akap200	chr2L_+_8428067_8428318	chr2L	+	8428067	8428318	9.06771558150492e-07	1.98270631950803e-05	-0.0877854447636893
CG34159	chr2L_-_10203032_10203382	chr2L	-	10203032	10203382	4.74558102373396e-06	8.86223460888644e-05	0.186338054952853
CG31712	chr2L_-_9935569_9937236	chr2L	-	9935569	9937236	7.67041530968097e-08	2.04123922911854e-06	0.227178254705397
E(Pc)	chr2R_+_11452885_11453391	chr2R	+	11452885	11453391	0.00170526845220005	0.0142436810086833	0.227440439824124
MCPH1	chr2R_-_11896814_11897107	chr2R	-	11896814	11897107	1.23925947122803e-08	3.77483488341203e-07	0.0327716598164659
CG4896	chr2L_+_1179196_1179450	chr2L	+	1179196	1179450	0.00468338519966149	0.031915217113196	-0.110547010667055
Pde1c	chr2L_-_11828371_11828734	chr2L	-	11828371	11828734	1.2101540448428e-05	0.000204852453214088	0.281685692123249
GLS	chr2R_-_12673339_12673609	chr2R	-	12673339	12673609	0.00710221515179466	0.0444561437753523	-0.222708080677993
CG6701	chr2R_-_13979418_13979928	chr2R	-	13979418	13979928	0.00204764689366068	0.0164944055292358	-0.0845018798659737
CG30069	chr2R_+_14188976_14190019	chr2R	+	14188976	14190019	2.04155128470841e-11	9.28176193071145e-10	-0.239182520871438
NONE	chr2R_-_14189164_14189511	chr2R	-	14189164	14189511	4.45476055798944e-10	1.68142346066862e-08	-0.187087499031233
asRNA:CR44370	chr2R_+_15228465_15229626	chr2R	+	15228465	15229626	7.20181695235714e-05	0.000975647243433942	-0.0363403939256461
Fs	chr2R_-_15228805_15229183	chr2R	-	15228805	15229183	3.26264883062649e-05	0.000493631237702016	-0.0540074531911039
CG17691	chr2R_+_1591088_1593913	chr2R	+	1591088	1593913	0.00631133451718229	0.0406055524004314	-0.174687693488493
Mlf	chr2R_-_15936583_15937019	chr2R	-	15936583	15937019	0.000329614219753227	0.00357018160363633	-0.134823523331099
Dek	chr2R_+_16857052_16857631	chr2R	+	16857052	16857631	2.62743998516622e-06	5.22244344328785e-05	-0.105529354725781
Psi	chr2R_-_16864103_16864567	chr2R	-	16864103	16864567	7.2884839331553e-07	1.62238217723434e-05	-0.179811469271693
CG30460	chr2R_-_17068215_17069897	chr2R	-	17068215	17069897	3.80354548545451e-08	1.06514195959496e-06	-0.0470461473516192
veil	chr2R_+_17479382_17479815	chr2R	+	17479382	17479815	5.32535123312067e-05	0.000756202229369816	-0.266462874357611
Patronin	chr2R_-_17523571_17523822	chr2R	-	17523571	17523822	6.97798867794911e-05	0.000950334896459888	-0.26151013219459
Patronin	chr2R_-_17535061_17535375	chr2R	-	17535061	17535375	0.00701783260548464	0.0440912062991627	0.0719693776103731
NONE	chr2R_+_17614519_17614884	chr2R	+	17614519	17614884	0.0186191229743973	0.093537754151236	-0.20711741961742
NONE	chr2R_+_17734951_17735248	chr2R	+	17734951	17735248	2.62781651364643e-09	8.79237295068545e-08	-0.0462801239302243
Hsf	chr2R_-_18134108_18134405	chr2R	-	18134108	18134405	0.0107319181692834	0.0612291837586626	0.0603777606560757
CG15111	chr2R_+_19139349_19139692	chr2R	+	19139349	19139692	9.95566699752552e-11	4.16924383043049e-09	0.185659396090841
Fem-1	chr2R_-_20665068_20665362	chr2R	-	20665068	20665362	0.0258599737266851	0.119181474436902	-0.122726820173057
Synj	chr2R_+_22080538_22081073	chr2R	+	22080538	22081073	0.00130954184127497	0.0114379710979396	0.325943052079984
Vrp1	chr2R_-_22109005_22109585	chr2R	-	22109005	22109585	0.00528224621690808	0.0351897032669763	-0.0730723052021227
ord	chr2R_-_23274014_23274385	chr2R	-	23274014	23274385	0.00127901964380455	0.0112324676606491	0.011546913775806
Adk2	chr2R_+_24024420_24024898	chr2R	+	24024420	24024898	0.000209496892426848	0.00242929419970995	-0.0589738458413887
Gpat4	chr2R_+_24070242_24070766	chr2R	+	24070242	24070766	5.77407149878478e-07	1.31489587789235e-05	0.190897871745857
tamo	chr2R_-_24130437_24130807	chr2R	-	24130437	24130807	0.0359342643878908	0.150397620596944	-0.264973295152323
Phk-3	chr2R_-_24971317_24971773	chr2R	-	24971317	24971773	4.53432172652019e-05	0.000660071067376804	0.205190631894411
emp	chr2R_-_24978818_24979531	chr2R	-	24978818	24979531	0.0171205418600274	0.0876926111967802	0.0102434547995404
NONE	chr2R_+_3487150_3487674	chr2R	+	3487150	3487674	8.80391883973092e-11	3.71110597233041e-09	-0.386450019900633
NONE	chr2R_+_4731912_4732210	chr2R	+	4731912	4732210	0.00156515403108295	0.0132816151419445	-0.174941438521769
sxc	chr2R_+_5318058_5320006	chr2R	+	5318058	5320006	0.00183775799462815	0.0151273516952615	0.357021604938272
Hsepi	chr2R_-_6670334_6670860	chr2R	-	6670334	6670860	0.0189166435515373	0.0946215135400071	0.0847426816132214
Dscam1	chr2R_-_7346166_7347847	chr2R	-	7346166	7347847	0.00301468837328307	0.0225482123399788	-0.201919536127446
Aldh-III	chr2R_-_7475559_7476245	chr2R	-	7475559	7476245	0.00200842203592906	0.0162620418464984	0.178106690203465
Aldh-III	chr2R_-_7475813_7476589	chr2R	-	7475813	7476589	0.00753118797444561	0.0466368851615925	-0.0698586453371357
lig	chr2R_+_8074500_8075410	chr2R	+	8074500	8075410	0.000106708424193524	0.00136242253462435	-0.135880011787067
lig	chr2R_+_8077292_8077729	chr2R	+	8077292	8077729	4.14619389659324e-08	1.1535541018235e-06	-0.222918882684289
kermit	chr2R_-_8148395_8149306	chr2R	-	8148395	8149306	0.00978728403144416	0.0569712043499459	-0.0161978439262424
Acsl	chr2R_+_8676607_8677063	chr2R	+	8676607	8677063	0.0082793091713881	0.0501909444693004	-0.323934837092732
Su(var)2-10	chr2R_+_9119047_9119751	chr2R	+	9119047	9119751	0.00182350679091958	0.015037727824835	-0.213950300766041
Hydr1	chr2R_+_9133347_9133597	chr2R	+	9133347	9133597	5.22642892035902e-11	2.25790867701939e-09	0.194648713283453
CG1513	chr2R_-_9889124_9889605	chr2R	-	9889124	9889605	9.95157699122972e-09	3.0943816916437e-07	0.206087813695176
Pka-R2	chr2R_-_9997220_9997702	chr2R	-	9997220	9997702	9.46840446464112e-05	0.00122880761861214	-0.027702385924184
trio	chr3L_-_1034065_1034496	chr3L	-	1034065	1034496	1.2103513334044e-06	2.57805636635384e-05	-0.133015834438984
JIL-1	chr3L_-_11079762_11080301	chr3L	-	11079762	11080301	3.35934450752188e-05	0.000506709674824402	-0.0554193667491281
bab2	chr3L_-_1142921_1143348	chr3L	-	1142921	1143348	0.001443803568194	0.0124231697059136	-0.202886324625455
yps	chr3L_-_12122154_12122674	chr3L	-	12122154	12122674	8.84203787730455e-06	0.000154311696624809	-0.0503499946302496
lncRNA:CR45166	chr3L_-_1323601_1323913	chr3L	-	1323601	1323913	0.000154992281125346	0.00187652829471793	-0.231648006731558
Frl	chr3L_+_14065158_14065587	chr3L	+	14065158	14065587	0.016707678725764	0.0860789148305244	-0.044704137850326
CG7879	chr3L_-_1564280_1565720	chr3L	-	1564280	1565720	0.00919996176506912	0.0543561798721425	0.262448903753252
CG6664	chr3L_-_17015266_17015671	chr3L	-	17015266	17015671	0.00168387965428452	0.0141016963721669	0.0764806361677883
CycT	chr3L_-_17555530_17556372	chr3L	-	17555530	17556372	3.91056118776636e-05	0.000579111021814888	0.0883907679377088
NONE	chr3L_+_17993467_17993958	chr3L	+	17993467	17993958	3.68394314176901e-10	1.41205364779465e-08	-0.354704860060435
NONE	chr3L_-_18196311_18196571	chr3L	-	18196311	18196571	0.0177523152988881	0.0901879388782817	INF
nes	chr3L_-_19260230_19260531	chr3L	-	19260230	19260531	0.0156403547611774	0.0818847958558051	-0.0388674309983687
CG9449	chr3L_-_19493658_19494336	chr3L	-	19493658	19494336	0.00034909979621588	0.00374649515681663	-0.0667781263927067
CG9449	chr3L_-_19494421_19494818	chr3L	-	19494421	19494818	0.0146525762083945	0.0778316643131694	-0.0411530185384677
wnd	chr3L_-_19626910_19627229	chr3L	-	19626910	19627229	0.0102448169701828	0.0589993085595261	0.178471901051631
wnd	chr3L_-_19634463_19635429	chr3L	-	19634463	19635429	0.0242087639133997	0.113642323899212	-0.164001623376623
Mi-2	chr3L_-_19897413_19898183	chr3L	-	19897413	19898183	8.50233323636652e-06	0.000148909048374433	-0.243965036706666
sls	chr3L_-_2114466_2115398	chr3L	-	2114466	2115398	0.00445442677602843	0.0306640409900174	-0.15852952766329
barc	chr3L_-_21425545_21428359	chr3L	-	21425545	21428359	0.00574507935676012	0.0377294666691501	-0.195948278301219
NONE	chr3L_+_21515862_21516178	chr3L	+	21515862	21516178	0.00482873921568381	0.0327080383756583	-0.142717698694246
Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
CG32450	chr3L_+_22329937_22329994	chr3L	+	22329937	22329994	0.0129850026628856	0.0708484419964697	-0.138935781950897
CG32457	chr3L_+_22987709_22987764	chr3L	+	22987709	22987764	0.012429212445221	0.0685260072685755	0.0440603697833508
E(bx)	chr3L_-_236252_236323	chr3L	-	236252	236323	0.000153398407343725	0.00185828155500061	0.26338067390699
CG18109	chr2L_+_15787476_15787573	chr2L	+	15787476	15787573	0.0466393961266045	0.1801410240205	0.256892230576441
promL	chr3L_-_3119447_3119498	chr3L	-	3119447	3119498	0.044719635864216	0.175119422587815	0.179289792333271
CG10862	chr3L_-_3653692_3653768	chr3L	-	3653692	3653768	1.86439176814087e-05	0.000300930632103361	-0.0645908419829739
Ubi-p63E	chr3L_-_3899887_3900114	chr3L	-	3899887	3900114	5.32513342315173e-05	0.000756202229369816	0.389891219640486
Ubi-p63E	chr3L_-_3900115_3900342	chr3L	-	3900115	3900342	2.03187667714435e-08	5.95482616863277e-07	-0.0160316301962829
Ubi-p63E	chr3L_-_3900571_3900798	chr3L	-	3900571	3900798	1.13656565653598e-08	3.49182756296165e-07	-0.128871228676838
Ubi-p63E	chr3L_-_3900799_3901026	chr3L	-	3900799	3901026	0.0048529316955254	0.0328580507011222	0.0244790574117964
Ubi-p63E	chr3L_-_3901027_3901254	chr3L	-	3901027	3901254	0.00989838799669879	0.0574523259212077	-0.056948186722483
NONE	chr3L_*_3901166_3901393	chr3L	*	3901166	3901393	0.047691587480319	0.183074709968519	-0.142133751388821
Ubi-p63E	chr3L_-_3901255_3901482	chr3L	-	3901255	3901482	2.13556694446244e-25	3.13938114597738e-23	0.102902179509767
Ubi-p63E	chr3L_-_3901483_3901710	chr3L	-	3901483	3901710	2.07188024456343e-08	6.06929588650248e-07	-0.312231408413829
Ubi-p63E	chr3L_-_3902707_3902781	chr3L	-	3902707	3902781	0.0445508864048703	0.174735545120903	-0.0199537159328434
CG14995	chr3L_-_4101571_4101630	chr3L	-	4101571	4101630	0.000244150244103854	0.00276840645819464	0.0492874104857018
PRL-1	chr2L_-_16249091_16249187	chr2L	-	16249091	16249187	0.04950770189305	0.18780970051489	-0.0286819504680357
CG5861	chr2L_-_16306832_16306939	chr2L	-	16306832	16306939	7.05207779623839e-05	0.000959101512127583	0.0381550959838624
CkIIalpha-i3	chr3L_-_709613_709736	chr3L	-	709613	709736	0.0220358470376369	0.106101397807288	0.0706698812248011
CG42266	chr2L_-_16339713_16339736	chr2L	-	16339713	16339736	7.56514734419431e-05	0.00101757250950248	-0.311280514784895
CG42590	chr3L_-_8068832_8068948	chr3L	-	8068832	8068948	0.0236767698217583	0.111757484946332	0.100583744312869
fan	chr3L_+_8109355_8109411	chr3L	+	8109355	8109411	0.00706409187896102	0.0443038491063492	-0.36475653975654
CG32026	chr3L_+_8837439_8837465	chr3L	+	8837439	8837465	7.11887173468945e-28	1.23600929488699e-25	0.841903073403431
CG4477	chr3L_+_9250751_9250823	chr3L	+	9250751	9250823	0.0375289622078677	0.154862414002802	0.138970569061313
CG4456	chr3L_+_9372839_9372908	chr3L	+	9372839	9372908	0.0056026073415715	0.0369020763871677	0.0341708931408291
CG3222	chr3L_+_9599283_9599377	chr3L	+	9599283	9599377	0.00348432793443408	0.0252608859988692	-0.139823217023873
CG31467	chr3R_-_10705576_10705625	chr3R	-	10705576	10705625	0.0345762167061913	0.146468171492308	-0.199308853402011
CG4073	chr3R_+_10715623_10715679	chr3R	+	10715623	10715679	0.00102513166758332	0.00936378266134221	-0.378993798463941
Tpc1	chr3R_-_10881803_10881901	chr3R	-	10881803	10881901	0.000294170302768637	0.0032487183118721	0.140234295939856
