FlyBase ID,Gene,Chr,Average,log2(SRPK/Control),pvalue,padj,log2(U2af38/Control),pvalue,padj
FBgn0040351, CG11638,chrX,92.93930084,0.252020666,0.102566221,0.195503975,-0.867011932,0.001511526,0.00231505
FBgn0040338, TfIIA-S-2,chrX,136.7836436,-0.082793287,0.541799555,0.681026648,0.272826517,0.134882935,0.165504953
FBgn0040350, CG3690,chrX,28.32106262,1.805443125,2.49E-05,0.000141013,1.538299897,0.001256182,0.001937413
FBgn0040349, CG3699,chrX,8.375104765,-0.455134871,0.044724924,0.09974481,-2.48359588,0.000327967,0.000534793
FBgn0040348, CG3703,chrX,87.39077668,-0.165864997,0.2389978,0.377535032,-0.152915904,0.434229207,0.484528146
FBgn0040346, CG3704,chrX,175.0866304,0.235195435,0.056266998,0.120565728,0.137403754,0.359862407,0.408615602
FBgn0040342, CG3706,chrX,1.627619714,0.016752966,0.899403292,0.945684463,0.798033037,0.273335519,0.317965595
FBgn0040345, CG3708,chrX,1350.747339,-0.065103528,0.347558285,0.499628593,-2.170756602,3.97E-162,1.23E-160
FBgn0040343, CG3713,chrX,449.3176132,-0.5831198,1.30E-09,1.62E-08,-2.985975157,1.23E-132,2.63E-131
FBgn0052814, CG32814,chrX,40.2772448,-0.186561981,0.236682037,0.374912168,-0.720003655,0.014217051,0.01970856
FBgn0040364, CG11378,chrX,584.9422921,-0.297066189,0.001487685,0.005338182,-0.014006999,0.886355766,0.909568166
FBgn0040362, CG11379,chrX,2145.750721,-0.318103833,8.97E-09,9.74E-08,-1.611722075,1.06E-158,3.15E-157
FBgn0040361, CG14627,chrX,239.011776,0.545074023,7.22E-05,0.000364978,1.943007051,6.60E-38,3.84E-37
FBgn0040360, CG14626,chrX,22.70983168,0.066382712,0.657997228,0.776818344,4.304947922,1.50E-07,3.16E-07
FBgn0040359, CG11380,chrX,60.65839995,-0.023391495,0.866621878,0.929300893,5.725847842,1.01E-09,2.44E-09
FBgn0040358, CG14625,chrX,38.55448132,-0.239296188,0.162900207,0.282213317,2.437405975,2.07E-12,5.77E-12
FBgn0029568, CG11381,chrX,6.856354158,0.05323597,0.688637204,0.800029969,5.992141494,5.89E-08,1.27E-07
FBgn0040357, CG14624,chrX,4.420593655,0,1,1,3.327683205,0.007240527,0.010377821
FBgn0040367, CG11382,chrX,6.21976741,-0.075165205,0.617368763,0.743276768,3.309311625,2.03E-05,3.66E-05
FBgn0025642, CG32812,chrX,509.0441114,-0.141703535,0.088173635,0.172951654,-2.224541465,4.14E-101,6.30E-100
FBgn0004650, fs(1)N,chrX,812.7371028,-0.351213684,0.001226629,0.004510885,-1.793365237,4.42E-43,2.84E-42
FBgn0024362, Naa30A,chrX,445.768122,-0.012427109,0.892814039,0.941396203,-0.764891359,1.61E-12,4.53E-12
FBgn0024361, Tsp2A,chrX,35.69674232,-0.324690491,0.062089115,0.130542607,0.290176977,0.28335705,0.328484212
FBgn0024364, CG11417,chrX,509.9763487,0.702979809,2.77E-09,3.24E-08,0.577425475,3.90E-06,7.42E-06
FBgn0029573, CG14770,chrX,7.508065066,0.082850757,0.570271384,0.704406624,2.268347406,0.009196995,0.013030565
FBgn0024987, ssx,chrX,1050.357985,0.072337768,0.263210428,0.405841481,0.147429265,0.027707114,0.037150305
FBgn0023169, AMPKalpha,chrX,1406.425151,0.264238071,6.79E-06,4.36E-05,-1.353475192,2.56E-93,3.52E-92
FBgn0052813, CG32813,chrX,278.4651771,0.101468021,0.313827477,0.463708788,0.457832806,5.26E-05,9.14E-05
FBgn0024985, Rilpl,chrX,864.7947284,0.073587558,0.395803857,0.547268421,-0.251301951,0.00908134,0.012880848
FBgn0027794, Lrpprc2,chrX,362.4674231,0.159769004,0.13998967,0.25043425,0.159285726,0.203235337,0.242301829
FBgn0027795, CG14785,chrX,3233.828241,0.081046455,0.356721721,0.508628954,-1.623918012,8.39E-59,7.03E-58
FBgn0024986, CG3719,chrX,230.9490117,-0.061503229,0.574115622,0.707410198,-0.453635516,0.000709132,0.001118801
FBgn0000826, png,chrX,24.61310722,-0.003740858,0.98049039,1,1.135936908,0.001867694,0.002833387
FBgn0024365, CG12773,chrX,636.0016743,0.253936093,0.001211872,0.004463743,-0.592414575,2.11E-11,5.61E-11
FBgn0024360, MTPAP,chrX,797.5045541,0.235403291,0.001269611,0.004649855,-1.766376754,2.13E-85,2.62E-84
FBgn0024366, CG11409,chrX,70.03568386,1.044756188,4.18E-05,0.000223741,0.697405679,0.011176794,0.015684546
FBgn0025641, DAAM,chrX,1205.955789,0.010216217,0.905014005,0.94954027,-0.882799592,1.01E-19,3.72E-19
FBgn0052811, CG32811,chrX,215.2543402,-0.818163712,2.03E-06,1.46E-05,-2.15349946,1.25E-26,5.59E-26
FBgn0028550, Atf3,chrX,396.6302439,-0.288867922,0.01021479,0.028595736,-0.178830883,0.164166825,0.198876179
FBgn0026876, CG11403,chrX,115.9414126,0.190284491,0.163523852,0.282989079,0.003421445,0.985094553,0.993865172
FBgn0040366, CG11398,chrX,144.9391131,0.031064107,0.822706683,0.899096841,-0.177133,0.377868202,0.427048269
FBgn0040363, CG11384,chrX,4.815843587,0.313505708,0.085528399,0.16896077,3.606547292,0.000795482,0.00124951
FBgn0040368, eIF4E7,chrX,4908.439286,-0.071579467,0.201549101,0.331602674,-0.084148794,0.140069493,0.171404369
FBgn0026872, CG14777,chrX,45.82296773,-0.118269705,0.428586729,0.580254891,0.11607812,0.618572942,0.665090832
FBgn0029580, CG14778,chrX,6.086006269,0.100613746,0.52267322,0.66413443,0.189062122,0.678722192,0.722399561
FBgn0025383, CG14780,chrX,18.18367985,-0.352203539,0.06408661,0.133938856,-0.643532365,0.070411581,0.0898002
FBgn0025381, rush,chrX,1744.925739,0.300125187,3.42E-08,3.38E-07,0.01715819,0.749817822,0.789155613
FBgn0025394, inc,chrX,899.1011228,0.234625229,0.003303768,0.010795167,0.522208787,8.17E-10,1.99E-09
FBgn0000482, dor,chrX,553.2304635,0.301999786,0.000708798,0.002778324,-0.58945028,1.38E-08,3.10E-08
FBgn0001189, hfw,chrX,929.5534562,-0.011210057,0.865654977,0.92878227,-1.396916589,8.04E-72,8.25E-71
FBgn0029587, CG14797,chrX,11.05930416,-0.464645023,0.044427383,0.099204747,1.04075526,0.018881379,0.025826572
FBgn0024897, b6,chrX,109.3770819,0.456652365,0.003047949,0.010057109,0.97473563,7.77E-07,1.56E-06
FBgn0025391, Scgdelta,chrX,38.60297124,0.05806955,0.702502117,0.808000224,0.547292102,0.053307817,0.069096985
FBgn0025378, CG3795,chrX,1267.995189,-0.050147652,0.471638477,0.621591322,-1.927686241,1.01E-128,2.08E-127
FBgn0023130, a6,chrX,192.3634883,0.151869892,0.200664414,0.330720884,-0.145910423,0.318435721,0.365811732
FBgn0023530, CG3740,chrX,312.3139136,0.028721066,0.78496768,0.870568083,0.383618111,0.001513963,0.002318148
FBgn0025390, Mur2B,chrX,298.7779708,0.149675814,0.119111635,0.220169432,-0.109448359,0.308522547,0.355324244
FBgn0025393, CG14795,chrX,1.8069456,0.042042297,0.744432073,0.838717714,1.131664452,0.158431668,0.192428845
FBgn0003517, sta,chrX,7953.524081,0.063541186,0.319759403,0.470061193,0.415473114,5.81E-10,1.42E-09
FBgn0044508, snoRNA:M,chrX,0,0,NA,NA,0,NA,NA
FBgn0025382, Rab27,chrX,120.122614,-0.02697703,0.836108109,0.908355217,-1.465846137,2.67E-11,7.06E-11
FBgn0052808, CG32808,chrX,26.38789328,0.175460235,0.274767647,0.419131801,-0.256142992,0.423762442,0.474047486
FBgn0027791, O-fut2,chrX,209.4529515,-0.142760261,0.242510405,0.381737234,-1.066247558,1.07E-10,2.74E-10
FBgn0027793, CG14787,chrX,32.31621248,0.016899063,0.911403132,0.954536931,-0.157005408,0.589558687,0.63708046
FBgn0052806, CG32806,chrX,1903.251737,-0.177192943,0.015180422,0.040206795,-0.818204247,4.40E-25,1.89E-24
FBgn0026873, MED18,chrX,498.9645611,0.094747258,0.199684736,0.329476749,-0.488432798,3.12E-09,7.33E-09
FBgn0023513, CG14803,chrX,374.6209686,0.781649863,4.16E-12,7.52E-11,0.337108632,0.004374838,0.006406777
FBgn0014411, Vps26,chrX,1315.019921,0.063757956,0.315081113,0.465007112,-0.440992148,1.06E-10,2.70E-10
FBgn0023514, CG14805,chrX,410.8949657,0.185138488,0.066055224,0.137323316,0.850665855,2.28E-14,6.98E-14
FBgn0029594, Coa8,chrX,647.1957056,0.321549867,0.000143634,0.000670042,0.467843952,2.35E-07,4.88E-07
FBgn0023519, mRpL16,chrX,793.2933979,0.203606565,0.012384731,0.033790257,-0.072640348,0.401061288,0.450576022
FBgn0023509, mip130,chrX,325.6452756,0.167971393,0.073537038,0.149692439,-0.257196853,0.016843262,0.023161816
FBgn0023510, Rbcn-3B,chrX,1199.251838,-0.075438225,0.190506328,0.317812813,-0.137088535,0.021053979,0.028646462
FBgn0023508, Ocrl,chrX,1209.117884,0.179128627,0.043461736,0.097291044,0.057816508,0.543367782,0.592822451
FBgn0023522, CG11596,chrX,579.5159525,0.404830216,0.000156984,0.000724149,0.419616849,0.000463484,0.000744263
FBgn0023521, CG3587,chrX,774.4979999,0.022625283,0.761067428,0.852329992,-2.63245255,6.10E-157,1.78E-155
FBgn0025627, CG4194,chrX,23.9757001,0.267667693,0.108569842,0.204754793,-0.41012838,0.178439136,0.21492407
FBgn0025630, Rtca,chrX,922.8330507,0.221015914,0.006367135,0.019061026,-1.069279267,5.45E-30,2.65E-29
FBgn0025629, CG4045,chrX,148.5504317,0.391541458,0.003828352,0.012255895,0.552676283,0.000852227,0.001333897
FBgn0025628, CG4199,chrX,1413.258324,-0.067255879,0.254673955,0.395973913,-0.757229691,5.66E-33,2.96E-32
FBgn0029596, CG14054,chrX,587.6503333,0.229401843,0.003585586,0.011596202,-1.133826325,2.44E-35,1.35E-34
FBgn0025626, CG4281,chrX,770.3357482,0.356188571,1.73E-06,1.26E-05,-0.116401205,0.142017093,0.173661587
FBgn0025625, Sik2,chrX,175.9238898,-0.053631033,0.633731168,0.756799598,0.325129121,0.013901947,0.019294071
FBgn0025631, moody,chrX,1336.477658,0.005414358,0.950922592,0.983183097,0.022169778,0.813702334,0.846093688
FBgn0026878, CG4325,chrX,39.25185275,0.110545806,0.459956586,0.610825378,0.221867206,0.360386113,0.409099465
FBgn0000667, Actn,chrX,718.3364237,-0.144159044,0.039061021,0.088808601,-0.346872013,3.34E-06,6.38E-06
FBgn0003964, usp,chrX,365.4999441,-0.097018446,0.320501101,0.470853496,-0.177820251,0.105666411,0.131580886
FBgn0023545, PIG-K,chrX,877.8870106,0.165798173,0.02867152,0.068653236,-0.296931992,0.000339857,0.000553641
FBgn0023520, CG3857,chrX,268.9510206,0.29602789,0.004193641,0.013243855,-0.755358182,4.19E-09,9.79E-09
FBgn0023512, eIF2Bepsilon,chrX,538.1151918,0.381214078,1.14E-06,8.63E-06,-0.763049937,1.47E-16,4.91E-16
FBgn0023511, Edem1,chrX,1581.309456,0.316220102,2.53E-06,1.78E-05,-0.546281213,6.32E-14,1.89E-13
FBgn0052801, CG32801,chrX,14.25887312,-0.065600839,0.671347087,0.788077598,0.207296348,0.581337398,0.629250645
FBgn0023518, trr,chrX,1854.347711,0.542178809,2.43E-09,2.87E-08,-0.00085044,0.992738482,1
FBgn0026088, CG14818,chrX,918.3879029,0.139168254,0.076008287,0.153607339,0.457886049,4.39E-08,9.58E-08
FBgn0026089, CG14817,chrX,254.9023858,-0.099414316,0.420441701,0.572448366,0.447732991,0.003632488,0.005369333
FBgn0023517, Pgam5,chrX,539.1952001,0.292888973,0.000518288,0.002102628,-1.086068172,1.93E-26,8.57E-26
FBgn0023516, Pex5,chrX,1976.880972,0.171364123,0.014607261,0.03891247,0.329324995,8.85E-06,1.64E-05
FBgn0023515, Gcna,chrX,915.6789204,0.455022835,2.43E-06,1.71E-05,-1.964159311,3.86E-62,3.42E-61
FBgn0028969, deltaCOP,chrX,1744.403997,0.095466062,0.088335533,0.173190499,-0.28573946,1.26E-06,2.48E-06
FBgn0026090, CG14812,chrX,308.4838787,-0.015500089,0.868007566,0.93031356,0.138223336,0.17231474,0.207995574
FBgn0029590, CG14811,chrX,673.2428752,0.355911101,0.000749452,0.002922755,0.20362808,0.085602242,0.107942496
FBgn0025624, CG4025,chrX,205.6761713,0.124552731,0.316997084,0.467278686,-0.59555639,0.000373413,0.000605366
FBgn0040395, Unc-76,chrX,1484.043041,0.410098722,5.96E-10,7.79E-09,0.331948222,1.42E-06,2.80E-06
FBgn0000382, csw,chrX,1665.61015,-0.10826467,0.081451253,0.162559681,0.282464644,9.58E-06,1.77E-05
FBgn0023507, D2hgdh,chrX,138.9843735,0.025176082,0.834479648,0.9071801,0.263816488,0.074977948,0.095283411
FBgn0004654, Pgd,chrX,1003.32502,-0.000618247,0.994270927,1,-0.497873824,2.41E-07,4.99E-07
FBgn0023540, CG3630,chrX,192.0077565,0.032465721,0.772606227,0.861407856,0.392153611,0.002868111,0.004280598
FBgn0025839, ND-B14.5A,chrX,1132.566976,-0.189430853,0.006716578,0.019952953,-0.43917769,3.97E-09,9.29E-09
FBgn0011576, Cyp4d2,chrX,230.0944634,0.063095209,0.57105533,0.705028336,-1.169037924,1.69E-15,5.39E-15
FBgn0015036, Cyp4ae1,chrX,76.07053408,-0.066521221,0.632560999,0.755866323,-2.876218179,1.50E-26,6.69E-26
FBgn0003116, pn,chrX,577.4646918,0.303102819,0.001087453,0.004056437,-0.608862269,1.59E-08,3.57E-08
FBgn0040899, CG17776,chrX,60.66235042,-0.134886568,0.379861641,0.531261603,-2.526666318,7.61E-13,2.18E-12
FBgn0040900, CG17777,chrX,177.7753407,-0.304042314,0.010406223,0.029030823,-3.253819618,5.03E-67,4.83E-66
FBgn0024984, CG3457,chrX,4.611724966,0.032013697,0.830193131,0.904190479,0.41410604,0.439928934,0.490138423
FBgn0023549, Mct1,chrX,64.46238998,-0.126100238,0.41245773,0.564533791,0.343463208,0.191007927,0.228732163
FBgn0029606, CG14052,chrX,55.07511024,0.748281281,0.000375898,0.001583959,-0.898761399,0.002141314,0.003232402
FBgn0003048, pcx,chrX,3593.997886,0.134632742,0.097969519,0.188435289,-0.187037972,0.034077011,0.045271352
FBgn0000810, fs(1)K10,chrX,977.846268,0.33232315,1.03E-05,6.37E-05,-0.811669403,1.16E-20,4.40E-20
FBgn0023523, Or2a,chrX,47.08356113,1.592603352,3.67E-05,0.000198853,3.147271994,9.96E-13,2.83E-12
FBgn0023527, CG3071,chrX,297.1702606,-0.186099964,0.103080308,0.196268908,0.168985813,0.197780076,0.236234575
FBgn0040391, CG2854,chrX,2437.989876,-0.16752158,0.01820295,0.046977422,-2.135953461,2.11E-159,6.33E-158
FBgn0053218, lncRNA:CR33218,chrX,2263.947843,0.011328249,0.889929009,0.940313255,-0.232962429,0.009167391,0.01299411
FBgn0003079, Raf,chrX,611.4508336,0.143293108,0.114599363,0.21361671,0.292431823,0.003492994,0.00517683
FBgn0003159, CG2841,chrX,7593.970749,-0.082726104,0.397214037,0.548465631,-1.240037737,1.24E-27,5.71E-27
FBgn0040389, mRpL14,chrX,42.54010586,0.065446945,0.671750508,0.788321567,0.800499179,0.067442585,0.086216907
FBgn0044047, Ilp6,chrX,597.1576819,0.414996049,1.78E-05,0.000104558,1.024880603,8.77E-23,3.54E-22
FBgn0040392, CG14050,chrX,15.62958487,0.177455462,0.285918689,0.43185486,1.632992484,0.000376769,0.000610334
FBgn0023526, CG2865,chrX,2135.248407,0.02901353,0.631634615,0.755070311,0.595744771,1.20E-21,4.69E-21
FBgn0023529, CG2918,chrX,4470.048395,0.197516386,0.000356481,0.001509624,0.549746868,4.53E-22,1.80E-21
FBgn0023528, CG2924,chrX,863.5668333,-0.043549915,0.501660928,0.645730737,0.327349379,7.48E-07,1.50E-06
FBgn0027296, temp,chrX,345.982778,0.181830317,0.056713608,0.121345294,-0.724306091,5.16E-10,1.27E-09
FBgn0023524, CG3078,chrX,38.90958857,0.360393466,0.066354472,0.137741433,7.605982079,8.64E-13,2.47E-12
FBgn0023525, CG3191,chrX,223.2801594,-0.139044046,0.220390954,0.355172227,-1.061727359,4.35E-13,1.26E-12
FBgn0000377, crn,chrX,354.5270714,0.216099054,0.024028324,0.059269376,0.43010553,4.77E-05,8.31E-05
FBgn0001330, kz,chrX,346.9481565,0.405369975,3.38E-05,0.000184401,0.312777062,0.003538789,0.005239607
FBgn0004397, Vinc,chrX,924.3418825,-0.08038962,0.346541543,0.498683059,-0.451592928,2.00E-06,3.88E-06
FBgn0023550, FarO,chrX,27.12151086,-0.154181226,0.332044413,0.483622733,0.903067227,0.003961587,0.005825496
FBgn0029603, CG14053,chrX,1218.036294,0.006398895,0.919268829,0.960184778,-1.353082108,2.25E-81,2.60E-80
FBgn0023542, Nmd3,chrX,583.3660849,0.188333235,0.036494093,0.083943182,0.526074594,6.55E-08,1.41E-07
FBgn0023541, Cyp4d14,chrX,108.2943051,0.081230138,0.595626093,0.724512138,2.830820325,6.00E-23,2.43E-22
FBgn0005670, Cyp4d1,chrX,24.03869476,-1.59761901,3.97E-06,2.69E-05,0.099730608,0.721814789,0.762746886
FBgn0004655, wapl,chrX,1554.922402,0.15901905,0.05795645,0.123463779,0.530418364,5.58E-09,1.29E-08
FBgn0013432, bcn92,chrX,789.5067713,0.117992111,0.140560887,0.251265181,0.187048739,0.028920983,0.038691274
FBgn0004861, ph-p,chrX,174.9111928,0.224120934,0.063669189,0.133273782,0.308254376,0.036088687,0.047758493
FBgn0004860, ph-d,chrX,211.882962,0.359009453,0.001328295,0.004829673,0.357204459,0.005253301,0.007636571
FBgn0040394, CG16903,chrX,1169.434214,0.002319458,0.974490668,1,-0.083343841,0.27011923,0.314535848
FBgn0040376, AANATL7,chrX,207.1195311,-0.283262441,0.065883046,0.137018379,-2.953872097,1.76E-28,8.27E-28
FBgn0040066, wds,chrX,668.1161445,0.069900727,0.400992601,0.552972604,0.608942907,6.53E-12,1.78E-11
FBgn0001404, egh,chrX,1063.50985,0.194645544,0.02495049,0.061123204,0.064429674,0.486789744,0.536678333
FBgn0040336, Seipin,chrX,46.15817937,0.026953454,0.855097858,0.921496719,0.125176539,0.600430213,0.647493255
FBgn0040333, brv3,chrX,1575.943355,0.513207515,1.97E-09,2.38E-08,1.168158315,2.40E-38,1.40E-37
FBgn0040334, Tsp3A,chrX,133.7521276,0.03434903,0.797797449,0.880603209,0.897992819,9.36E-07,1.86E-06
